	sample2	sample3	sample4	sample6	sample7	sample8	sample11	sample12	sample13	sample14	sample15	sample17
sample2	0.0	5.70384745106	11.0952973288	10.8098746451	11.5084153579	11.7206170681	9.55726722004	9.4641156925	13.0316379719	12.4084609292	11.5167514209	11.5626544846
sample3	5.70384745106	0.0	9.58406237415	9.68953534783	11.7607193146	11.5748017382	9.56673770133	9.27596611833	13.080630325	12.3785399504	11.2772184554	11.2817792169
sample4	11.0952973288	9.58406237415	0.0	9.41107086707	13.3787128587	13.9452070771	11.5609310824	12.045194854	10.9699707835	10.7871599713	13.3354214612	12.0365260974
sample6	10.8098746451	9.68953534783	9.41107086707	0.0	9.93507057389	10.2550086476	10.482365499	10.03093787	9.84526540537	9.45518515433	10.5556925972	11.0338942284
sample7	11.5084153579	11.7607193146	13.3787128587	9.93507057389	0.0	7.16741724386	9.91136837801	9.59884020693	10.9337584055	10.8007703393	9.76156179465	11.0115605304
sample8	11.7206170681	11.5748017382	13.9452070771	10.2550086476	7.16741724386	0.0	8.76220949339	9.3639299415	11.2943754878	11.0575553993	9.83999480169	10.6810020622
sample11	9.55726722004	9.56673770133	11.5609310824	10.482365499	9.91136837801	8.76220949339	0.0	6.27396581158	10.3948497552	10.6202935029	9.91813225317	10.423921359
sample12	9.4641156925	9.27596611833	12.045194854	10.03093787	9.59884020693	9.3639299415	6.27396581158	0.0	10.0450025727	10.9484564641	9.31051490369	9.91869452569
sample13	13.0316379719	13.080630325	10.9699707835	9.84526540537	10.9337584055	11.2943754878	10.3948497552	10.0450025727	0.0	6.42290815915	11.4581729057	11.524271609
sample14	12.4084609292	12.3785399504	10.7871599713	9.45518515433	10.8007703393	11.0575553993	10.6202935029	10.9484564641	6.42290815915	0.0	10.4485921836	10.6727691018
sample15	11.5167514209	11.2772184554	13.3354214612	10.5556925972	9.76156179465	9.83999480169	9.91813225317	9.31051490369	11.4581729057	10.4485921836	0.0	9.34455083608
sample17	11.5626544846	11.2817792169	12.0365260974	11.0338942284	11.0115605304	10.6810020622	10.423921359	9.91869452569	11.524271609	10.6727691018	9.34455083608	0.0
