	sample9	sample2	sample3	sample4	sample6	sample7	sample8	sample10	sample11	sample12	sample13	sample14	sample15	sample16	sample17
sample9	0.0	10.6527398603	10.792386242	10.422753691	8.26530830956	10.8409576786	7.75208501915	10.1519749492	7.96318732797	11.1964436777	11.3016627078	6.64475279049	7.33426411426	9.60150625267	7.67265469062
sample2	10.6527398603	0.0	6.96345781769	7.8896634579	9.10501580647	8.84331726528	9.25962284703	6.81940239872	5.25694898326	9.51514474905	6.84883658316	10.6611367735	9.53820754101	7.43682249459	10.4230009384
sample3	10.792386242	6.96345781769	0.0	8.30367014222	8.87170508705	7.70602516001	9.94884449667	6.92261667331	8.82550949987	9.82646165375	7.58011176518	10.5816950538	9.82979149458	9.02094426695	9.43186984939
sample4	10.422753691	7.8896634579	8.30367014222	0.0	9.34864359592	9.34692735725	7.22854357363	8.18814142046	8.52877767196	10.3357629386	9.56155541487	10.1662781757	9.18033995452	9.84016595491	9.11819717867
sample6	8.26530830956	9.10501580647	8.87170508705	9.34864359592	0.0	8.60733144823	5.14043170687	9.31574410443	5.89240221496	11.416163156	7.87109630315	7.64413309272	6.83089334771	9.56420867552	7.54803263587
sample7	10.8409576786	8.84331726528	7.70602516001	9.34692735725	8.60733144823	0.0	10.2277678694	8.205020258	9.4731319649	9.37027714892	8.05724827279	9.67432944316	8.67744141396	9.97620862458	10.0527271822
sample8	7.75208501915	9.25962284703	9.94884449667	7.22854357363	5.14043170687	10.2277678694	0.0	9.24884701215	5.72987156252	11.347862544	9.47377543815	6.84928553932	6.0420669374	9.15119592436	7.03810280869
sample10	10.1519749492	6.81940239872	6.92261667331	8.18814142046	9.31574410443	8.205020258	9.24884701215	0.0	7.81812929628	8.7717807314	8.98909106758	9.69434851299	9.41767362266	8.41534718762	8.70280626012
sample11	7.96318732797	5.25694898326	8.82550949987	8.52877767196	5.89240221496	9.4731319649	5.72987156252	7.81812929628	0.0	9.89224942054	7.43211706128	7.45399135053	6.79022341727	6.7246062277	7.87477848282
sample12	11.1964436777	9.51514474905	9.82646165375	10.3357629386	11.416163156	9.37027714892	11.347862544	8.7717807314	9.89224942054	0.0	10.7341970378	10.1358261292	11.1801415182	9.883514908	10.9512655478
sample13	11.3016627078	6.84883658316	7.58011176518	9.56155541487	7.87109630315	8.05724827279	9.47377543815	8.98909106758	7.43211706128	10.7341970378	0.0	10.9214142704	9.85173470518	8.54451974228	9.4377881794
sample14	6.64475279049	10.6611367735	10.5816950538	10.1662781757	7.64413309272	9.67432944316	6.84928553932	9.69434851299	7.45399135053	10.1358261292	10.9214142704	0.0	4.23392764898	8.64149686785	5.57398850779
sample15	7.33426411426	9.53820754101	9.82979149458	9.18033995452	6.83089334771	8.67744141396	6.0420669374	9.41767362266	6.79022341727	11.1801415182	9.85173470518	4.23392764898	0.0	9.57022960155	5.40658335873
sample16	9.60150625267	7.43682249459	9.02094426695	9.84016595491	9.56420867552	9.97620862458	9.15119592436	8.41534718762	6.7246062277	9.883514908	8.54451974228	8.64149686785	9.57022960155	0.0	7.29382008394
sample17	7.67265469062	10.4230009384	9.43186984939	9.11819717867	7.54803263587	10.0527271822	7.03810280869	8.70280626012	7.87477848282	10.9512655478	9.4377881794	5.57398850779	5.40658335873	7.29382008394	0.0
