	MCT.f.0241	MCT.f.0242	MCT.f.0243	MCT.f.0244	MCT.f.0245	MCT.f.0247	MCT.f.0249	MCT.f.0250	MCT.f.0252	MCT.f.0254	MCT.f.0255
MCT.f.0241	0.0	3.39674331569	4.98761221042	5.68818997095	7.09818646232	7.1084699894	7.61669808183	6.99346767489	7.48298597954	7.11118479222	7.0094375889
MCT.f.0242	3.39674331569	0.0	3.88219642558	5.33686858568	6.30300763597	7.25274112186	7.77314729214	7.55950101687	7.99838786739	7.54258609942	6.97755960729
MCT.f.0243	4.98761221042	3.88219642558	0.0	3.99096606873	5.87354737491	6.67964438055	7.07220376415	6.8156413325	7.60202157903	6.91843166919	6.41574579579
MCT.f.0244	5.68818997095	5.33686858568	3.99096606873	0.0	4.21862433862	5.75150399018	7.61287194406	6.8986131613	6.7199023199	6.87063492063	6.39240855763
MCT.f.0245	7.09818646232	6.30300763597	5.87354737491	4.21862433862	0.0	5.77687742992	7.68034774324	7.85057617893	6.88965404965	7.48648148148	6.91037037037
MCT.f.0247	7.1084699894	7.25274112186	6.67964438055	5.75150399018	5.77687742992	0.0	6.05377413796	7.05854492941	7.13642563698	7.59217311234	7.06153415005
MCT.f.0249	7.61669808183	7.77314729214	7.07220376415	7.61287194406	7.68034774324	6.05377413796	0.0	5.75401744678	7.9649765026	7.91186137906	7.17587026422
MCT.f.0250	6.99346767489	7.55950101687	6.8156413325	6.8986131613	7.85057617893	7.05854492941	5.75401744678	0.0	6.13534525176	6.57383913765	6.52244213714
MCT.f.0252	7.48298597954	7.99838786739	7.60202157903	6.7199023199	6.88965404965	7.13642563698	7.9649765026	6.13534525176	0.0	4.59758852259	5.43686892817
MCT.f.0254	7.11118479222	7.54258609942	6.91843166919	6.87063492063	7.48648148148	7.59217311234	7.91186137906	6.57383913765	4.59758852259	0.0	3.4306763285
MCT.f.0255	7.0094375889	6.97755960729	6.41574579579	6.39240855763	6.91037037037	7.06153415005	7.17587026422	6.52244213714	5.43686892817	3.4306763285	0.0
