	sample1	sample2	sample3	sample4	sample5	sample6	sample7	sample8	sample9	sample10	sample11	sample12	sample13	sample14	sample15	sample16
sample1	0.0	10.6330212333	11.6408325034	8.55126790341	10.9852335356	13.8494994361	10.7024556324	9.62189394129	16.5503875527	14.7707730451	11.6539075373	11.4311854038	12.3558629103	12.6471920724	10.2834275156	11.6283003308
sample2	10.6330212333	0.0	8.00409245355	10.2816197467	9.5901125019	14.3789036885	9.22849535135	13.2055285844	21.2558223068	10.2590370165	13.6324950666	9.55835430168	11.737851904	9.41599643827	14.0742849803	12.4063064786
sample3	11.6408325034	8.00409245355	0.0	12.6175488916	8.44745429468	12.5275913044	9.47339338935	12.4582790971	19.0351448891	12.3880168756	12.9629825868	9.00900576779	11.4469320222	9.43732427518	13.9890805306	10.9335272898
sample4	8.55126790341	10.2816197467	12.6175488916	0.0	12.0124536436	15.4533997403	11.022741535	11.9541214042	19.9246802189	13.7006024227	12.823169201	12.48047496	13.795238739	12.2284468383	12.3977274603	13.6842022618
sample5	10.9852335356	9.5901125019	8.44745429468	12.0124536436	0.0	11.6217523919	7.69624957373	11.1869601671	18.0829802655	13.4770286658	10.1964736711	8.78859043302	12.3715604123	9.94157087595	12.6902004336	8.96634653435
sample6	13.8494994361	14.3789036885	12.5275913044	15.4533997403	11.6217523919	0.0	10.7060675607	10.3670511234	14.0305075316	14.496808247	10.0710669564	10.488635273	10.1564249852	14.4979223074	11.4257569972	8.97453098952
sample7	10.7024556324	9.22849535135	9.47339338935	11.022741535	7.69624957373	10.7060675607	0.0	10.0434754046	17.5780436611	11.8790187342	9.7000588657	8.06575416231	10.4883415842	10.7520824055	11.4955603638	9.01256042673
sample8	9.62189394129	13.2055285844	12.4582790971	11.9541214042	11.1869601671	10.3670511234	10.0434754046	0.0	13.1144781908	15.1892146609	8.6538534223	10.3548057719	10.8244251785	12.5936328841	8.62817759175	8.90885885727
sample9	16.5503875527	21.2558223068	19.0351448891	19.9246802189	18.0829802655	14.0305075316	17.5780436611	13.1144781908	0.0	22.1763661446	14.9716187526	17.7685912394	16.6757284586	20.2130168903	13.371734525	14.6350029475
sample10	14.7707730451	10.2590370165	12.3880168756	13.7006024227	13.4770286658	14.496808247	11.8790187342	15.1892146609	22.1763661446	0.0	14.565316372	11.9136565181	11.7113630551	12.2199347796	15.5835446945	14.9758516204
sample11	11.6539075373	13.6324950666	12.9629825868	12.823169201	10.1964736711	10.0710669564	9.7000588657	8.6538534223	14.9716187526	14.565316372	0.0	10.0542047891	12.0046108153	12.9294135855	9.78376749003	8.94705166973
sample12	11.4311854038	9.55835430168	9.00900576779	12.48047496	8.78859043302	10.488635273	8.06575416231	10.3548057719	17.7685912394	11.9136565181	10.0542047891	0.0	9.87622012484	9.70776682763	11.8285769734	9.09807441217
sample13	12.3558629103	11.737851904	11.4469320222	13.795238739	12.3715604123	10.1564249852	10.4883415842	10.8244251785	16.6757284586	11.7113630551	12.0046108153	9.87622012484	0.0	12.5319510879	11.7141815421	10.7389033562
sample14	12.6471920724	9.41599643827	9.43732427518	12.2284468383	9.94157087595	14.4979223074	10.7520824055	12.5936328841	20.2130168903	12.2199347796	12.9294135855	9.70776682763	12.5319510879	0.0	14.541510918	10.9317609948
sample15	10.2834275156	14.0742849803	13.9890805306	12.3977274603	12.6902004336	11.4257569972	11.4955603638	8.62817759175	13.371734525	15.5835446945	9.78376749003	11.8285769734	11.7141815421	14.541510918	0.0	10.4566101139
sample16	11.6283003308	12.4063064786	10.9335272898	13.6842022618	8.96634653435	8.97453098952	9.01256042673	8.90885885727	14.6350029475	14.9758516204	8.94705166973	9.09807441217	10.7389033562	10.9317609948	10.4566101139	0.0
