#FoodID	MCTs01	MCTs03	MCTs04	MCTs06	MCTs07	MCTs08	MCTs09	MCTs10	MCTs13	MCTs14	MCTs15	MCTs16	MCTs18	MCTs19	MCTs20	MCTs21	MCTs22	MCTs23	MCTs24	MCTs25	MCTs26	MCTs27	MCTs28	MCTs29	MCTs31	MCTs32	MCTs33	MCTs34	MCTs35	MCTs36	MCTs37	taxonomy
Apple baked unsweetened	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	L1_Fruits;L2_Other_fruits;L3_Fruits_excluding_berries;L4_;L5_;Apple_baked_unsweetened
Apple cooked or canned with syrup	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	5	0	0	0	L1_Fruits;L2_Other_fruits;L3_Fruits_excluding_berries;L4_;L5_;Apple_cooked_or_canned_with_syrup
Apple raw	0	0	10	0	0	11	10	0	0	5	0	13	0	5	7	9	0	5	9	0	6	0	7	4	11	8	9	0	0	0	0	L1_Fruits;L2_Other_fruits;L3_Fruits_excluding_berries;L4_;L5_;Apple_raw
Applesauce stewed apples unsweetened	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	L1_Fruits;L2_Other_fruits;L3_Fruits_excluding_berries;L4_;L5_;Applesauce_stewed_apples_unsweetened
Applesauce stewed apples with sugar	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	L1_Fruits;L2_Other_fruits;L3_Fruits_excluding_berries;L4_;L5_;Applesauce_stewed_apples_with_sugar
Avocado raw	0	7	9	0	11	8	7	6	9	11	0	13	8	10	9	14	0	0	0	0	9	8	0	0	12	0	0	6	8	0	7	L1_Fruits;L2_Other_fruits;L3_Fruits_excluding_berries;L4_;L5_;Avocado_raw
Banana raw	6	8	8	10	10	0	8	11	7	7	0	10	6	8	8	11	8	10	10	9	11	0	9	0	10	7	9	0	0	0	10	L1_Fruits;L2_Other_fruits;L3_Fruits_excluding_berries;L4_;L5_;Banana_raw
Cantaloupe muskmelon raw	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	3	4	0	0	4	0	L1_Fruits;L2_Other_fruits;L3_Fruits_excluding_berries;L4_;L5_;Cantaloupe_muskmelon_raw
Cherries frozen	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	L1_Fruits;L2_Other_fruits;L3_Fruits_excluding_berries;L4_;L5_;Cherries_frozen
Cherries maraschino	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	L1_Fruits;L2_Other_fruits;L3_Fruits_excluding_berries;L4_;L5_;Cherries_maraschino
Fruit NS as to type	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	L1_Fruits;L2_Other_fruits;L3_Fruits_excluding_berries;L4_;L5_;Fruit_NS_as_to_type
Grapes raw NS as to type	0	0	6	0	0	4	0	0	0	0	0	6	0	0	0	4	0	4	6	0	0	0	4	0	4	0	4	5	0	0	0	L1_Fruits;L2_Other_fruits;L3_Fruits_excluding_berries;L4_;L5_;Grapes_raw_NS_as_to_type
Honeydew melon raw	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	L1_Fruits;L2_Other_fruits;L3_Fruits_excluding_berries;L4_;L5_;Honeydew_melon_raw
Kiwi fruit raw	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	L1_Fruits;L2_Other_fruits;L3_Fruits_excluding_berries;L4_;L5_;Kiwi_fruit_raw
Mango cooked	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	L1_Fruits;L2_Other_fruits;L3_Fruits_excluding_berries;L4_;L5_;Mango_cooked
