	PD_whole_tree	shannon	chao1	simpson
MCTs01	30.0	2.92060450783	8.0	0.861976163014
MCTs03	38.0	3.81579018639	15.0	0.924152290303
MCTs04	37.0	3.74354569154	14.0	0.922358288095
MCTs06	26.0	2.71747822507	7.0	0.840483132028
MCTs07	30.0	3.33097626549	11.0	0.892669607225
MCTs08	32.0	3.68533976489	14.0	0.915237942637
MCTs09	34.0	3.52005829958	12.0	0.909577632362
MCTs10	23.0	2.69515252702	7.0	0.83396430503
MCTs13	24.0	2.85453365095	8.0	0.849107625744
MCTs14	22.0	2.65601948925	7.0	0.827664399093
MCTs15	29.0	3.13740194544	9.0	0.883588465646
MCTs16	17.0	2.91361843834	8.0	0.860146796271
MCTs18	16.0	1.91326968952	4.0	0.7232
MCTs19	19.0	2.64214537661	7.0	0.826605151865
MCTs20	38.0	3.86050044456	15.0	0.928987921699
MCTs21	33.0	3.67462204467	14.0	0.913827160494
MCTs22	20.0	2.24625180337	5.0	0.778696051423
MCTs23	41.0	3.91898079136	16.0	0.929904513889
MCTs24	30.0	3.41831576397	11.0	0.904031033901
MCTs25	6.0	-0.0	1.0	0.0
MCTs26	20.0	2.95072605344	8.0	0.866433754367
MCTs27	32.0	3.63824451646	13.0	0.916519788495
MCTs28	13.0	1.93694187511	4.0	0.730083234245
MCTs29	29.0	3.04742675525	9.0	0.866729678639
MCTs31	42.0	3.86646587561	16.0	0.925817701951
MCTs32	20.0	2.90482200176	8.0	0.86
MCTs33	43.0	3.84847303742	16.0	0.92401384083
MCTs34	30.0	3.74689915158	14.0	0.922571219869
MCTs35	23.0	2.98892110203	8.0	0.873086734694
MCTs36	30.0	2.89772489889	8.0	0.856015779093
MCTs37	16.0	2.23367969195	5.0	0.775390625
