wc -l	Sample	seq count
1322500	MCT.f.0133.S486.R1.001.fastq	330625
2904072	MCT.f.0134.S466.R1.001.fastq	726018
980784	MCT.f.0135.S197.R1.001.fastq	245196
142332	MCT.f.0136.S145.R1.001.fastq	35583
2054128	MCT.f.0137.S380.R1.001.fastq	513532
3465296	MCT.f.0138.S504.R1.001.fastq	866324
4278524	MCT.f.0139.S341.R1.001.fastq	1069631
2542096	MCT.f.0141.S447.R1.001.fastq	635524
1606740	MCT.f.0142.S452.R1.001.fastq	401685
2152776	MCT.f.0143.S474.R1.001.fastq	538194
2253332	MCT.f.0144.S20.R1.001.fastq	563333
3083308	MCT.f.0145.S43.R1.001.fastq	770827
345732	MCT.f.0146.S153.R1.001.fastq	86433
3240	MCT.f.0147.S160.R1.001.fastq	810
2420904	MCT.f.0148.S42.R1.001.fastq	605226
2756904	MCT.f.0149.S84.R1.001.fastq	689226
404908	MCT.f.0150.S106.R1.001.fastq	101227
453692	MCT.f.0151.S421.R1.001.fastq	113423
2283420	MCT.f.0152.S62.R1.001.fastq	570855
750352	MCT.f.0153.S240.R1.001.fastq	187588
2776644	MCT.f.0154.S465.R1.001.fastq	694161
3078956	MCT.f.0155.S490.R1.001.fastq	769739
292352	MCT.f.0156.S165.R1.001.fastq	73088
86088	MCT.f.0157.S180.R1.001.fastq	21522
3128720	MCT.f.0158.S30.R1.001.fastq	782180
983176	MCT.f.0159.S523.R1.001.fastq	245794
1753076	MCT.f.0160.S231.R1.001.fastq	438269
2041472	MCT.f.0161.S260.R1.001.fastq	510368
2874608	MCT.f.0162.S301.R1.001.fastq	718652
4162408	MCT.f.0163.S334.R1.001.fastq	1040602
3268	MCT.f.0164.S272.R1.001.fastq	817
123096	MCT.f.0165.S458.R1.001.fastq	30774
2217676	MCT.f.0166.S478.R1.001.fastq	554419
7876	MCT.f.0167.S126.R1.001.fastq	1969
717480	MCT.f.0168.S349.R1.001.fastq	179370
3258320	MCT.f.0169.S351.R1.001.fastq	814580
631416	MCT.f.0170.S241.R1.001.fastq	157854
860	MCT.f.0171.S191.R1.001.fastq	215
568	MCT.f.0172.S148.R1.001.fastq	142
3128036	MCT.f.0173.S391.R1.001.fastq	782009
3064544	MCT.f.0174.S88.R1.001.fastq	766136
1470640	MCT.f.0176.S274.R1.001.fastq	367660
47604	MCT.f.0177.S511.R1.001.fastq	11901
4144636	MCT.f.0178.S310.R1.001.fastq	1036159
37420	MCT.f.0179.S103.R1.001.fastq	9355
4382816	MCT.f.0180.S377.R1.001.fastq	1095704
4095044	MCT.f.0181.S58.R1.001.fastq	1023761
2015184	MCT.f.0182.S26.R1.001.fastq	503796
2216044	MCT.f.0183.S211.R1.001.fastq	554011
2573616	MCT.f.0184.S68.R1.001.fastq	643404
1285688	MCT.f.0185.S235.R1.001.fastq	321422
3295688	MCT.f.0186.S394.R1.001.fastq	823922
369016	MCT.f.0187.S438.R1.001.fastq	92254
2543184	MCT.f.0188.S321.R1.001.fastq	635796
3306968	MCT.f.0189.S404.R1.001.fastq	826742
1940548	MCT.f.0190.S221.R1.001.fastq	485137
4178212	MCT.f.0191.S374.R1.001.fastq	1044553
2535484	MCT.f.0192.S355.R1.001.fastq	633871
2202604	MCT.f.0193.S510.R1.001.fastq	550651
1132248	MCT.f.0194.S172.R1.001.fastq	283062
2829780	MCT.f.0195.S406.R1.001.fastq	707445
3114084	MCT.f.0196.S23.R1.001.fastq	778521
564204	MCT.f.0197.S175.R1.001.fastq	141051
17324	MCT.f.0198.S162.R1.001.fastq	4331
121528	MCT.f.0199.S193.R1.001.fastq	30382
3297768	MCT.f.0200.S473.R1.001.fastq	824442
390632	MCT.f.0201.S397.R1.001.fastq	97658
1621060	MCT.f.0202.S29.R1.001.fastq	405265
3594984	MCT.f.0203.S308.R1.001.fastq	898746
2690324	MCT.f.0204.S92.R1.001.fastq	672581
1645928	MCT.f.0206.S449.R1.001.fastq	411482
39772	MCT.f.0208.S492.R1.001.fastq	9943
1154524	MCT.f.0209.S200.R1.001.fastq	288631
395524	MCT.f.0211.S354.R1.001.fastq	98881
18724	MCT.f.0213.S109.R1.001.fastq	4681
1341560	MCT.f.0214.S114.R1.001.fastq	335390
2645092	MCT.f.0215.S15.R1.001.fastq	661273
3600608	MCT.f.0216.S300.R1.001.fastq	900152
3465072	MCT.f.0218.S314.R1.001.fastq	866268
2532544	MCT.f.0219.S468.R1.001.fastq	633136
3689304	MCT.f.0220.S533.R1.001.fastq	922326
20348	MCT.f.0221.S107.R1.001.fastq	5087
814788	MCT.f.0222.S258.R1.001.fastq	203697
2355904	MCT.f.0223.S285.R1.001.fastq	588976
673168	MCT.f.0224.S528.R1.001.fastq	168292
1757668	MCT.f.0225.S268.R1.001.fastq	439417
1136424	MCT.f.0226.S467.R1.001.fastq	284106
699588	MCT.f.0227.S337.R1.001.fastq	174897
800496	MCT.f.0228.S104.R1.001.fastq	200124
2917652	MCT.f.0229.S80.R1.001.fastq	729413
1180936	MCT.f.0230.S256.R1.001.fastq	295234
4290848	MCT.f.0231.S320.R1.001.fastq	1072712
4647764	MCT.f.0232.S322.R1.001.fastq	1161941
2130672	MCT.f.0233.S242.R1.001.fastq	532668
1377144	MCT.f.0234.S234.R1.001.fastq	344286
3098028	MCT.f.0235.S52.R1.001.fastq	774507
20692	MCT.f.0236.S111.R1.001.fastq	5173
331356	MCT.f.0237.S184.R1.001.fastq	82839
971180	MCT.f.0238.S288.R1.001.fastq	242795
124988	MCT.f.0240.S257.R1.001.fastq	31247
2425240	MCT.f.0241.S223.R1.001.fastq	606310
4968	MCT.f.0242.S134.R1.001.fastq	1242
1869120	MCT.f.0243.S311.R1.001.fastq	467280
872	MCT.f.0244.S155.R1.001.fastq	218
1758128	MCT.f.0245.S48.R1.001.fastq	439532
4237660	MCT.f.0247.S331.R1.001.fastq	1059415
189196	MCT.f.0248.S444.R1.001.fastq	47299
2217896	MCT.f.0249.S31.R1.001.fastq	554474
3919740	MCT.f.0250.S423.R1.001.fastq	979935
3348844	MCT.f.0252.S392.R1.001.fastq	837211
16356	MCT.f.0253.S329.R1.001.fastq	4089
1590544	MCT.f.0254.S252.R1.001.fastq	397636
2040864	MCT.f.0255.S24.R1.001.fastq	510216
1999168	MCT.f.0256.S525.R1.001.fastq	499792
4014236	MCT.f.0258.S75.R1.001.fastq	1003559
3482160	MCT.f.0259.S318.R1.001.fastq	870540
597016	MCT.f.0260.S73.R1.001.fastq	149254
3129140	MCT.f.0261.S327.R1.001.fastq	782285
1100492	MCT.f.0263.S44.R1.001.fastq	275123
3182056	MCT.f.0264.S346.R1.001.fastq	795514
1456508	MCT.f.0265.S273.R1.001.fastq	364127
433780	MCT.f.0266.S128.R1.001.fastq	108445
2024140	MCT.f.0267.S496.R1.001.fastq	506035
146536	MCT.f.0268.S443.R1.001.fastq	36634
1088192	MCT.f.0269.S462.R1.001.fastq	272048
19380	MCT.f.0270.S512.R1.001.fastq	4845
3847932	MCT.f.0271.S304.R1.001.fastq	961983
664612	MCT.f.0272.S442.R1.001.fastq	166153
3333844	MCT.f.0273.S9.R1.001.fastq	833461
181748	MCT.f.0274.S182.R1.001.fastq	45437
826064	MCT.f.0275.S368.R1.001.fastq	206516
571848	MCT.f.0277.S469.R1.001.fastq	142962
933480	MCT.f.0290.S440.R1.001.fastq	233370
306532	MCT.f.0291.S188.R1.001.fastq	76633
2879980	MCT.f.0292.S17.R1.001.fastq	719995
324596	MCT.f.0293.S137.R1.001.fastq	81149
504012	MCT.f.0294.S360.R1.001.fastq	126003
3487908	MCT.f.0295.S381.R1.001.fastq	871977
118648	MCT.f.0296.S177.R1.001.fastq	29662
2176436	MCT.f.0297.S27.R1.001.fastq	544109
1636080	MCT.f.0298.S47.R1.001.fastq	409020
620924	MCT.f.0299.S198.R1.001.fastq	155231
4358708	MCT.f.0300.S315.R1.001.fastq	1089677
642764	MCT.f.0301.S151.R1.001.fastq	160691
3188688	MCT.f.0302.S499.R1.001.fastq	797172
2000228	MCT.f.0303.S85.R1.001.fastq	500057
981456	MCT.f.0304.S32.R1.001.fastq	245364
2226064	MCT.f.0305.S275.R1.001.fastq	556516
847704	MCT.f.0306.S65.R1.001.fastq	211926
1234832	MCT.f.0307.S225.R1.001.fastq	308708
1538028	MCT.f.0308.S509.R1.001.fastq	384507
1354848	MCT.f.0310.S283.R1.001.fastq	338712
2465208	MCT.f.0311.S493.R1.001.fastq	616302
3507036	MCT.f.0312.S330.R1.001.fastq	876759
1798964	MCT.f.0313.S3.R1.001.fastq	449741
1950264	MCT.f.0314.S11.R1.001.fastq	487566
3230836	MCT.f.0315.S419.R1.001.fastq	807709
2740616	MCT.f.0316.S21.R1.001.fastq	685154
6772	MCT.f.0317.S521.R1.001.fastq	1693
3649212	MCT.f.0318.S418.R1.001.fastq	912303
5502344	MCT.f.0319.S76.R1.001.fastq	1375586
165636	MCT.f.0320.S138.R1.001.fastq	41409
1995188	MCT.f.0321.S410.R1.001.fastq	498797
2689288	MCT.f.0322.S324.R1.001.fastq	672322
3211052	MCT.f.0323.S307.R1.001.fastq	802763
3233020	MCT.f.0325.S401.R1.001.fastq	808255
3837984	MCT.f.0326.S81.R1.001.fastq	959496
2576764	MCT.f.0327.S427.R1.001.fastq	644191
2277700	MCT.f.0329.S36.R1.001.fastq	569425
1715544	MCT.f.0330.S479.R1.001.fastq	428886
1670664	MCT.f.0331.S33.R1.001.fastq	417666
4196272	MCT.f.0334.S316.R1.001.fastq	1049068
5562452	MCT.f.0335.S74.R1.001.fastq	1390613
1910600	MCT.f.0336.S208.R1.001.fastq	477650
1582492	MCT.f.0337.S246.R1.001.fastq	395623
1591780	MCT.f.0338.S1.R1.001.fastq	397945
883332	MCT.f.0340.S116.R1.001.fastq	220833
92152	MCT.f.0341.S171.R1.001.fastq	23038
1942516	MCT.f.0344.S213.R1.001.fastq	485629
1827400	MCT.f.0345.S61.R1.001.fastq	456850
5279936	MCT.f.0346.S82.R1.001.fastq	1319984
2046044	MCT.f.0347.S396.R1.001.fastq	511511
525808	MCT.f.0348.S255.R1.001.fastq	131452
1898148	MCT.f.0349.S518.R1.001.fastq	474537
627332	MCT.f.0350.S448.R1.001.fastq	156833
1869148	MCT.f.0351.S212.R1.001.fastq	467287
1364028	MCT.f.0352.S264.R1.001.fastq	341007
276668	MCT.f.0353.S121.R1.001.fastq	69167
1181292	MCT.f.0354.S13.R1.001.fastq	295323
1199820	MCT.f.0355.S248.R1.001.fastq	299955
1226192	MCT.f.0356.S118.R1.001.fastq	306548
3289952	MCT.f.0357.S93.R1.001.fastq	822488
85308	MCT.f.0358.S117.R1.001.fastq	21327
1537328	MCT.f.0359.S364.R1.001.fastq	384332
1873256	MCT.f.0360.S491.R1.001.fastq	468314
670816	MCT.f.0361.S455.R1.001.fastq	167704
4863756	MCT.f.0362.S297.R1.001.fastq	1215939
1697520	MCT.f.0363.S270.R1.001.fastq	424380
3096460	MCT.f.0364.S55.R1.001.fastq	774115
2899392	MCT.f.0365.S66.R1.001.fastq	724848
2607720	MCT.f.0366.S433.R1.001.fastq	651930
1879440	MCT.f.0368.S228.R1.001.fastq	469860
1345836	MCT.f.0369.S49.R1.001.fastq	336459
12756	MCT.f.0370.S147.R1.001.fastq	3189
377824	MCT.f.0371.S516.R1.001.fastq	94456
21860	MCT.f.0372.S168.R1.001.fastq	5465
19916	MCT.f.0373.S434.R1.001.fastq	4979
4480476	MCT.f.0374.S94.R1.001.fastq	1120119
458848	MCT.f.0375.S141.R1.001.fastq	114712
331688	MCT.f.0376.S513.R1.001.fastq	82922
595004	MCT.f.0377.S384.R1.001.fastq	148751
3961908	MCT.f.0378.S507.R1.001.fastq	990477
1581136	MCT.f.0379.S356.R1.001.fastq	395284
863764	MCT.f.0380.S196.R1.001.fastq	215941
4303036	MCT.f.0381.S46.R1.001.fastq	1075759
372192	MCT.f.0382.S441.R1.001.fastq	93048
3154980	MCT.f.0383.S14.R1.001.fastq	788745
748352	MCT.f.0384.S535.R1.001.fastq	187088
496508	MCT.f.0385.S140.R1.001.fastq	124127
275844	MCT.f.0386.S517.R1.001.fastq	68961
1189724	MCT.f.0387.S187.R1.001.fastq	297431
3568116	MCT.f.0388.S375.R1.001.fastq	892029
6384	MCT.f.0389.S98.R1.001.fastq	1596
3933596	MCT.f.0390.S405.R1.001.fastq	983399
887540	MCT.f.0391.S161.R1.001.fastq	221885
814160	MCT.f.0392.S282.R1.001.fastq	203540
4351144	MCT.f.0393.S83.R1.001.fastq	1087786
2874172	MCT.f.0394.S131.R1.001.fastq	718543
1756548	MCT.f.0395.S267.R1.001.fastq	439137
4833716	MCT.f.0396.S78.R1.001.fastq	1208429
1308216	MCT.f.0397.S239.R1.001.fastq	327054
73304	MCT.f.0398.S170.R1.001.fastq	18326
410612	MCT.f.0399.S344.R1.001.fastq	102653
2542856	MCT.f.0400.S54.R1.001.fastq	635714
859540	MCT.f.0402.S149.R1.001.fastq	214885
3078728	MCT.f.0403.S476.R1.001.fastq	769682
476820	MCT.f.0404.S475.R1.001.fastq	119205
4166320	MCT.f.0405.S91.R1.001.fastq	1041580
1433784	MCT.f.0406.S471.R1.001.fastq	358446
