wc -l	Sample	seq count
75168	Blank.D08.S44.L001.R1.001.fastq	18792
72100	Blank.E10.S58.L001.R1.001.fastq	18025
1149320	MCT.f.0005.S24.L001.R1.001.fastq	287330
24996	MCT.f.0015.S70.L001.R1.001.fastq	6249
1074268	MCT.f.0018.S53.L001.R1.001.fastq	268567
1364136	MCT.f.0053.S40.L001.R1.001.fastq	341034
1425248	MCT.f.0054.S31.L001.R1.001.fastq	356312
595380	MCT.f.0056.S25.L001.R1.001.fastq	148845
1462088	MCT.f.0078.S3.L001.R1.001.fastq	365522
1589520	MCT.f.0099.S13.L001.R1.001.fastq	397380
448192	MCT.f.0110.S14.L001.R1.001.fastq	112048
1374740	MCT.f.0125.S32.L001.R1.001.fastq	343685
622880	MCT.f.0126.S50.L001.R1.001.fastq	155720
1502940	MCT.f.0127.S23.L001.R1.001.fastq	375735
1056660	MCT.f.0131.S19.L001.R1.001.fastq	264165
1263392	MCT.f.0132.S4.L001.R1.001.fastq	315848
688816	MCT.f.0136.S34.L001.R1.001.fastq	172204
2547052	MCT.f.0146.S39.L001.R1.001.fastq	636763
1417772	MCT.f.0147.S46.L001.R1.001.fastq	354443
211192	MCT.f.0156.S49.L001.R1.001.fastq	52798
439844	MCT.f.0157.S59.L001.R1.001.fastq	109961
1460156	MCT.f.0167.S22.L001.R1.001.fastq	365039
820564	MCT.f.0171.S64.L001.R1.001.fastq	205141
1698596	MCT.f.0172.S37.L001.R1.001.fastq	424649
281912	MCT.f.0177.S66.L001.R1.001.fastq	70478
982076	MCT.f.0179.S7.L001.R1.001.fastq	245519
1125476	MCT.f.0198.S47.L001.R1.001.fastq	281369
1488768	MCT.f.0213.S11.L001.R1.001.fastq	372192
1597884	MCT.f.0221.S9.L001.R1.001.fastq	399471
1007248	MCT.f.0236.S12.L001.R1.001.fastq	251812
385016	MCT.f.0237.S62.L001.R1.001.fastq	96254
744224	MCT.f.0242.S26.L001.R1.001.fastq	186056
1783756	MCT.f.0244.S41.L001.R1.001.fastq	445939
264168	MCT.f.0270.S67.L001.R1.001.fastq	66042
888960	MCT.f.0274.S61.L001.R1.001.fastq	222240
1148040	MCT.f.0291.S63.L001.R1.001.fastq	287010
1031460	MCT.f.0293.S29.L001.R1.001.fastq	257865
956572	MCT.f.0296.S56.L001.R1.001.fastq	239143
831792	MCT.f.0320.S30.L001.R1.001.fastq	207948
928232	MCT.f.0341.S55.L001.R1.001.fastq	232058
1611584	MCT.f.0353.S17.L001.R1.001.fastq	402896
2618312	MCT.f.0358.S15.L001.R1.001.fastq	654578
740236	MCT.f.0370.S36.L001.R1.001.fastq	185059
794172	MCT.f.0371.S71.L001.R1.001.fastq	198543
1002888	MCT.f.0372.S52.L001.R1.001.fastq	250722
1111156	MCT.f.0376.S68.L001.R1.001.fastq	277789
1031184	MCT.f.0386.S72.L001.R1.001.fastq	257796
1053432	MCT.f.0389.S2.L001.R1.001.fastq	263358
650288	MCT.f.0398.S54.L001.R1.001.fastq	162572
1634512	MCT.f.0407.S18.L001.R1.001.fastq	408628
4242496	MCT.f.0411.S6.L001.R1.001.fastq	1060624
1295356	MCT.f.0418.S21.L001.R1.001.fastq	323839
2177744	MCT.f.0420.S8.L001.R1.001.fastq	544436
698988	MCT.f.0435.S69.L001.R1.001.fastq	174747
1215928	MCT.f.0436.S33.L001.R1.001.fastq	303982
2381420	MCT.f.0451.S20.L001.R1.001.fastq	595355
843872	MCT.f.0454.S1.L001.R1.001.fastq	210968
1639656	MCT.f.0468.S10.L001.R1.001.fastq	409914
638660	MCT.f.0477.S57.L001.R1.001.fastq	159665
1039676	MCT.f.0523.S5.L001.R1.001.fastq	259919
1618560	MCT.f.0526.S45.L001.R1.001.fastq	404640
1195624	MCT.f.0536.S35.L001.R1.001.fastq	298906
1029964	MCT.f.0545.S27.L001.R1.001.fastq	257491
803036	MCT.f.0546.S43.L001.R1.001.fastq	200759
1528600	MCT.f.0548.S42.L001.R1.001.fastq	382150
971072	MCT.f.0550.S38.L001.R1.001.fastq	242768
1487488	MCT.f.0561.S16.L001.R1.001.fastq	371872
728188	MCT.f.0562.S51.L001.R1.001.fastq	182047
417920	MCT.f.0579.S60.L001.R1.001.fastq	104480
987032	MCT.f.0585.S28.L001.R1.001.fastq	246758
978980	MCT.f.0612.S48.L001.R1.001.fastq	244745
975144	MCT.f.0625.S65.L001.R1.001.fastq	243786
