	MCT.f.0005	MCT.f.0006	MCT.f.0007	MCT.f.0008	MCT.f.0009	MCT.f.0010	MCT.f.0011	MCT.f.0012	MCT.f.0013	MCT.f.0014	MCT.f.0016	MCT.f.0017
MCT.f.0005	0.0	0.185534591195	0.310541310541	0.377777777778	0.460106382979	0.587628865979	0.583333333333	0.576470588235	0.619318181818	0.617021276596	0.602597402597	0.63358778626
MCT.f.0006	0.185534591195	0.0	0.145348837209	0.238095238095	0.340425531915	0.471649484536	0.598484848485	0.600529100529	0.624352331606	0.594527363184	0.588377723971	0.604316546763
MCT.f.0007	0.310541310541	0.145348837209	0.0	0.102941176471	0.217270194986	0.358490566038	0.493403693931	0.595360824742	0.604591836735	0.582926829268	0.577197149644	0.592941176471
MCT.f.0008	0.377777777778	0.238095238095	0.102941176471	0.0	0.154970760234	0.305084745763	0.447513812155	0.559139784946	0.613402061856	0.591133004926	0.588516746411	0.600950118765
MCT.f.0009	0.460106382979	0.340425531915	0.217270194986	0.154970760234	0.0	0.174846625767	0.332335329341	0.469740634006	0.547683923706	0.571788413098	0.580097087379	0.592771084337
MCT.f.0010	0.587628865979	0.471649484536	0.358490566038	0.305084745763	0.174846625767	0.0	0.198630136986	0.366013071895	0.464831804281	0.511111111111	0.553524804178	0.578406169666
MCT.f.0011	0.583333333333	0.598484848485	0.493403693931	0.447513812155	0.332335329341	0.198630136986	0.0	0.209302325581	0.366197183099	0.44375	0.546478873239	0.592896174863
MCT.f.0012	0.576470588235	0.600529100529	0.595360824742	0.559139784946	0.469740634006	0.366013071895	0.209302325581	0.0	0.233870967742	0.338028169014	0.515151515152	0.594827586207
MCT.f.0013	0.619318181818	0.624352331606	0.604591836735	0.613402061856	0.547683923706	0.464831804281	0.366197183099	0.233870967742	0.0	0.231343283582	0.438095238095	0.525525525526
MCT.f.0014	0.617021276596	0.594527363184	0.582926829268	0.591133004926	0.571788413098	0.511111111111	0.44375	0.338028169014	0.231343283582	0.0	0.252491694352	0.354231974922
MCT.f.0016	0.602597402597	0.588377723971	0.577197149644	0.588516746411	0.580097087379	0.553524804178	0.546478873239	0.515151515152	0.438095238095	0.252491694352	0.0	0.127586206897
MCT.f.0017	0.63358778626	0.604316546763	0.592941176471	0.600950118765	0.592771084337	0.578406169666	0.592896174863	0.594827586207	0.525525525526	0.354231974922	0.127586206897	0.0
