	sample1	sample4	sample5	sample7	sample8	sample9	sample10	sample11	sample12	sample13
sample1	0.0	9.84619402813	8.90765881308	8.77457020057	8.68440442079	9.32264345015	9.96782281172	8.40681404639	9.5207092851	10.9692570403
sample4	9.84619402813	0.0	7.7832749921	9.5418230563	7.99377633091	8.14847276644	4.61068710542	6.71109175946	9.56139568124	9.2014190159
sample5	8.90765881308	7.7832749921	0.0	10.0118267831	8.27802780501	8.22255813086	8.47330609945	7.22482708061	8.34524184679	9.71241674386
sample7	8.77457020057	9.5418230563	10.0118267831	0.0	10.3804421769	10.3581196581	10.8303763441	10.4748783455	9.95978154148	10.0237373737
sample8	8.68440442079	7.99377633091	8.27802780501	10.3804421769	0.0	5.93118785976	7.80538183015	7.12639654402	8.07800336629	9.85110286539
sample9	9.32264345015	8.14847276644	8.22255813086	10.3581196581	5.93118785976	0.0	7.37872208437	6.86546259904	7.81347003512	9.96083916084
sample10	9.96782281172	4.61068710542	8.47330609945	10.8303763441	7.80538183015	7.37872208437	0.0	5.53090416765	8.86110979144	9.63435158032
sample11	8.40681404639	6.71109175946	7.22482708061	10.4748783455	7.12639654402	6.86546259904	5.53090416765	0.0	7.55656665556	10.2603553786
sample12	9.5207092851	9.56139568124	8.34524184679	9.95978154148	8.07800336629	7.81347003512	8.86110979144	7.55656665556	0.0	9.7367965368
sample13	10.9692570403	9.2014190159	9.71241674386	10.0237373737	9.85110286539	9.96083916084	9.63435158032	10.2603553786	9.7367965368	0.0
