	sample1	sample4	sample5	sample7	sample8	sample9	sample10	sample11	sample12	sample13
sample1	0.0	0.790419161677	0.789189189189	0.820689655172	0.732026143791	0.821656050955	0.828947368421	0.757575757576	0.83950617284	0.940397350993
sample4	0.790419161677	0.0	0.578313253012	0.803921568627	0.704402515723	0.737179487179	0.680555555556	0.715976331361	0.809523809524	0.868421052632
sample5	0.789189189189	0.578313253012	0.0	0.848314606742	0.780748663102	0.726744186047	0.738095238095	0.657303370787	0.759776536313	0.872093023256
sample7	0.820689655172	0.803921568627	0.848314606742	0.0	0.841059602649	0.878378378378	0.880281690141	0.872727272727	0.834482758621	0.862903225806
sample8	0.732026143791	0.704402515723	0.780748663102	0.841059602649	0.0	0.568181818182	0.651851851852	0.633986928105	0.657342657343	0.906666666667
sample9	0.821656050955	0.737179487179	0.726744186047	0.878378378378	0.568181818182	0.0	0.441441441441	0.611111111111	0.68345323741	0.908450704225
sample10	0.828947368421	0.680555555556	0.738095238095	0.880281690141	0.651851851852	0.441441441441	0.0	0.591240875912	0.705882352941	0.887218045113
sample11	0.757575757576	0.715976331361	0.657303370787	0.872727272727	0.633986928105	0.611111111111	0.591240875912	0.0	0.655629139073	0.885350318471
sample12	0.83950617284	0.809523809524	0.759776536313	0.834482758621	0.657342657343	0.68345323741	0.705882352941	0.655629139073	0.0	0.838235294118
sample13	0.940397350993	0.868421052632	0.872093023256	0.862903225806	0.906666666667	0.908450704225	0.887218045113	0.885350318471	0.838235294118	0.0
