	sample2	sample4	sample6	sample7	sample8	sample9	sample11	sample12	sample13	sample14
sample2	0.0	9.23162132914	9.20894922353	8.19609789141	9.60272097079	9.06326335958	10.5928397188	8.46520304204	10.4589205439	8.41774983186
sample4	9.23162132914	0.0	9.31698620495	9.05168449757	8.80194594402	8.31902115313	10.086676112	8.6051683934	9.04836358066	10.5589328288
sample6	9.20894922353	9.31698620495	0.0	10.1006713678	10.9809616883	6.9523775023	10.2027137989	9.87295233403	10.6513213443	10.1120792664
sample7	8.19609789141	9.05168449757	10.1006713678	0.0	10.2263238528	9.78918262335	10.1237245339	8.71993358929	9.72094321936	6.81290366365
sample8	9.60272097079	8.80194594402	10.9809616883	10.2263238528	0.0	10.8605300484	11.0847414721	10.1891968863	10.4088503971	11.3262484737
sample9	9.06326335958	8.31902115313	6.9523775023	9.78918262335	10.8605300484	0.0	8.97655583973	9.12063086104	9.88641366684	9.17770693689
sample11	10.5928397188	10.086676112	10.2027137989	10.1237245339	11.0847414721	8.97655583973	0.0	8.27536231884	9.16991643454	10.5077958651
sample12	8.46520304204	8.6051683934	9.87295233403	8.71993358929	10.1891968863	9.12063086104	8.27536231884	0.0	8.553510153	10.2254619136
sample13	10.4589205439	9.04836358066	10.6513213443	9.72094321936	10.4088503971	9.88641366684	9.16991643454	8.553510153	0.0	10.7401285826
sample14	8.41774983186	10.5589328288	10.1120792664	6.81290366365	11.3262484737	9.17770693689	10.5077958651	10.2254619136	10.7401285826	0.0
