	sample2	sample3	sample4	sample5	sample6	sample7	sample8	sample9	sample10	sample11	sample12	sample13	sample14	sample16	sample17
sample2	0.0	3.89693102545	7.06103596173	6.72568161782	9.37742790312	6.24272064484	5.78249983812	6.15146849558	5.55440184758	5.25363555796	4.9074509637	9.04614278774	8.78187302635	5.64472007645	5.87607903516
sample3	3.89693102545	0.0	7.33120602193	7.23347980395	9.28324081417	6.40684589987	6.1995375277	6.22274289285	6.37983505155	6.0721357161	4.95327569006	9.02685760124	7.92991794656	6.03648240313	6.50808705613
sample4	7.06103596173	7.33120602193	0.0	7.19685141816	7.62042124542	7.09243697479	6.568647085	6.75108225108	7.56273015873	7.95994238905	6.73668714798	8.80255935227	7.83310657596	7.39928845101	7.53523809524
sample5	6.72568161782	7.23347980395	7.19685141816	0.0	9.08594547529	7.29450031379	6.59368775854	6.27587348899	7.33068540203	7.03981264637	6.84664198837	8.50341839386	8.65018400803	6.54103407898	7.75880301848
sample6	9.37742790312	9.28324081417	7.62042124542	9.08594547529	0.0	9.19896933132	8.81461179008	9.26777389277	9.43823076923	9.36811109495	9.2301931939	9.17356646715	9.40037938252	9.01569407604	8.36547008547
sample7	6.24272064484	6.40684589987	7.09243697479	7.29450031379	9.19896933132	0.0	7.63636918942	7.36809269162	6.45660130719	7.32387535985	5.74913406223	8.8413572922	7.9883286648	7.21326346631	7.04418300654
sample8	5.78249983812	6.1995375277	6.568647085	6.59368775854	8.81461179008	7.63636918942	0.0	7.78693476824	6.04823676012	6.9413193647	6.08049442267	8.6130517924	8.25704749189	6.19356268128	6.69152647975
sample9	6.15146849558	6.22274289285	6.75108225108	6.27587348899	9.26777389277	7.36809269162	7.78693476824	0.0	7.5762020202	6.07842126368	6.80940743844	7.6218379763	8.77689136261	7.09265064437	7.3298989899
sample10	5.55440184758	6.37983505155	7.56273015873	7.33068540203	9.43823076923	6.45660130719	6.04823676012	7.5762020202	0.0	5.62485192187	4.02341013825	9.53807492795	8.90536054422	5.19491954023	5.05155555556
sample11	5.25363555796	6.0721357161	7.95994238905	7.03981264637	9.36811109495	7.32387535985	6.9413193647	6.07842126368	5.62485192187	0.0	5.57098429347	9.68855379352	9.1652173913	5.60856528258	5.74950640622
sample12	4.9074509637	4.95327569006	6.73668714798	6.84664198837	9.2301931939	5.74913406223	6.08049442267	6.80940743844	4.02341013825	5.57098429347	0.0	9.08921765229	7.52258064516	4.99155808041	4.52098310292
sample13	9.04614278774	9.02685760124	8.80255935227	8.50341839386	9.17356646715	8.8413572922	8.6130517924	7.6218379763	9.53807492795	9.68855379352	9.08921765229	0.0	9.80446979945	9.47997615025	9.44832532821
sample14	8.78187302635	7.92991794656	7.83310657596	8.65018400803	9.40037938252	7.9883286648	8.25704749189	8.77689136261	8.90536054422	9.1652173913	7.52258064516	9.80446979945	0.0	8.40902533427	8.69414965986
sample16	5.64472007645	6.03648240313	7.39928845101	6.54103407898	9.01569407604	7.21326346631	6.19356268128	7.09265064437	5.19491954023	5.60856528258	4.99155808041	9.47997615025	8.40902533427	0.0	4.10509578544
sample17	5.87607903516	6.50808705613	7.53523809524	7.75880301848	8.36547008547	7.04418300654	6.69152647975	7.3298989899	5.05155555556	5.74950640622	4.52098310292	9.44832532821	8.69414965986	4.10509578544	0.0
