	sample2	sample3	sample4	sample5	sample6	sample8	sample9	sample10	sample11	sample13	sample14
sample2	0.0	4.09795918367	8.32974910394	8.49315068493	10.0344671202	11.1500827358	11.4246479987	10.8720739578	10.303030303	11.203539823	10.6406472648
sample3	4.09795918367	0.0	8.7311827957	8.67397260274	10.3601532567	11.3378378378	11.6124031008	11.0598290598	10.0666666667	11.6504424779	11.0650887574
sample4	8.32974910394	8.7311827957	0.0	4.26487946187	9.04585341738	9.71138477187	10.2188880553	9.91838985387	7.78696643858	9.47549719288	9.55877924116
sample5	8.49315068493	8.67397260274	4.26487946187	0.0	9.17247677531	10.2190392447	10.4893844466	10.2067673575	8.21552511416	10.1571463208	9.99530950258
sample6	10.0344671202	10.3601532567	9.04585341738	9.17247677531	0.0	7.93777829554	7.99429742493	8.32557225661	9.38850574713	10.4981181975	9.4692239679
sample8	11.1500827358	11.3378378378	9.71138477187	10.2190392447	7.93777829554	0.0	3.12149067672	2.98205898206	5.23069205569	9.15552499402	9.98226851111
sample9	11.4246479987	11.6124031008	10.2188880553	10.4893844466	7.99429742493	3.12149067672	0.0	2.42204995693	5.90335917313	9.40264343372	10.1395654634
sample10	10.8720739578	11.0598290598	9.91838985387	10.2067673575	8.32557225661	2.98205898206	2.42204995693	0.0	5.22864542865	9.29704006253	10.2292351523
sample11	10.303030303	10.0666666667	7.78696643858	8.21552511416	9.38850574713	5.23069205569	5.90335917313	5.22864542865	0.0	8.74432823813	10.3442711135
sample13	11.203539823	11.6504424779	9.47549719288	10.1571463208	10.4981181975	9.15552499402	9.40264343372	9.29704006253	8.74432823813	0.0	6.47836483915
sample14	10.6406472648	11.0650887574	9.55877924116	9.99530950258	9.4692239679	9.98226851111	10.1395654634	10.2292351523	10.3442711135	6.47836483915	0.0
