	sample2	sample3	sample4	sample5	sample6	sample8	sample9	sample10	sample11	sample13	sample14
sample2	0.0	0.566666666667	0.908045977011	0.9375	0.901408450704	0.970873786408	0.968421052632	0.965517241379	0.897959183673	0.898734177215	0.909090909091
sample3	0.566666666667	0.0	0.921052631579	0.941176470588	0.916666666667	0.978021978022	0.975903614458	0.973333333333	0.920454545455	0.986301369863	0.960317460317
sample4	0.908045977011	0.921052631579	0.0	0.45	0.841584158416	0.760683760684	0.776785714286	0.759615384615	0.73275862069	0.727272727273	0.87037037037
sample5	0.9375	0.941176470588	0.45	0.0	0.797752808989	0.805309734513	0.790476190476	0.773195876289	0.743119266055	0.752688172043	0.876623376623
sample6	0.901408450704	0.916666666667	0.841584158416	0.797752808989	0.0	0.780952380952	0.775510204082	0.755555555556	0.869565217391	0.852631578947	0.885906040268
sample8	0.970873786408	0.978021978022	0.760683760684	0.805309734513	0.780952380952	0.0	0.298850574713	0.227848101266	0.563636363636	0.557894736842	0.916201117318
sample9	0.968421052632	0.975903614458	0.776785714286	0.790476190476	0.775510204082	0.298850574713	0.0	0.114285714286	0.514851485149	0.5	0.872727272727
sample10	0.965517241379	0.973333333333	0.759615384615	0.773195876289	0.755555555556	0.227848101266	0.114285714286	0.0	0.47311827957	0.448717948718	0.907975460123
sample11	0.897959183673	0.920454545455	0.73275862069	0.743119266055	0.869565217391	0.563636363636	0.514851485149	0.47311827957	0.0	0.472527472527	0.886363636364
sample13	0.898734177215	0.986301369863	0.727272727273	0.752688172043	0.852631578947	0.557894736842	0.5	0.448717948718	0.472527472527	0.0	0.825503355705
sample14	0.909090909091	0.960317460317	0.87037037037	0.876623376623	0.885906040268	0.916201117318	0.872727272727	0.907975460123	0.886363636364	0.825503355705	0.0
