	sample1	sample2	sample3	sample4	sample5	sample6	sample7	sample8	sample9	sample10	sample12	sample14	sample15	sample16	sample17
sample1	0.0	11.2774163982	11.631947236	11.6335365987	11.6176916377	11.1784563976	11.9560799306	13.7534227503	12.8232047389	15.1248009769	18.1930211568	15.9524721642	16.7347030445	15.0922659572	22.0333487155
sample2	11.2774163982	0.0	10.8330957508	10.3216170623	10.4978924889	13.2277733301	15.0131997056	15.1970778447	14.9969720051	15.2101812421	17.71679806	14.7355566271	15.8838231755	12.9557877496	20.8285169603
sample3	11.631947236	10.8330957508	0.0	10.7430576388	9.79914346738	12.8654770582	15.0692529858	14.9656980271	13.3535610454	15.5640938935	16.4356476194	15.7588760303	15.6520635801	15.0540472185	20.8045245441
sample4	11.6335365987	10.3216170623	10.7430576388	0.0	11.2990356927	10.1125895602	14.4682446292	15.4716617442	12.1616014243	14.0367440482	14.2072808252	13.1224136159	11.4092759158	10.6661687804	19.1243578847
sample5	11.6176916377	10.4978924889	9.79914346738	11.2990356927	0.0	11.8637608671	14.2223418206	13.0041992723	14.8329299518	16.7484886273	17.8704346922	15.9753517603	16.6025385652	15.1491510786	20.6767236258
sample6	11.1784563976	13.2277733301	12.8654770582	10.1125895602	11.8637608671	0.0	12.0195475165	14.6171641098	11.2712756037	15.4700739657	14.2618229709	14.6576916205	12.6605564862	13.4735571346	20.5690582087
sample7	11.9560799306	15.0131997056	15.0692529858	14.4682446292	14.2223418206	12.0195475165	0.0	14.3805733321	13.8505405247	16.2027778691	17.8263066991	14.464600295	18.2235272281	16.0425624405	23.0953472136
sample8	13.7534227503	15.1970778447	14.9656980271	15.4716617442	13.0041992723	14.6171641098	14.3805733321	0.0	13.8889204002	14.91571821	17.7194433707	19.3514641581	17.9485461975	16.8073278462	19.7407068725
sample9	12.8232047389	14.9969720051	13.3535610454	12.1616014243	14.8329299518	11.2712756037	13.8505405247	13.8889204002	0.0	12.6229418713	12.5455418225	16.6760756908	12.32556266	13.8806292226	20.0070872056
sample10	15.1248009769	15.2101812421	15.5640938935	14.0367440482	16.7484886273	15.4700739657	16.2027778691	14.91571821	12.6229418713	0.0	11.0126398773	15.6081397512	12.7782874884	13.5372548294	18.0065350859
sample12	18.1930211568	17.71679806	16.4356476194	14.2072808252	17.8704346922	14.2618229709	17.8263066991	17.7194433707	12.5455418225	11.0126398773	0.0	15.1375590877	10.1804995571	13.9257586111	19.2362803586
sample14	15.9524721642	14.7355566271	15.7588760303	13.1224136159	15.9753517603	14.6576916205	14.464600295	19.3514641581	16.6760756908	15.6081397512	15.1375590877	0.0	14.1415855366	12.1366609447	22.6539453246
sample15	16.7347030445	15.8838231755	15.6520635801	11.4092759158	16.6025385652	12.6605564862	18.2235272281	17.9485461975	12.32556266	12.7782874884	10.1804995571	14.1415855366	0.0	10.6227843436	18.2815322957
sample16	15.0922659572	12.9557877496	15.0540472185	10.6661687804	15.1491510786	13.4735571346	16.0425624405	16.8073278462	13.8806292226	13.5372548294	13.9257586111	12.1366609447	10.6227843436	0.0	18.1057058751
sample17	22.0333487155	20.8285169603	20.8045245441	19.1243578847	20.6767236258	20.5690582087	23.0953472136	19.7407068725	20.0070872056	18.0065350859	19.2362803586	22.6539453246	18.2815322957	18.1057058751	0.0
