	sample2	sample3	sample4	sample5	sample7	sample8	sample9	sample10	sample11	sample13	sample14	sample15	sample16
sample2	0.0	0.521367521368	0.504347826087	0.672566371681	0.69298245614	0.648854961832	0.617886178862	0.627118644068	0.66935483871	0.75	0.72	0.732283464567	0.527272727273
sample3	0.521367521368	0.0	0.336363636364	0.722222222222	0.558558558559	0.617647058824	0.491666666667	0.604838709677	0.625	0.632	0.674418604651	0.666666666667	0.508620689655
sample4	0.504347826087	0.336363636364	0.0	0.666666666667	0.663865546218	0.572519083969	0.646616541353	0.578512396694	0.653846153846	0.671875	0.650793650794	0.6640625	0.529914529915
sample5	0.672566371681	0.722222222222	0.666666666667	0.0	0.776785714286	0.740458015267	0.755905511811	0.8	0.735537190083	0.806451612903	0.735042735043	0.747899159664	0.780487804878
sample7	0.69298245614	0.558558558559	0.663865546218	0.776785714286	0.0	0.677419354839	0.669491525424	0.657657657658	0.654867256637	0.663636363636	0.6875	0.603773584906	0.553398058252
sample8	0.648854961832	0.617647058824	0.572519083969	0.740458015267	0.677419354839	0.0	0.508064516129	0.572580645161	0.448275862069	0.653846153846	0.643410852713	0.625	0.726618705036
sample9	0.617886178862	0.491666666667	0.646616541353	0.755905511811	0.669491525424	0.508064516129	0.0	0.606557377049	0.570247933884	0.611570247934	0.666666666667	0.65873015873	0.671875
sample10	0.627118644068	0.604838709677	0.578512396694	0.8	0.657657657658	0.572580645161	0.606557377049	0.0	0.53982300885	0.677685950413	0.620689655172	0.5625	0.578947368421
sample11	0.66935483871	0.625	0.653846153846	0.735537190083	0.654867256637	0.448275862069	0.570247933884	0.53982300885	0.0	0.66393442623	0.63025210084	0.573913043478	0.636363636364
sample13	0.75	0.632	0.671875	0.806451612903	0.663636363636	0.653846153846	0.611570247934	0.677685950413	0.66393442623	0.0	0.637931034483	0.485714285714	0.558558558559
sample14	0.72	0.674418604651	0.650793650794	0.735042735043	0.6875	0.643410852713	0.666666666667	0.620689655172	0.63025210084	0.637931034483	0.0	0.567567567568	0.64406779661
sample15	0.732283464567	0.666666666667	0.6640625	0.747899159664	0.603773584906	0.625	0.65873015873	0.5625	0.573913043478	0.485714285714	0.567567567568	0.0	0.54954954955
sample16	0.527272727273	0.508620689655	0.529914529915	0.780487804878	0.553398058252	0.726618705036	0.671875	0.578947368421	0.636363636364	0.558558558559	0.64406779661	0.54954954955	0.0
