	sample2	sample3	sample4	sample5	sample7	sample8	sample9	sample10	sample11	sample13	sample14	sample15	sample16
sample2	0.0	5.20935876982	3.85036351619	8.06479176479	5.08234159963	7.07458349477	6.39936920954	4.2764397642	7.17293446284	8.53673978955	7.99270648531	7.84095311895	4.13521669342
sample3	5.20935876982	0.0	5.07366269771	6.79991678275	5.8951357729	7.10488592562	5.64038797901	5.68367360763	5.63595642685	7.97422433223	6.54606809067	6.64146265236	5.5329305136
sample4	3.85036351619	5.07366269771	0.0	8.01497005988	5.85969369997	7.91987829615	7.59318885449	5.09541018201	7.81516051215	8.00317460317	7.79673202614	8.38356997972	5.43445378151
sample5	8.06479176479	6.79991678275	8.01497005988	0.0	7.78368706374	8.61015899236	7.38558672129	8.35412582906	7.711970381	9.4380287045	7.36582974402	7.74020235391	8.18747647562
sample7	5.08234159963	5.8951357729	5.85969369997	7.78368706374	0.0	6.27680065293	7.34759680266	3.78679650808	6.53551229164	8.27542969851	7.76843489394	5.43856355846	4.45727810651
sample8	7.07458349477	7.10488592562	7.91987829615	8.61015899236	6.27680065293	0.0	5.29582577132	5.73570434514	5.42060263244	7.5275862069	7.08090340795	4.82068965517	7.4963546798
sample9	6.39936920954	5.64038797901	7.59318885449	7.38558672129	7.34759680266	5.29582577132	0.0	6.47983636221	5.63610603797	7.07435254804	7.5134502924	6.14676346038	7.05032581454
sample10	4.2764397642	5.68367360763	5.09541018201	8.35412582906	3.78679650808	5.73570434514	6.47983636221	0.0	5.70468659377	8.53082069898	6.81871345029	6.15413638472	4.10354900705
sample11	7.17293446284	5.63595642685	7.81516051215	7.711970381	6.53551229164	5.42060263244	5.63610603797	5.70468659377	0.0	7.67310099644	6.92984300921	5.53756118786	6.72553402434
sample13	8.53673978955	7.97422433223	8.00317460317	9.4380287045	8.27542969851	7.5275862069	7.07435254804	8.53082069898	7.67310099644	0.0	8.09941520468	6.15194307608	6.65301587302
sample14	7.99270648531	6.54606809067	7.79673202614	7.36582974402	7.76843489394	7.08090340795	7.5134502924	6.81871345029	6.92984300921	8.09941520468	0.0	7.02698124622	6.60126984127
sample15	7.84095311895	6.64146265236	8.38356997972	7.74020235391	5.43856355846	4.82068965517	6.14676346038	6.15413638472	5.53756118786	6.15194307608	7.02698124622	0.0	6.46995073892
sample16	4.13521669342	5.5329305136	5.43445378151	8.18747647562	4.45727810651	7.4963546798	7.05032581454	4.10354900705	6.72553402434	6.65301587302	6.60126984127	6.46995073892	0.0
