	MCT.f.0035	MCT.f.0036	MCT.f.0037	MCT.f.0038	MCT.f.0039	MCT.f.0042	MCT.f.0043	MCT.f.0044	MCT.f.0045	MCT.f.0048	MCT.f.0049	MCT.f.0051
MCT.f.0035	0.0	11.5595913744	13.5903119337	13.0414021287	13.3968143224	11.8523203903	12.1781792649	14.8274714303	10.2940383309	14.326628425	12.3915807694	12.1040190986
MCT.f.0036	11.5595913744	0.0	15.4301767016	15.0385075896	13.9249432379	15.0441099326	15.4976077951	16.3161124658	13.1493796327	17.4935051988	14.430535456	14.9806499253
MCT.f.0037	13.5903119337	15.4301767016	0.0	6.49582381711	12.2366093849	10.281331544	10.5337599368	10.1314033885	11.9785995252	9.59441933877	9.75728802165	9.29805087801
MCT.f.0038	13.0414021287	15.0385075896	6.49582381711	0.0	13.1189331209	10.1058996903	9.70261926917	11.7429124898	11.6669764922	9.53242760928	10.0459446837	7.93045147151
MCT.f.0039	13.3968143224	13.9249432379	12.2366093849	13.1189331209	0.0	14.1426098537	12.8508162019	12.9912023213	10.5122310725	14.6498170896	11.2384090631	13.4217221256
MCT.f.0042	11.8523203903	15.0441099326	10.281331544	10.1058996903	14.1426098537	0.0	8.56796717773	11.0192795071	11.5446860005	9.54268300231	10.8515825866	10.0360855778
MCT.f.0043	12.1781792649	15.4976077951	10.5337599368	9.70261926917	12.8508162019	8.56796717773	0.0	11.3581777367	9.10196123654	9.1379092153	10.3498303591	8.47201369954
MCT.f.0044	14.8274714303	16.3161124658	10.1314033885	11.7429124898	12.9912023213	11.0192795071	11.3581777367	0.0	12.3520483295	12.2481188421	9.79457768238	11.3452425308
MCT.f.0045	10.2940383309	13.1493796327	11.9785995252	11.6669764922	10.5122310725	11.5446860005	9.10196123654	12.3520483295	0.0	11.6178668002	9.13947042436	9.08277182913
MCT.f.0048	14.326628425	17.4935051988	9.59441933877	9.53242760928	14.6498170896	9.54268300231	9.1379092153	12.2481188421	11.6178668002	0.0	11.1724646517	8.15437896536
MCT.f.0049	12.3915807694	14.430535456	9.75728802165	10.0459446837	11.2384090631	10.8515825866	10.3498303591	9.79457768238	9.13947042436	11.1724646517	0.0	9.58451131535
MCT.f.0051	12.1040190986	14.9806499253	9.29805087801	7.93045147151	13.4217221256	10.0360855778	8.47201369954	11.3452425308	9.08277182913	8.15437896536	9.58451131535	0.0
