	MCT.f.0206	MCT.f.0209	MCT.f.0211	MCT.f.0213	MCT.f.0214	MCT.f.0215	MCT.f.0216	MCT.f.0218	MCT.f.0219	MCT.f.0220	MCT.f.0221
MCT.f.0206	0.0	6.95656363314	7.25551021377	7.42651165921	7.52712155704	8.23314996412	7.51137332022	7.65829233096	8.00013247841	7.63923728274	7.60935524652
MCT.f.0209	6.95656363314	0.0	6.04251134993	6.65942526356	6.33266622084	7.35444900488	7.29936326011	8.00887182576	7.80423107939	7.60863515491	7.49442284077
MCT.f.0211	7.25551021377	6.04251134993	0.0	6.16635575626	6.43296902047	7.48453010651	7.58291132956	6.97244768431	8.0066703055	7.82896792486	6.29414975105
MCT.f.0213	7.42651165921	6.65942526356	6.16635575626	0.0	3.11503358574	5.78971671291	7.07663709337	7.67461734408	8.04474321319	7.92497104978	7.29014575412
MCT.f.0214	7.52712155704	6.33266622084	6.43296902047	3.11503358574	0.0	4.93414982274	6.54031169159	7.94136212569	8.1499913291	7.61511404165	7.08831224142
MCT.f.0215	8.23314996412	7.35444900488	7.48453010651	5.78971671291	4.93414982274	0.0	3.69219219219	7.40356466486	7.26053298808	7.32890012314	7.1453989704
MCT.f.0216	7.51137332022	7.29936326011	7.58291132956	7.07663709337	6.54031169159	3.69219219219	0.0	6.34181765262	6.96864049678	7.10820676792	6.97169312169
MCT.f.0218	7.65829233096	8.00887182576	6.97244768431	7.67461734408	7.94136212569	7.40356466486	6.34181765262	0.0	5.2211510182	6.58283981852	6.58558097109
MCT.f.0219	8.00013247841	7.80423107939	8.0066703055	8.04474321319	8.1499913291	7.26053298808	6.96864049678	5.2211510182	0.0	3.3407357946	5.05327202737
MCT.f.0220	7.63923728274	7.60863515491	7.82896792486	7.92497104978	7.61511404165	7.32890012314	7.10820676792	6.58283981852	3.3407357946	0.0	4.25475334018
MCT.f.0221	7.60935524652	7.49442284077	6.29414975105	7.29014575412	7.08831224142	7.1453989704	6.97169312169	6.58558097109	5.05327202737	4.25475334018	0.0
