	MCT.f.0206	MCT.f.0209	MCT.f.0211	MCT.f.0213	MCT.f.0214	MCT.f.0215	MCT.f.0216	MCT.f.0218	MCT.f.0219	MCT.f.0220	MCT.f.0221
MCT.f.0206	0.0	0.542510121457	0.673992673993	0.739436619718	0.73851590106	0.735632183908	0.742424242424	0.776470588235	0.769841269841	0.741071428571	0.728744939271
MCT.f.0209	0.542510121457	0.0	0.425087108014	0.634146341463	0.681415929204	0.719512195122	0.697530864198	0.759259259259	0.753894080997	0.78431372549	0.7375
MCT.f.0211	0.673992673993	0.425087108014	0.0	0.398576512456	0.488215488215	0.58389261745	0.577181208054	0.679738562092	0.686274509804	0.683098591549	0.664473684211
MCT.f.0213	0.739436619718	0.634146341463	0.398576512456	0.0	0.168724279835	0.354330708661	0.421052631579	0.620689655172	0.646258503401	0.664259927798	0.637288135593
MCT.f.0214	0.73851590106	0.681415929204	0.488215488215	0.168724279835	0.0	0.210300429185	0.350393700787	0.609756097561	0.685430463576	0.71875	0.672185430464
MCT.f.0215	0.735632183908	0.719512195122	0.58389261745	0.354330708661	0.210300429185	0.0	0.234234234234	0.580152671756	0.664259927798	0.69465648855	0.669039145907
MCT.f.0216	0.742424242424	0.697530864198	0.577181208054	0.421052631579	0.350393700787	0.234234234234	0.0	0.467213114754	0.552529182879	0.640316205534	0.622710622711
MCT.f.0218	0.776470588235	0.759259259259	0.679738562092	0.620689655172	0.609756097561	0.580152671756	0.467213114754	0.0	0.248756218905	0.434782608696	0.510460251046
MCT.f.0219	0.769841269841	0.753894080997	0.686274509804	0.646258503401	0.685430463576	0.664259927798	0.552529182879	0.248756218905	0.0	0.220994475138	0.36866359447
MCT.f.0220	0.741071428571	0.78431372549	0.683098591549	0.664259927798	0.71875	0.69465648855	0.640316205534	0.434782608696	0.220994475138	0.0	0.265957446809
MCT.f.0221	0.728744939271	0.7375	0.664473684211	0.637288135593	0.672185430464	0.669039145907	0.622710622711	0.510460251046	0.36866359447	0.265957446809	0.0
