	sample1	sample2	sample3	sample4	sample5	sample6	sample7	sample8	sample9	sample10	sample11	sample12	sample13
sample1	0.0	9.92225440313	8.01054459165	8.3212740756	7.2082821461	9.4060665362	8.35673114968	6.7411112299	8.53130233952	8.42064192749	9.83380268245	8.59099804305	8.03269850043
sample2	9.92225440313	0.0	7.01119305857	8.26384210526	9.04205257624	9.19027106227	8.8	7.76095011876	9.11113513514	7.50229244629	8.19149825784	7.95560738581	10.1043150817
sample3	8.01054459165	7.01119305857	0.0	5.36612341592	7.93868766979	8.9705847298	8.6312957102	7.70726655366	8.33063649333	7.84536914689	8.72085377191	7.82909507156	9.52080116524
sample4	8.3212740756	8.26384210526	5.36612341592	0.0	8.29252448946	8.58104395604	6.90753523152	7.88068821103	9.06893077288	8.90790841449	8.19592426187	6.88330520178	8.79493402093
sample5	7.2082821461	9.04205257624	7.93868766979	8.29252448946	0.0	9.48706971262	9.55670476289	5.96042170887	9.19674879927	9.57779861881	8.8203871223	8.72139500235	8.24754770498
sample6	9.4060665362	9.19027106227	8.9705847298	8.58104395604	9.48706971262	0.0	7.43145379211	9.31728485291	8.6085041085	9.61583011583	8.10935406057	9.08208118412	9.28473255851
sample7	8.35673114968	8.8	8.6312957102	6.90753523152	9.55670476289	7.43145379211	0.0	9.36248588451	7.83074878157	8.10270043057	8.3912530226	7.09412289506	8.7725705107
sample8	6.7411112299	7.76095011876	7.70726655366	7.88068821103	5.96042170887	9.31728485291	9.36248588451	0.0	7.92775673536	8.20071011995	9.65021063173	7.83413086986	8.08972735425
sample9	8.53130233952	9.11113513514	8.33063649333	9.06893077288	9.19674879927	8.6085041085	7.83074878157	7.92775673536	0.0	7.02286902287	7.64554101139	8.96041814409	10.2026637589
sample10	8.42064192749	7.50229244629	7.84536914689	8.90790841449	9.57779861881	9.61583011583	8.10270043057	8.20071011995	7.02286902287	0.0	8.29369707418	6.00320032973	7.64020682176
sample11	9.83380268245	8.19149825784	8.72085377191	8.19592426187	8.8203871223	8.10935406057	8.3912530226	9.65021063173	7.64554101139	8.29369707418	0.0	9.29417620707	10.1389310064
sample12	8.59099804305	7.95560738581	7.82909507156	6.88330520178	8.72139500235	9.08208118412	7.09412289506	7.83413086986	8.96041814409	6.00320032973	9.29417620707	0.0	4.88762487292
sample13	8.03269850043	10.1043150817	9.52080116524	8.79493402093	8.24754770498	9.28473255851	8.7725705107	8.08972735425	10.2026637589	7.64020682176	10.1389310064	4.88762487292	0.0
