	sample1	sample2	sample3	sample4	sample5	sample6	sample7	sample8	sample9	sample10	sample11	sample13
sample1	0.0	0.75	0.606060606061	0.607692307692	0.673913043478	0.726618705036	0.835714285714	0.66935483871	0.581395348837	0.6875	0.625	0.742424242424
sample2	0.75	0.0	0.69696969697	0.6796875	0.733333333333	0.846153846154	0.811023622047	0.681034482759	0.795774647887	0.779310344828	0.71724137931	0.787401574803
sample3	0.606060606061	0.69696969697	0.0	0.521367521368	0.694029850746	0.757352941176	0.76	0.646551724138	0.674242424242	0.639097744361	0.652482269504	0.784615384615
sample4	0.607692307692	0.6796875	0.521367521368	0.0	0.624	0.732824427481	0.754098360656	0.612612612613	0.612903225806	0.661654135338	0.550387596899	0.76
sample5	0.673913043478	0.733333333333	0.694029850746	0.624	0.0	0.782608695652	0.806201550388	0.689075630252	0.701492537313	0.686131386861	0.65	0.810606060606
sample6	0.726618705036	0.846153846154	0.757352941176	0.732824427481	0.782608695652	0.0	0.62962962963	0.760330578512	0.746268656716	0.832214765101	0.729166666667	0.663716814159
sample7	0.835714285714	0.811023622047	0.76	0.754098360656	0.806201550388	0.62962962963	0.0	0.796460176991	0.815384615385	0.86524822695	0.801418439716	0.808695652174
sample8	0.66935483871	0.681034482759	0.646551724138	0.612612612613	0.689075630252	0.760330578512	0.796460176991	0.0	0.710743801653	0.724409448819	0.684615384615	0.822033898305
sample9	0.581395348837	0.795774647887	0.674242424242	0.612903225806	0.701492537313	0.746268656716	0.815384615385	0.710743801653	0.0	0.65671641791	0.53488372093	0.792307692308
sample10	0.6875	0.779310344828	0.639097744361	0.661654135338	0.686131386861	0.832214765101	0.86524822695	0.724409448819	0.65671641791	0.0	0.708609271523	0.765151515152
sample11	0.625	0.71724137931	0.652482269504	0.550387596899	0.65	0.729166666667	0.801418439716	0.684615384615	0.53488372093	0.708609271523	0.0	0.780141843972
sample13	0.742424242424	0.787401574803	0.784615384615	0.76	0.810606060606	0.663716814159	0.808695652174	0.822033898305	0.792307692308	0.765151515152	0.780141843972	0.0
