	sample1	sample2	sample5	sample6	sample7	sample8	sample11	sample12	sample13	sample14
sample1	0.0	7.52930699755	7.06676404647	7.05708209782	8.33467123695	7.71440144714	6.2640235121	5.55551506001	8.42473466333	7.90991910558
sample2	7.52930699755	0.0	8.04441980783	8.38983382209	8.10559776439	8.18757696487	8.11762683562	7.7891107335	10.274316728	9.51753839768
sample5	7.06676404647	8.04441980783	0.0	7.98088119591	9.0381809236	8.61651281055	7.14715183619	7.36850923182	6.70339071195	9.22053123956
sample6	7.05708209782	8.38983382209	7.98088119591	0.0	5.92060363794	9.12127832755	7.99043585856	8.14317154055	9.19260838664	7.83241272647
sample7	8.33467123695	8.10559776439	9.0381809236	5.92060363794	0.0	8.68268329181	9.55409880476	8.36392038568	9.12227254014	7.66570605187
sample8	7.71440144714	8.18757696487	8.61651281055	9.12127832755	8.68268329181	0.0	8.64897837069	7.95684241228	10.7171314741	9.99169077116
sample11	6.2640235121	8.11762683562	7.14715183619	7.99043585856	9.55409880476	8.64897837069	0.0	6.9556529181	9.24610105297	8.99994449502
sample12	5.55551506001	7.7891107335	7.36850923182	8.14317154055	8.36392038568	7.95684241228	6.9556529181	0.0	8.34963533468	7.74411086929
sample13	8.42473466333	10.274316728	6.70339071195	9.19260838664	9.12227254014	10.7171314741	9.24610105297	8.34963533468	0.0	8.98698776178
sample14	7.90991910558	9.51753839768	9.22053123956	7.83241272647	7.66570605187	9.99169077116	8.99994449502	7.74411086929	8.98698776178	0.0
