	sample1	sample2	sample5	sample6	sample7	sample8	sample11	sample12	sample13	sample14
sample1	0.0	0.743169398907	0.711409395973	0.766423357664	0.776315789474	0.694267515924	0.708609271523	0.7	0.882882882883	0.854700854701
sample2	0.743169398907	0.0	0.663101604278	0.829896907216	0.755102040816	0.759433962264	0.72864321608	0.688524590164	0.916666666667	0.921348314607
sample5	0.711409395973	0.663101604278	0.0	0.78064516129	0.7125	0.636363636364	0.704819277108	0.760736196319	0.900763358779	0.9
sample6	0.766423357664	0.829896907216	0.78064516129	0.0	0.673913043478	0.832369942197	0.784810126582	0.874213836478	0.90990990991	0.899159663866
sample7	0.776315789474	0.755102040816	0.7125	0.673913043478	0.0	0.734104046243	0.805714285714	0.775	0.859504132231	0.878787878788
sample8	0.694267515924	0.759433962264	0.636363636364	0.832369942197	0.734104046243	0.0	0.747252747253	0.792134831461	0.902097902098	0.908496732026
sample11	0.708609271523	0.72864321608	0.704819277108	0.784810126582	0.805714285714	0.747252747253	0.0	0.742331288344	0.919117647059	0.91724137931
sample12	0.7	0.688524590164	0.760736196319	0.874213836478	0.775	0.792134831461	0.742331288344	0.0	0.892561983471	0.809917355372
sample13	0.882882882883	0.916666666667	0.900763358779	0.90990990991	0.859504132231	0.902097902098	0.919117647059	0.892561983471	0.0	0.883116883117
sample14	0.854700854701	0.921348314607	0.9	0.899159663866	0.878787878788	0.908496732026	0.91724137931	0.809917355372	0.883116883117	0.0
