	sample2	sample3	sample4	sample5	sample7	sample8	sample9	sample10	sample11	sample13	sample14	sample15	sample16
sample2	0.0	8.50926219506	12.051917121	10.1652496545	11.7806557425	10.5444007705	12.6829045716	13.8298259233	11.6066067319	12.7696506863	16.9068447063	13.3151986124	17.1950063131
sample3	8.50926219506	0.0	9.75843932592	5.91468592553	9.77361829176	7.44186248244	11.7913530048	13.7663474061	7.84417055771	10.4367283217	14.1111455852	8.73097852364	14.2963823321
sample4	12.051917121	9.75843932592	0.0	11.4027489316	8.34093529215	10.7217634227	11.4948945321	11.3992463999	11.7431089875	12.8970121166	12.5996040688	12.9307401218	15.265198425
sample5	10.1652496545	5.91468592553	11.4027489316	0.0	10.9966276779	7.57792988112	12.4467152266	14.7266137128	7.15031051392	9.54667565159	14.772046427	8.05411963112	13.7163777965
sample7	11.7806557425	9.77361829176	8.34093529215	10.9966276779	0.0	8.22560998268	9.43802860894	11.8397508429	12.3942765716	12.7958559163	13.1986603112	11.9754191899	15.8724001788
sample8	10.5444007705	7.44186248244	10.7217634227	7.57792988112	8.22560998268	0.0	9.14988426618	13.2350922715	10.6824738553	11.2053925602	14.088583027	9.7979773107	14.6882338621
sample9	12.6829045716	11.7913530048	11.4948945321	12.4467152266	9.43802860894	9.14988426618	0.0	12.6498803467	13.7303750757	12.8150726767	13.5013385567	12.1515050421	16.2125495199
sample10	13.8298259233	13.7663474061	11.3992463999	14.7266137128	11.8397508429	13.2350922715	12.6498803467	0.0	14.4058131122	12.9866700291	13.5610242942	15.8894640429	14.0002470439
sample11	11.6066067319	7.84417055771	11.7431089875	7.15031051392	12.3942765716	10.6824738553	13.7303750757	14.4058131122	0.0	8.7907577313	13.7418610662	7.7112271365	12.8557183915
sample13	12.7696506863	10.4367283217	12.8970121166	9.54667565159	12.7958559163	11.2053925602	12.8150726767	12.9866700291	8.7907577313	0.0	12.0144392315	10.7725040905	11.3079463687
sample14	16.9068447063	14.1111455852	12.5996040688	14.772046427	13.1986603112	14.088583027	13.5013385567	13.5610242942	13.7418610662	12.0144392315	0.0	13.5750342608	13.956270992
sample15	13.3151986124	8.73097852364	12.9307401218	8.05411963112	11.9754191899	9.7979773107	12.1515050421	15.8894640429	7.7112271365	10.7725040905	13.5750342608	0.0	14.919752179
sample16	17.1950063131	14.2963823321	15.265198425	13.7163777965	15.8724001788	14.6882338621	16.2125495199	14.0002470439	12.8557183915	11.3079463687	13.956270992	14.919752179	0.0
