	MCT.f.0209	MCT.f.0211	MCT.f.0213	MCT.f.0214	MCT.f.0215	MCT.f.0216	MCT.f.0218	MCT.f.0219	MCT.f.0220	MCT.f.0221
MCT.f.0209	0.0	0.467625899281	0.736334405145	0.731034482759	0.795774647887	0.748091603053	0.757894736842	0.758741258741	0.816091954023	0.758241758242
MCT.f.0211	0.467625899281	0.0	0.56183745583	0.722408026756	0.759581881533	0.738007380074	0.69964664311	0.744897959184	0.757692307692	0.711678832117
MCT.f.0213	0.736334405145	0.56183745583	0.0	0.338095238095	0.538461538462	0.733606557377	0.706563706564	0.712643678161	0.722466960352	0.714859437751
MCT.f.0214	0.731034482759	0.722408026756	0.338095238095	0.0	0.325842696629	0.634615384615	0.793774319066	0.78515625	0.806306306306	0.728448275862
MCT.f.0215	0.795774647887	0.759581881533	0.538461538462	0.325842696629	0.0	0.482352941176	0.775862068966	0.782051282051	0.786802030457	0.760368663594
MCT.f.0216	0.748091603053	0.738007380074	0.733606557377	0.634615384615	0.482352941176	0.0	0.59375	0.74537037037	0.756906077348	0.698979591837
MCT.f.0218	0.757894736842	0.69964664311	0.706563706564	0.793774319066	0.775862068966	0.59375	0.0	0.273255813953	0.613259668508	0.655502392344
MCT.f.0219	0.758741258741	0.744897959184	0.712643678161	0.78515625	0.782051282051	0.74537037037	0.273255813953	0.0	0.405063291139	0.538860103627
MCT.f.0220	0.816091954023	0.757692307692	0.722466960352	0.806306306306	0.786802030457	0.756906077348	0.613259668508	0.405063291139	0.0	0.534161490683
MCT.f.0221	0.758241758242	0.711678832117	0.714859437751	0.728448275862	0.760368663594	0.698979591837	0.655502392344	0.538860103627	0.534161490683	0.0
