	MCT.f.0141	MCT.f.0142	MCT.f.0143	MCT.f.0144	MCT.f.0145	MCT.f.0146	MCT.f.0147	MCT.f.0148	MCT.f.0149	MCT.f.0150	MCT.f.0151	MCT.f.0152	MCT.f.0153
MCT.f.0141	0.0	0.317596566524	0.446640316206	0.488721804511	0.545454545455	0.524344569288	0.531007751938	0.534090909091	0.606617647059	0.642599277978	0.604316546763	0.575757575758	0.55303030303
MCT.f.0142	0.317596566524	0.0	0.225663716814	0.326530612245	0.393700787402	0.516605166052	0.582417582418	0.553113553114	0.622775800712	0.680412371134	0.629757785467	0.633451957295	0.621908127208
MCT.f.0143	0.446640316206	0.225663716814	0.0	0.173333333333	0.323770491803	0.455938697318	0.609318996416	0.570397111913	0.599277978339	0.653846153846	0.626297577855	0.644366197183	0.628070175439
MCT.f.0144	0.488721804511	0.326530612245	0.173333333333	0.0	0.174672489083	0.325203252033	0.496212121212	0.532608695652	0.582142857143	0.646048109966	0.604810996564	0.60777385159	0.591549295775
MCT.f.0145	0.545454545455	0.393700787402	0.323770491803	0.174672489083	0.0	0.2096069869	0.426294820717	0.467680608365	0.542435424354	0.634146341463	0.602076124567	0.624561403509	0.60350877193
MCT.f.0146	0.524344569288	0.516605166052	0.455938697318	0.325203252033	0.2096069869	0.0	0.271111111111	0.324894514768	0.412244897959	0.548872180451	0.531365313653	0.559701492537	0.548148148148
MCT.f.0147	0.531007751938	0.582417582418	0.609318996416	0.496212121212	0.426294820717	0.271111111111	0.0	0.223255813953	0.337777777778	0.491869918699	0.538167938931	0.527777777778	0.498007968127
MCT.f.0148	0.534090909091	0.553113553114	0.570397111913	0.532608695652	0.467680608365	0.324894514768	0.223255813953	0.0	0.136585365854	0.323008849558	0.436	0.496031746032	0.513513513514
MCT.f.0149	0.606617647059	0.622775800712	0.599277978339	0.582142857143	0.542435424354	0.412244897959	0.337777777778	0.136585365854	0.0	0.216346153846	0.370212765957	0.434599156118	0.503968253968
MCT.f.0150	0.642599277978	0.680412371134	0.653846153846	0.646048109966	0.634146341463	0.548872180451	0.491869918699	0.323008849558	0.216346153846	0.0	0.240740740741	0.349775784753	0.435146443515
MCT.f.0151	0.604316546763	0.629757785467	0.626297577855	0.604810996564	0.602076124567	0.531365313653	0.538167938931	0.436	0.370212765957	0.240740740741	0.0	0.164251207729	0.276785714286
MCT.f.0152	0.575757575758	0.633451957295	0.644366197183	0.60777385159	0.624561403509	0.559701492537	0.527777777778	0.496031746032	0.434599156118	0.349775784753	0.164251207729	0.0	0.166666666667
MCT.f.0153	0.55303030303	0.621908127208	0.628070175439	0.591549295775	0.60350877193	0.548148148148	0.498007968127	0.513513513514	0.503968253968	0.435146443515	0.276785714286	0.166666666667	0.0
