	MCT.f.0447	MCT.f.0450	MCT.f.0451	MCT.f.0453	MCT.f.0454	MCT.f.0455	MCT.f.0456	MCT.f.0457	MCT.f.0458	MCT.f.0459
MCT.f.0447	0.0	0.453521126761	0.513513513514	0.608333333333	0.62	0.665753424658	0.648793565684	0.68073878628	0.698162729659	0.72987012987
MCT.f.0450	0.453521126761	0.0	0.153594771242	0.402476780186	0.517857142857	0.620879120879	0.626984126984	0.633952254642	0.618918918919	0.67018469657
MCT.f.0451	0.513513513514	0.153594771242	0.0	0.353503184713	0.474006116208	0.583098591549	0.602150537634	0.642105263158	0.631016042781	0.681462140992
MCT.f.0453	0.608333333333	0.402476780186	0.353503184713	0.0	0.249027237354	0.429065743945	0.47572815534	0.549689440994	0.626112759644	0.682080924855
MCT.f.0454	0.62	0.517857142857	0.474006116208	0.249027237354	0.0	0.262948207171	0.340659340659	0.43006993007	0.559870550162	0.715542521994
MCT.f.0455	0.665753424658	0.620879120879	0.583098591549	0.429065743945	0.262948207171	0.0	0.127049180328	0.250965250965	0.440972222222	0.627329192547
MCT.f.0456	0.648793565684	0.626984126984	0.602150537634	0.47572815534	0.340659340659	0.127049180328	0.0	0.149606299213	0.364912280702	0.561128526646
MCT.f.0457	0.68073878628	0.633952254642	0.642105263158	0.549689440994	0.43006993007	0.250965250965	0.149606299213	0.0	0.25	0.473154362416
MCT.f.0458	0.698162729659	0.618918918919	0.631016042781	0.626112759644	0.559870550162	0.440972222222	0.364912280702	0.25	0.0	0.317164179104
MCT.f.0459	0.72987012987	0.67018469657	0.681462140992	0.682080924855	0.715542521994	0.627329192547	0.561128526646	0.473154362416	0.317164179104	0.0
