	MCT.f.0447	MCT.f.0450	MCT.f.0451	MCT.f.0453	MCT.f.0454	MCT.f.0455	MCT.f.0456	MCT.f.0457	MCT.f.0458	MCT.f.0459
MCT.f.0447	0.0	3.93699404384	4.97333364182	4.89992546356	5.42940569048	5.83474442906	5.73601174439	6.20169520844	6.57239148298	7.04279178961
MCT.f.0450	3.93699404384	0.0	1.78423937819	4.4357790411	5.1461182998	5.84672291694	6.07601207795	6.30128135561	6.4498974656	7.04717376873
MCT.f.0451	4.97333364182	1.78423937819	0.0	3.64800093565	4.39416148773	5.34137184085	6.25360636692	6.42003615088	6.83634633682	7.50242448206
MCT.f.0453	4.89992546356	4.4357790411	3.64800093565	0.0	2.04514352819	3.30407337934	4.27241982458	5.0549336877	6.14805769427	6.98707251608
MCT.f.0454	5.42940569048	5.1461182998	4.39416148773	2.04514352819	0.0	1.78330105964	3.23367483572	3.91815970806	5.30904227183	7.4340895125
MCT.f.0455	5.83474442906	5.84672291694	5.34137184085	3.30407337934	1.78330105964	0.0	1.71610916093	2.59515448071	4.00581232819	6.23180638657
MCT.f.0456	5.73601174439	6.07601207795	6.25360636692	4.27241982458	3.23367483572	1.71610916093	0.0	1.33167659492	2.78298112774	4.98378869166
MCT.f.0457	6.20169520844	6.30128135561	6.42003615088	5.0549336877	3.91815970806	2.59515448071	1.33167659492	0.0	1.62617172853	4.02805291482
MCT.f.0458	6.57239148298	6.4498974656	6.83634633682	6.14805769427	5.30904227183	4.00581232819	2.78298112774	1.62617172853	0.0	2.666365399
MCT.f.0459	7.04279178961	7.04717376873	7.50242448206	6.98707251608	7.4340895125	6.23180638657	4.98378869166	4.02805291482	2.666365399	0.0
