	sample2	sample5	sample7	sample9	sample10	sample11	sample12	sample14	sample15	sample16	sample17
sample2	0.0	9.38226299694	8.19609789141	9.06326335958	10.1068984947	10.5928397188	8.46520304204	8.41774983186	9.56412236968	9.6364758215	9.27239881883
sample5	9.38226299694	0.0	8.73826571201	9.22059801184	8.69894831058	10.3675708018	9.59446882064	9.11865733293	10.0454160973	10.0639276692	9.19105102205
sample7	8.19609789141	8.73826571201	0.0	9.78918262335	8.94329122766	10.1237245339	8.71993358929	6.81290366365	9.90321434012	8.73549859915	8.55860654022
sample9	9.06326335958	9.22059801184	9.78918262335	0.0	8.99459796644	8.97655583973	9.12063086104	9.17770693689	9.2927391123	9.65421994885	8.2933010275
sample10	10.1068984947	8.69894831058	8.94329122766	8.99459796644	0.0	10.6545422411	9.21357370095	9.91677262744	9.58463933576	7.78282078473	9.81121095421
sample11	10.5928397188	10.3675708018	10.1237245339	8.97655583973	10.6545422411	0.0	8.27536231884	10.5077958651	8.73923322027	9.10144927536	9.27490465294
sample12	8.46520304204	9.59446882064	8.71993358929	9.12063086104	9.21357370095	8.27536231884	0.0	10.2254619136	8.18927947374	8.49420289855	9.12135774218
sample14	8.41774983186	9.11865733293	6.81290366365	9.17770693689	9.91677262744	10.5077958651	10.2254619136	0.0	10.8296191725	10.7822377911	10.0465619024
sample15	9.56412236968	10.0454160973	9.90321434012	9.2927391123	9.58463933576	8.73923322027	8.18927947374	10.8296191725	0.0	7.56554630486	8.51621251711
sample16	9.6364758215	10.0639276692	8.73549859915	9.65421994885	7.78282078473	9.10144927536	8.49420289855	10.7822377911	7.56554630486	0.0	9.1760488177
sample17	9.27239881883	9.19105102205	8.55860654022	8.2933010275	9.81121095421	9.27490465294	9.12135774218	10.0465619024	8.51621251711	9.1760488177	0.0
