	MCT.f.0532	MCT.f.0533	MCT.f.0534	MCT.f.0535	MCT.f.0536	MCT.f.0538	MCT.f.0539	MCT.f.0540	MCT.f.0541	MCT.f.0543	MCT.f.0544
MCT.f.0532	0.0	11.8080247269	12.2647558702	9.87963271693	14.9625949507	16.9321333086	19.1221189628	14.4634368862	11.2765114596	13.3324360811	14.6572946297
MCT.f.0533	11.8080247269	0.0	12.5167301081	16.5622060016	19.8332894892	20.8724374339	23.0141654331	19.4219669491	18.6017828571	20.4428489469	21.1935564476
MCT.f.0534	12.2647558702	12.5167301081	0.0	14.1472211334	13.2077216347	17.1814399543	18.0614620939	15.6406503314	16.0679941816	16.6391657712	18.4143696024
MCT.f.0535	9.87963271693	16.5622060016	14.1472211334	0.0	11.9199031516	15.8692684588	17.0226574277	13.15853782	10.0100104881	10.8627519032	11.4548450088
MCT.f.0536	14.9625949507	19.8332894892	13.2077216347	11.9199031516	0.0	14.746511793	13.3683795244	11.0220141037	13.1509319863	10.8586356385	13.2358107924
MCT.f.0538	16.9321333086	20.8724374339	17.1814399543	15.8692684588	14.746511793	0.0	11.6669420088	12.2529968047	14.3351530763	16.4117216923	15.6053042013
MCT.f.0539	19.1221189628	23.0141654331	18.0614620939	17.0226574277	13.3683795244	11.6669420088	0.0	12.2205847644	14.802665031	14.9743593121	15.2528954052
MCT.f.0540	14.4634368862	19.4219669491	15.6406503314	13.15853782	11.0220141037	12.2529968047	12.2205847644	0.0	10.6387992589	11.1400395955	13.5624109593
MCT.f.0541	11.2765114596	18.6017828571	16.0679941816	10.0100104881	13.1509319863	14.3351530763	14.802665031	10.6387992589	0.0	9.52471182176	9.51041933176
MCT.f.0543	13.3324360811	20.4428489469	16.6391657712	10.8627519032	10.8586356385	16.4117216923	14.9743593121	11.1400395955	9.52471182176	0.0	9.59036677957
MCT.f.0544	14.6572946297	21.1935564476	18.4143696024	11.4548450088	13.2358107924	15.6053042013	15.2528954052	13.5624109593	9.51041933176	9.59036677957	0.0
