	sample1	sample2	sample3	sample4	sample5	sample6	sample7	sample8	sample9	sample10	sample11	sample12	sample14	sample15
sample1	0.0	6.2452053419	5.11816450022	6.46178398896	6.62186895428	9.42154403567	7.97371412333	4.6093051605	6.31960913483	6.03786956522	7.42107750473	6.31411540773	8.53988464951	6.93096005825
sample2	6.2452053419	0.0	3.89693102545	7.06103596173	6.72568161782	9.37742790312	6.24272064484	5.78249983812	6.15146849558	5.55440184758	5.25363555796	4.9074509637	8.78187302635	5.87304551532
sample3	5.11816450022	3.89693102545	0.0	7.33120602193	7.23347980395	9.28324081417	6.40684589987	6.1995375277	6.22274289285	6.37983505155	6.0721357161	4.95327569006	7.92991794656	6.14800473536
sample4	6.46178398896	7.06103596173	7.33120602193	0.0	7.19685141816	7.62042124542	7.09243697479	6.568647085	6.75108225108	7.56273015873	7.95994238905	6.73668714798	7.83310657596	7.69442545758
sample5	6.62186895428	6.72568161782	7.23347980395	7.19685141816	0.0	9.08594547529	7.29450031379	6.59368775854	6.27587348899	7.33068540203	7.03981264637	6.84664198837	8.65018400803	7.49124301066
sample6	9.42154403567	9.37742790312	9.28324081417	7.62042124542	9.08594547529	0.0	9.19896933132	8.81461179008	9.26777389277	9.43823076923	9.36811109495	9.2301931939	9.40037938252	8.86618206355
sample7	7.97371412333	6.24272064484	6.40684589987	7.09243697479	7.29450031379	9.19896933132	0.0	7.63636918942	7.36809269162	6.45660130719	7.32387535985	5.74913406223	7.9883286648	7.30848735028
sample8	4.6093051605	5.78249983812	6.1995375277	6.568647085	6.59368775854	8.81461179008	7.63636918942	0.0	7.78693476824	6.04823676012	6.9413193647	6.08049442267	8.25704749189	6.44236014846
sample9	6.31960913483	6.15146849558	6.22274289285	6.75108225108	6.27587348899	9.26777389277	7.36809269162	7.78693476824	0.0	7.5762020202	6.07842126368	6.80940743844	8.77689136261	7.43434343434
sample10	6.03786956522	5.55440184758	6.37983505155	7.56273015873	7.33068540203	9.43823076923	6.45660130719	6.04823676012	7.5762020202	0.0	5.62485192187	4.02341013825	8.90536054422	5.90373205742
sample11	7.42107750473	5.25363555796	6.0721357161	7.95994238905	7.03981264637	9.36811109495	7.32387535985	6.9413193647	6.07842126368	5.62485192187	0.0	5.57098429347	9.1652173913	5.72471305433
sample12	6.31411540773	4.9074509637	4.95327569006	6.73668714798	6.84664198837	9.2301931939	5.74913406223	6.08049442267	6.80940743844	4.02341013825	5.57098429347	0.0	7.52258064516	5.86569796926
sample14	8.53988464951	8.78187302635	7.92991794656	7.83310657596	8.65018400803	9.40037938252	7.9883286648	8.25704749189	8.77689136261	8.90536054422	9.1652173913	7.52258064516	0.0	8.68130065423
sample15	6.93096005825	5.87304551532	6.14800473536	7.69442545758	7.49124301066	8.86618206355	7.30848735028	6.44236014846	7.43434343434	5.90373205742	5.72471305433	5.86569796926	8.68130065423	0.0
