	sample1	sample3	sample4	sample5	sample6	sample7	sample8	sample9	sample11	sample12	sample13	sample14	sample15	sample16
sample1	0.0	0.847826086957	0.79	0.798561151079	0.71	0.796875	0.73275862069	0.767441860465	0.806451612903	0.765957446809	0.819047619048	0.868686868687	0.731092436975	0.803278688525
sample3	0.847826086957	0.0	0.513888888889	0.8046875	0.802083333333	0.833333333333	0.801801801802	0.791666666667	0.864406779661	0.85393258427	0.674698795181	0.74358974359	0.818965517241	0.852173913043
sample4	0.79	0.513888888889	0.0	0.755555555556	0.818181818182	0.739837398374	0.766666666667	0.75	0.84496124031	0.78125	0.737373737374	0.810526315789	0.839694656489	0.824
sample5	0.798561151079	0.8046875	0.755555555556	0.0	0.73381294964	0.668874172185	0.689189189189	0.670967741935	0.636363636364	0.868055555556	0.787234042553	0.767441860465	0.662162162162	0.823170731707
sample6	0.71	0.802083333333	0.818181818182	0.73381294964	0.0	0.641666666667	0.64347826087	0.6875	0.744	0.75	0.67	0.739583333333	0.58407079646	0.834586466165
sample7	0.796875	0.833333333333	0.739837398374	0.668874172185	0.641666666667	0.0	0.5859375	0.730263157895	0.690647482014	0.846153846154	0.82962962963	0.730434782609	0.706293706294	0.846153846154
sample8	0.73275862069	0.801801801802	0.766666666667	0.689189189189	0.64347826087	0.5859375	0.0	0.71724137931	0.611111111111	0.75652173913	0.801587301587	0.736363636364	0.755244755245	0.815068493151
sample9	0.767441860465	0.791666666667	0.75	0.670967741935	0.6875	0.730263157895	0.71724137931	0.0	0.753333333333	0.7890625	0.736434108527	0.838461538462	0.689655172414	0.687943262411
sample11	0.806451612903	0.864406779661	0.84496124031	0.636363636364	0.744	0.690647482014	0.611111111111	0.753333333333	0.0	0.838709677419	0.803149606299	0.803418803419	0.683823529412	0.832214765101
sample12	0.765957446809	0.85393258427	0.78125	0.868055555556	0.75	0.846153846154	0.75652173913	0.7890625	0.838709677419	0.0	0.762886597938	0.826086956522	0.8515625	0.816666666667
sample13	0.819047619048	0.674698795181	0.737373737374	0.787234042553	0.67	0.82962962963	0.801587301587	0.736434108527	0.803149606299	0.762886597938	0.0	0.765957446809	0.75	0.846153846154
sample14	0.868686868687	0.74358974359	0.810526315789	0.767441860465	0.739583333333	0.730434782609	0.736363636364	0.838461538462	0.803418803419	0.826086956522	0.765957446809	0.0	0.865079365079	0.859504132231
sample15	0.731092436975	0.818965517241	0.839694656489	0.662162162162	0.58407079646	0.706293706294	0.755244755245	0.689655172414	0.683823529412	0.8515625	0.75	0.865079365079	0.0	0.812080536913
sample16	0.803278688525	0.852173913043	0.824	0.823170731707	0.834586466165	0.846153846154	0.815068493151	0.687943262411	0.832214765101	0.816666666667	0.846153846154	0.859504132231	0.812080536913	0.0
