	sample1	sample2	sample5	sample6	sample8	sample9	sample10	sample11	sample12	sample13	sample14
sample1	0.0	9.69973258051	11.6191792979	10.1504001766	14.8487124377	13.0024853227	12.7968904906	14.077374307	12.7942732323	12.7159649371	12.927434766
sample2	9.69973258051	0.0	13.7267474373	11.8544338236	15.6934068131	13.6662708079	15.6509560281	16.8375197823	14.9426432211	13.9401735667	14.3758956054
sample5	11.6191792979	13.7267474373	0.0	9.18264109663	11.6616862526	11.6794808787	11.3023448677	9.28733674614	11.1033396386	11.1572108889	12.4455192798
sample6	10.1504001766	11.8544338236	9.18264109663	0.0	12.658842359	9.87960435342	11.7221888736	11.4219345749	11.0459981168	12.694449995	14.499088864
sample8	14.8487124377	15.6934068131	11.6616862526	12.658842359	0.0	11.0146027455	11.2822461146	10.6793093483	13.4897399791	10.154482176	10.8346075151
sample9	13.0024853227	13.6662708079	11.6794808787	9.87960435342	11.0146027455	0.0	9.36381666515	11.4403750478	12.0805468523	12.1299114164	13.3695858363
sample10	12.7968904906	15.6509560281	11.3023448677	11.7221888736	11.2822461146	9.36381666515	0.0	11.2611210168	13.4795651237	13.3077391748	14.1161595322
sample11	14.077374307	16.8375197823	9.28733674614	11.4219345749	10.6793093483	11.4403750478	11.2611210168	0.0	7.93695942056	11.7327703112	13.8573494545
sample12	12.7942732323	14.9426432211	11.1033396386	11.0459981168	13.4897399791	12.0805468523	13.4795651237	7.93695942056	0.0	11.9221695793	14.3201640371
sample13	12.7159649371	13.9401735667	11.1572108889	12.694449995	10.154482176	12.1299114164	13.3077391748	11.7327703112	11.9221695793	0.0	8.94474521563
sample14	12.927434766	14.3758956054	12.4455192798	14.499088864	10.8346075151	13.3695858363	14.1161595322	13.8573494545	14.3201640371	8.94474521563	0.0
