	sample1	sample2	sample3	sample4	sample5	sample6	sample7	sample8	sample9	sample10	sample11	sample12	sample13	sample14	sample15	sample16
sample1	0.0	8.14579560857	7.75829907867	7.65526331999	8.45109243697	10.9464052288	8.45137336431	8.57820433437	9.30846673095	6.38545454545	9.02131661442	9.92664580726	10.2344687123	10.6684593838	10.7874208145	10.2244547257
sample2	8.14579560857	0.0	9.52415745933	8.07855815861	10.2548116021	10.8255775428	9.93140251205	8.34191122969	6.93083780313	10.2307268949	10.1740750906	7.93264045495	10.4990395012	10.2325559745	10.30067352	6.50178636152
sample3	7.75829907867	9.52415745933	0.0	6.79835993187	8.90278424623	10.4202430638	7.47512962453	10.2982244769	10.402765159	10.6813564418	10.687819617	7.7985901051	10.7620715207	9.71780455154	10.3740500463	10.3481115473
sample4	7.65526331999	8.07855815861	6.79835993187	0.0	9.31579039993	11.3858148262	8.24203502738	10.3900248002	9.25894772981	10.6524624129	10.9448538463	8.42344324385	10.8654128254	10.9841345391	11.2199154249	8.6289193482
sample5	8.45109243697	10.2548116021	8.90278424623	9.31579039993	0.0	10.6036725801	9.01235171823	10.0467049978	9.41210910594	8.11438757321	9.94973262032	10.1181521545	8.2246205088	8.07839741957	8.17679379444	7.27208006798
sample6	10.9464052288	10.8255775428	10.4202430638	11.3858148262	10.6036725801	0.0	9.51345916052	8.0572755418	7.7880817172	8.67577738166	9.55757029388	10.7414476429	10.5113026734	10.690377161	10.6415200268	10.2962962963
sample7	8.45137336431	9.93140251205	7.47512962453	8.24203502738	9.01235171823	9.51345916052	0.0	9.73434730277	10.1757182782	9.72946290593	10.1155573225	9.52736431194	9.47024753858	10.0398220398	10.1346153846	10.6709687215
sample8	8.57820433437	8.34191122969	10.2982244769	10.3900248002	10.0467049978	8.0572755418	9.73434730277	0.0	8.26022433132	8.74235857022	9.61801682891	10.6691209406	9.52932502098	9.72258676996	9.69089068826	9.57930218805
sample9	9.30846673095	6.93083780313	10.402765159	9.25894772981	9.41210910594	7.7880817172	10.1757182782	8.26022433132	0.0	8.14581689606	8.60569659284	8.04569236135	9.67000261399	9.93993210796	10.1264186633	5.99180327869
sample10	6.38545454545	10.2307268949	10.6813564418	10.6524624129	8.11438757321	8.67577738166	9.72946290593	8.74235857022	8.14581689606	0.0	8.36148503288	10.2545226988	8.8678044007	9.21908157202	9.38982586041	7.76986320575
sample11	9.02131661442	10.1740750906	10.687819617	10.9448538463	9.94973262032	9.55757029388	10.1155573225	9.61801682891	8.60569659284	8.36148503288	0.0	8.67688254519	7.99260930727	8.45051500224	10.1360019291	9.67873621922
sample12	9.92664580726	7.93264045495	7.7985901051	8.42344324385	10.1181521545	10.7414476429	9.52736431194	10.6691209406	8.04569236135	10.2545226988	8.67688254519	0.0	9.23309140697	8.51162076694	10.8093289689	7.91877838872
sample13	10.2344687123	10.4990395012	10.7620715207	10.8654128254	8.2246205088	10.5113026734	9.47024753858	9.52932502098	9.67000261399	8.8678044007	7.99260930727	9.23309140697	0.0	7.82110069126	9.23505344314	8.85453405339
sample14	10.6684593838	10.2325559745	9.71780455154	10.9841345391	8.07839741957	10.690377161	10.0398220398	9.72258676996	9.93993210796	9.21908157202	8.45051500224	8.51162076694	7.82110069126	0.0	5.84345654346	8.21447216953
sample15	10.7874208145	10.30067352	10.3740500463	11.2199154249	8.17679379444	10.6415200268	10.1346153846	9.69089068826	10.1264186633	9.38982586041	10.1360019291	10.8093289689	9.23505344314	5.84345654346	0.0	8.27554019015
sample16	10.2244547257	6.50178636152	10.3481115473	8.6289193482	7.27208006798	10.2962962963	10.6709687215	9.57930218805	5.99180327869	7.76986320575	9.67873621922	7.91877838872	8.85453405339	8.21447216953	8.27554019015	0.0
