	MCT.f.0242	MCT.f.0243	MCT.f.0244	MCT.f.0245	MCT.f.0247	MCT.f.0249	MCT.f.0250	MCT.f.0252	MCT.f.0254	MCT.f.0255
MCT.f.0242	0.0	1.76722321815	3.60318288234	5.70482105036	6.8252044676	7.10190373089	6.92777005297	7.63295767991	7.69290793716	7.28051574623
MCT.f.0243	1.76722321815	0.0	2.37390552116	4.51477801237	6.66240945606	6.90503795571	6.6018711173	7.15563417329	7.04677501538	6.54330392341
MCT.f.0244	3.60318288234	2.37390552116	0.0	2.61483583933	5.34273304743	6.5486591096	6.42119125069	6.29457583656	6.3478619005	5.96138880604
MCT.f.0245	5.70482105036	4.51477801237	2.61483583933	0.0	3.69202044243	7.07065960937	7.18721863451	6.92574879932	6.78272074324	6.23411449973
MCT.f.0247	6.8252044676	6.66240945606	5.34273304743	3.69202044243	0.0	4.7975763004	5.98575629129	6.81437852502	6.92131090478	6.4270771757
MCT.f.0249	7.10190373089	6.90503795571	6.5486591096	7.07065960937	4.7975763004	0.0	3.12103456797	6.4838663313	7.72346204277	7.03404958678
MCT.f.0250	6.92777005297	6.6018711173	6.42119125069	7.18721863451	5.98575629129	3.12103456797	0.0	3.96653053721	7.05796653245	6.52920265781
MCT.f.0252	7.63295767991	7.15563417329	6.29457583656	6.92574879932	6.81437852502	6.4838663313	3.96653053721	0.0	3.55847798765	4.39032185206
MCT.f.0254	7.69290793716	7.04677501538	6.3478619005	6.78272074324	6.92131090478	7.72346204277	7.05796653245	3.55847798765	0.0	1.99479921001
MCT.f.0255	7.28051574623	6.54330392341	5.96138880604	6.23411449973	6.4270771757	7.03404958678	6.52920265781	4.39032185206	1.99479921001	0.0
