	MCT.f.0293	MCT.f.0294	MCT.f.0295	MCT.f.0296	MCT.f.0297	MCT.f.0298	MCT.f.0299	MCT.f.0300	MCT.f.0301	MCT.f.0302	MCT.f.0303	MCT.f.0304	MCT.f.0305	MCT.f.0306
MCT.f.0293	0.0	3.03725160905	5.1128786333	6.39205964585	8.04738459327	7.74950385888	6.88772039645	7.92966315299	7.24287586489	7.54162588293	8.33938997287	8.56057084783	9.2405078058	8.58301879878
MCT.f.0294	3.03725160905	0.0	2.54406751374	3.94886143156	5.56508688407	7.33342918626	6.96361421747	8.0594517083	7.48850968088	7.56327259094	7.57714932005	7.63273283489	8.18111297653	7.58876691419
MCT.f.0295	5.1128786333	2.54406751374	0.0	1.85652704883	3.74547495235	5.80748799161	6.25560828161	7.36325198427	7.00841926299	7.34930003728	7.75787056269	7.97087843663	8.55072833787	8.25102053999
MCT.f.0296	6.39205964585	3.94886143156	1.85652704883	0.0	2.07607587545	4.25502272691	4.85715455434	7.18536298334	7.25133792747	7.41886557781	7.99312219419	8.21164396507	8.52914119631	8.45718382488
MCT.f.0297	8.04738459327	5.56508688407	3.74547495235	2.07607587545	0.0	2.90673891274	3.54415431659	6.01418088314	7.70326588076	7.69685443612	8.08121939746	8.39308299972	8.52612756955	8.33571550007
MCT.f.0298	7.74950385888	7.33342918626	5.80748799161	4.25502272691	2.90673891274	0.0	2.50232211185	5.02871909152	6.44544565291	7.33437101412	7.90453670171	8.40021776112	8.50197194842	8.13180634269
MCT.f.0299	6.88772039645	6.96361421747	6.25560828161	4.85715455434	3.54415431659	2.50232211185	0.0	2.85735406043	4.72221422802	5.51108943561	7.39832218565	8.08665340134	8.10554426615	7.62362873268
MCT.f.0300	7.92966315299	8.0594517083	7.36325198427	7.18536298334	6.01418088314	5.02871909152	2.85735406043	0.0	2.93657319158	3.86517983545	5.90307228817	7.65256053221	7.54514697487	7.28584048034
MCT.f.0301	7.24287586489	7.48850968088	7.00841926299	7.25133792747	7.70326588076	6.44544565291	4.72221422802	2.93657319158	0.0	1.87717244294	4.12032454585	5.8834808102	7.38052565127	7.40048388211
MCT.f.0302	7.54162588293	7.56327259094	7.34930003728	7.41886557781	7.69685443612	7.33437101412	5.51108943561	3.86517983545	1.87717244294	0.0	2.43083015493	4.41678706935	6.15673945666	7.49352205666
MCT.f.0303	8.33938997287	7.57714932005	7.75787056269	7.99312219419	8.08121939746	7.90453670171	7.39832218565	5.90307228817	4.12032454585	2.43083015493	0.0	2.4713768603	4.42498775399	5.89138028624
MCT.f.0304	8.56057084783	7.63273283489	7.97087843663	8.21164396507	8.39308299972	8.40021776112	8.08665340134	7.65256053221	5.8834808102	4.41678706935	2.4713768603	0.0	2.25274994889	3.82124948552
MCT.f.0305	9.2405078058	8.18111297653	8.55072833787	8.52914119631	8.52612756955	8.50197194842	8.10554426615	7.54514697487	7.38052565127	6.15673945666	4.42498775399	2.25274994889	0.0	2.00511258796
MCT.f.0306	8.58301879878	7.58876691419	8.25102053999	8.45718382488	8.33571550007	8.13180634269	7.62362873268	7.28584048034	7.40048388211	7.49352205666	5.89138028624	3.82124948552	2.00511258796	0.0
