	sample1	sample4	sample5	sample6	sample7	sample8	sample9	sample10	sample11	sample12	sample13	sample14	sample15	sample16	sample17
sample1	0.0	0.413333333333	0.537037037037	0.75	0.818181818182	0.846153846154	0.838461538462	0.747474747475	0.791411042945	0.844827586207	0.8125	0.718181818182	0.789808917197	0.777777777778	0.754237288136
sample4	0.413333333333	0.0	0.587628865979	0.773195876289	0.827956989247	0.914285714286	0.90756302521	0.89247311828	0.886075949367	0.87	0.821052631579	0.723404255319	0.850340136054	0.829268292683	0.833333333333
sample5	0.537037037037	0.587628865979	0.0	0.661016949153	0.766666666667	0.84962406015	0.784172661871	0.786324786325	0.818681318681	0.733333333333	0.752066115702	0.7578125	0.804597701149	0.755102040816	0.720930232558
sample6	0.75	0.773195876289	0.661016949153	0.0	0.631578947368	0.701923076923	0.762295081967	0.830188679245	0.827380952381	0.72380952381	0.733333333333	0.81512605042	0.834355828221	0.786764705882	0.699115044248
sample7	0.818181818182	0.827956989247	0.766666666667	0.631578947368	0.0	0.641304347826	0.706422018349	0.8	0.859756097561	0.652173913043	0.691489361702	0.787037037037	0.860759493671	0.851851851852	0.754545454545
sample8	0.846153846154	0.914285714286	0.84962406015	0.701923076923	0.641304347826	0.0	0.793388429752	0.734042553191	0.807453416149	0.827272727273	0.814814814815	0.796460176991	0.858024691358	0.823529411765	0.754385964912
sample9	0.838461538462	0.90756302521	0.784172661871	0.762295081967	0.706422018349	0.793388429752	0.0	0.75	0.850828729282	0.669724770642	0.779661016949	0.754098360656	0.766871165644	0.834437086093	0.746031746032
sample10	0.747474747475	0.89247311828	0.786324786325	0.830188679245	0.8	0.734042553191	0.75	0.0	0.809210526316	0.854368932039	0.926605504587	0.820754716981	0.862745098039	0.84496124031	0.676767676768
sample11	0.791411042945	0.886075949367	0.818681318681	0.827380952381	0.859756097561	0.807453416149	0.850828729282	0.809210526316	0.0	0.849397590361	0.869047619048	0.875	0.765	0.678571428571	0.708860759494
sample12	0.844827586207	0.87	0.733333333333	0.72380952381	0.652173913043	0.827272727273	0.669724770642	0.854368932039	0.849397590361	0.0	0.634408602151	0.875	0.857142857143	0.795454545455	0.694444444444
sample13	0.8125	0.821052631579	0.752066115702	0.733333333333	0.691489361702	0.814814814815	0.779661016949	0.926605504587	0.869047619048	0.634408602151	0.0	0.844827586207	0.826923076923	0.694214876033	0.813559322034
sample14	0.718181818182	0.723404255319	0.7578125	0.81512605042	0.787037037037	0.796460176991	0.754098360656	0.820754716981	0.875	0.875	0.844827586207	0.0	0.625899280576	0.830985915493	0.84375
sample15	0.789808917197	0.850340136054	0.804597701149	0.834355828221	0.860759493671	0.858024691358	0.766871165644	0.862745098039	0.765	0.857142857143	0.826923076923	0.625899280576	0.0	0.672839506173	0.861271676301
sample16	0.777777777778	0.829268292683	0.755102040816	0.786764705882	0.851851851852	0.823529411765	0.834437086093	0.84496124031	0.678571428571	0.795454545455	0.694214876033	0.830985915493	0.672839506173	0.0	0.687022900763
sample17	0.754237288136	0.833333333333	0.720930232558	0.699115044248	0.754545454545	0.754385964912	0.746031746032	0.676767676768	0.708860759494	0.694444444444	0.813559322034	0.84375	0.861271676301	0.687022900763	0.0
