	sample1	sample2	sample3	sample4	sample7	sample8	sample9	sample10	sample13	sample14	sample15
sample1	0.0	0.743169398907	0.612121212121	0.764331210191	0.776315789474	0.694267515924	0.745222929936	0.706293706294	0.882882882883	0.854700854701	0.818181818182
sample2	0.743169398907	0.0	0.701357466063	0.6875	0.755102040816	0.759433962264	0.725	0.721052631579	0.916666666667	0.921348314607	0.8
sample3	0.612121212121	0.701357466063	0.0	0.643243243243	0.721052631579	0.696517412935	0.710659898477	0.705882352941	0.896341463415	0.883040935673	0.810945273632
sample4	0.764331210191	0.6875	0.643243243243	0.0	0.7	0.702857142857	0.696428571429	0.70625	0.893939393939	0.901408450704	0.763636363636
sample7	0.776315789474	0.755102040816	0.721052631579	0.7	0.0	0.734104046243	0.728915662651	0.801204819277	0.859504132231	0.878787878788	0.79012345679
sample8	0.694267515924	0.759433962264	0.696517412935	0.702857142857	0.734104046243	0.0	0.736263736264	0.678787878788	0.902097902098	0.908496732026	0.785310734463
sample9	0.745222929936	0.725	0.710659898477	0.696428571429	0.728915662651	0.736263736264	0.0	0.627450980392	0.888059701493	0.813432835821	0.753012048193
sample10	0.706293706294	0.721052631579	0.705882352941	0.70625	0.801204819277	0.678787878788	0.627450980392	0.0	0.867768595041	0.8515625	0.77358490566
sample13	0.882882882883	0.916666666667	0.896341463415	0.893939393939	0.859504132231	0.902097902098	0.888059701493	0.867768595041	0.0	0.883116883117	0.901639344262
sample14	0.854700854701	0.921348314607	0.883040935673	0.901408450704	0.878787878788	0.908496732026	0.813432835821	0.8515625	0.883116883117	0.0	0.948905109489
sample15	0.818181818182	0.8	0.810945273632	0.763636363636	0.79012345679	0.785310734463	0.753012048193	0.77358490566	0.901639344262	0.948905109489	0.0
