	sample1	sample2	sample5	sample6	sample8	sample9	sample10	sample11	sample12	sample13	sample14
sample1	0.0	0.630303030303	0.789189189189	0.780487804878	0.732026143791	0.821656050955	0.828947368421	0.757575757576	0.83950617284	0.940397350993	0.889705882353
sample2	0.630303030303	0.0	0.706467661692	0.688888888889	0.654970760234	0.707602339181	0.755813953488	0.751295336788	0.802139037433	0.905027932961	0.83850931677
sample5	0.789189189189	0.706467661692	0.0	0.677966101695	0.780748663102	0.726744186047	0.738095238095	0.657303370787	0.759776536313	0.872093023256	0.836477987421
sample6	0.780487804878	0.688888888889	0.677966101695	0.0	0.740740740741	0.803680981595	0.794871794872	0.764367816092	0.722580645161	0.843537414966	0.824817518248
sample8	0.732026143791	0.654970760234	0.780748663102	0.740740740741	0.0	0.568181818182	0.651851851852	0.633986928105	0.657342657343	0.906666666667	0.834586466165
sample9	0.821656050955	0.707602339181	0.726744186047	0.803680981595	0.568181818182	0.0	0.441441441441	0.611111111111	0.68345323741	0.908450704225	0.850393700787
sample10	0.828947368421	0.755813953488	0.738095238095	0.794871794872	0.651851851852	0.441441441441	0.0	0.591240875912	0.705882352941	0.887218045113	0.811965811966
sample11	0.757575757576	0.751295336788	0.657303370787	0.764367816092	0.633986928105	0.611111111111	0.591240875912	0.0	0.655629139073	0.885350318471	0.847222222222
sample12	0.83950617284	0.802139037433	0.759776536313	0.722580645161	0.657342657343	0.68345323741	0.705882352941	0.655629139073	0.0	0.838235294118	0.853846153846
sample13	0.940397350993	0.905027932961	0.872093023256	0.843537414966	0.906666666667	0.908450704225	0.887218045113	0.885350318471	0.838235294118	0.0	0.858490566038
sample14	0.889705882353	0.83850931677	0.836477987421	0.824817518248	0.834586466165	0.850393700787	0.811965811966	0.847222222222	0.853846153846	0.858490566038	0.0
