	MCT.f.0598	MCT.f.0599	MCT.f.0600	MCT.f.0601	MCT.f.0602	MCT.f.0603	MCT.f.0604	MCT.f.0605	MCT.f.0606	MCT.f.0607	MCT.f.0608	MCT.f.0609	MCT.f.0610	MCT.f.0611	MCT.f.0612
MCT.f.0598	0.0	12.2402794424	13.0225364128	11.4605511826	21.2782059975	11.7758639309	10.7020079914	8.94084401127	8.93300090228	9.67317761306	12.0169518938	18.607366999	14.446312945	13.1966904694	14.1032725798
MCT.f.0599	12.2402794424	0.0	10.2145334055	11.0422769387	21.6930927878	13.9857977786	12.9598994611	11.8629024735	10.0727840464	10.9417846908	14.5864659193	19.2940102787	17.3543920531	16.8222729175	16.5285519491
MCT.f.0600	13.0225364128	10.2145334055	0.0	11.2019179898	20.3125267732	12.1071428542	13.1513343784	11.3922015872	11.3912422215	11.3256406783	13.9367057485	21.5711593086	16.4146902508	17.2328192536	16.9757349404
MCT.f.0601	11.4605511826	11.0422769387	11.2019179898	0.0	21.0071450174	11.504665261	11.4433668449	10.7894928582	10.5173622291	11.6947774503	13.3889022753	19.8066479596	17.4989296922	15.9248009247	14.535775185
MCT.f.0602	21.2782059975	21.6930927878	20.3125267732	21.0071450174	0.0	18.1210871211	19.9688477385	20.4176722146	19.5223885953	19.4613492681	22.1374104178	23.7743242278	21.1667608464	24.8618005774	21.6204026546
MCT.f.0603	11.7758639309	13.9857977786	12.1071428542	11.504665261	18.1210871211	0.0	10.085720975	9.77137365859	10.5839131062	11.242898518	11.3781248291	19.9913290283	12.3918876011	16.014534325	13.4228957549
MCT.f.0604	10.7020079914	12.9598994611	13.1513343784	11.4433668449	19.9688477385	10.085720975	0.0	8.00489300103	10.7642840428	11.7774889251	10.3051016114	19.0554322362	14.4000830264	16.0201399247	13.2404170476
MCT.f.0605	8.94084401127	11.8629024735	11.3922015872	10.7894928582	20.4176722146	9.77137365859	8.00489300103	0.0	9.29856328122	9.64123064223	10.7165532925	20.0810074961	14.2197689042	15.4570203221	13.9975620464
MCT.f.0606	8.93300090228	10.0727840464	11.3912422215	10.5173622291	19.5223885953	10.5839131062	10.7642840428	9.29856328122	0.0	8.23280427908	12.4475293272	17.9463917703	14.4003481159	14.0507879523	14.7563063864
MCT.f.0607	9.67317761306	10.9417846908	11.3256406783	11.6947774503	19.4613492681	11.242898518	11.7774889251	9.64123064223	8.23280427908	0.0	11.4928423869	16.1805403554	11.8340401014	13.6374630838	12.6422249096
MCT.f.0608	12.0169518938	14.5864659193	13.9367057485	13.3889022753	22.1374104178	11.3781248291	10.3051016114	10.7165532925	12.4475293272	11.4928423869	0.0	17.9174579804	13.1933299049	13.0818086385	10.6022043105
MCT.f.0609	18.607366999	19.2940102787	21.5711593086	19.8066479596	23.7743242278	19.9913290283	19.0554322362	20.0810074961	17.9463917703	16.1805403554	17.9174579804	0.0	17.3612811306	16.7678509384	15.9551526351
MCT.f.0610	14.446312945	17.3543920531	16.4146902508	17.4989296922	21.1667608464	12.3918876011	14.4000830264	14.2197689042	14.4003481159	11.8340401014	13.1933299049	17.3612811306	0.0	14.2143918649	13.1842537214
MCT.f.0611	13.1966904694	16.8222729175	17.2328192536	15.9248009247	24.8618005774	16.014534325	16.0201399247	15.4570203221	14.0507879523	13.6374630838	13.0818086385	16.7678509384	14.2143918649	0.0	13.560378689
MCT.f.0612	14.1032725798	16.5285519491	16.9757349404	14.535775185	21.6204026546	13.4228957549	13.2404170476	13.9975620464	14.7563063864	12.6422249096	10.6022043105	15.9551526351	13.1842537214	13.560378689	0.0
