#FoodID	MCTs01	MCTs03	MCTs04	MCTs05	MCTs06	MCTs07	MCTs08	MCTs09	MCTs10	MCTs11	MCTs12	MCTs13	MCTs14	MCTs15	MCTs16	MCTs18	MCTs19	MCTs20	MCTs21	MCTs22	MCTs23	MCTs24	MCTs25	MCTs26	MCTs27	MCTs28	MCTs29	MCTs31	MCTs32	MCTs33	MCTs34	MCTs35	MCTs36	MCTs37	taxonomy
Chili with beans without meat	0	0	0	0	0	2.241421875	0	0	0	0	0	0	0	0	0	0	0.301367647058824	0	0	0	0	0	0	0	0	0	0	0.803647058823529	0	0	0	0	0	0	L1_Dry_Beans_Peas_Other_Legumes_Nuts_and_Seeds;L2_Legumes;L3_Dried_beans_mixtures;L4_;L5_;Chili_with_beans_without_meat
Falafel	0.13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.39	0	0.65	0	0.13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	L1_Dry_Beans_Peas_Other_Legumes_Nuts_and_Seeds;L2_Legumes;L3_Dried_beans_mixtures;L4_;L5_;Falafel
Hummus	0.361764705882353	0	0.615	0	0	0	0.144705882352941	0	0	0	0	0	0	0	0	0.217058823529412	0.108529411764706	1.73647058823529	0.144705882352941	0.144705882352941	0	0	0	0	0	0	0	0.108529411764706	0	0.434117647058823	0	0	0.15375	0	L1_Dry_Beans_Peas_Other_Legumes_Nuts_and_Seeds;L2_Legumes;L3_Dried_beans_mixtures;L4_;L5_;Hummus
Pork and beans	0	0	0	0	0.479955882352941	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	L1_Dry_Beans_Peas_Other_Legumes_Nuts_and_Seeds;L2_Legumes;L3_Dried_beans_mixtures;L4_;L5_;Pork_and_beans
Refried beans	0.340433823529412	0	0.310093071428571	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.226955882352941	0	0	0	0.907823529411765	0	0	0	0	0	L1_Dry_Beans_Peas_Other_Legumes_Nuts_and_Seeds;L2_Legumes;L3_Dried_beans_mixtures;L4_;L5_;Refried_beans
Stewed beans with pork tomatoes and chili peppers Mexican style Frijoles a la charra 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1436875	0	L1_Dry_Beans_Peas_Other_Legumes_Nuts_and_Seeds;L2_Legumes;L3_Dried_beans_mixtures;L4_;L5_;Stewed_beans_with_pork_tomatoes_and_chili_peppers_Mexican_style_Frijoles_a_la_charra_
Beans dry cooked NS as to type and as to fat added in cooking	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0820588235294118	0	0	0	0.186	0	0	0	0	0	0	0	0	L1_Dry_Beans_Peas_Other_Legumes_Nuts_and_Seeds;L2_Legumes;L3_Dried_beans;L4_;L5_;Beans_dry_cooked_NS_as_to_type_and_as_to_fat_added_in_cooking
Beans dry cooked NS as to type fat not added in cooking	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0991666666666667	0	0	0	0	0	0	0	0	L1_Dry_Beans_Peas_Other_Legumes_Nuts_and_Seeds;L2_Legumes;L3_Dried_beans;L4_;L5_;Beans_dry_cooked_NS_as_to_type_fat_not_added_in_cooking
Black brown or Bayo beans dry cooked fat added in cooking	0	0	0	0	0	0	0.395647058823529	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.989117647058824	L1_Dry_Beans_Peas_Other_Legumes_Nuts_and_Seeds;L2_Legumes;L3_Dried_beans;L4_;L5_;Black_brown_or_Bayo_beans_dry_cooked_fat_added_in_cooking
Black brown or Bayo beans dry cooked fat added in cooking W BUTTER NFS	0	0	0	0	0	0	0	0	0	0	0	0	0.395647058823529	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	L1_Dry_Beans_Peas_Other_Legumes_Nuts_and_Seeds;L2_Legumes;L3_Dried_beans;L4_;L5_;Black_brown_or_Bayo_beans_dry_cooked_fat_added_in_cooking_W_BUTTER_NFS
Black brown or Bayo beans dry cooked fat not added in cooking	0.839764705882353	0.237933333333333	0	0	0	0.446125	0.419882352941176	0	0.419882352941176	0	0	0	0	0	0.419882352941176	0	0	0	0	0	0	0	0	0	0	0	0	0.104970588235294	0	0	0.629823529411765	0	0.89225	0	L1_Dry_Beans_Peas_Other_Legumes_Nuts_and_Seeds;L2_Legumes;L3_Dried_beans;L4_;L5_;Black_brown_or_Bayo_beans_dry_cooked_fat_not_added_in_cooking
Black brown or Bayo beans dry cooked NS as to fat added in cooking	0	0.4484	0	0	0	0	0.197823529411765	0	0	0	0	0	0	0	0	0	0.593470588235294	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	L1_Dry_Beans_Peas_Other_Legumes_Nuts_and_Seeds;L2_Legumes;L3_Dried_beans;L4_;L5_;Black_brown_or_Bayo_beans_dry_cooked_NS_as_to_fat_added_in_cooking
Pinto calico or red Mexican beans dry cooked fat added in cooking	0	0	0	0	0	0	0.214647058823529	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.14647058823529	0	4.50758823529412	L1_Dry_Beans_Peas_Other_Legumes_Nuts_and_Seeds;L2_Legumes;L3_Dried_beans;L4_;L5_;Pinto_calico_or_red_Mexican_beans_dry_cooked_fat_added_in_cooking
Pinto calico or red Mexican beans dry cooked fat not added in cooking	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.37382352941176	0	0	0	0	0	0	0	0	0	0	0	0	0.686911764705882	0	0	0	0	0	0	L1_Dry_Beans_Peas_Other_Legumes_Nuts_and_Seeds;L2_Legumes;L3_Dried_beans;L4_;L5_;Pinto_calico_or_red_Mexican_beans_dry_cooked_fat_not_added_in_cooking
Pinto calico or red Mexican beans dry cooked NS as to fat added in cooking	0	0	0	0	0	0	0.214647058823529	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.2280625	0	0	0	0	0	0	0	L1_Dry_Beans_Peas_Other_Legumes_Nuts_and_Seeds;L2_Legumes;L3_Dried_beans;L4_;L5_;Pinto_calico_or_red_Mexican_beans_dry_cooked_NS_as_to_fat_added_in_cooking
Red kidney beans dry cooked fat not added in cooking	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.187176470588235	0	0	0	0	0	0	0	0	0	0	0	0	L1_Dry_Beans_Peas_Other_Legumes_Nuts_and_Seeds;L2_Legumes;L3_Dried_beans;L4_;L5_;Red_kidney_beans_dry_cooked_fat_not_added_in_cooking
Red kidney beans dry cooked NS as to fat added in cooking	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.177	0	0	0	L1_Dry_Beans_Peas_Other_Legumes_Nuts_and_Seeds;L2_Legumes;L3_Dried_beans;L4_;L5_;Red_kidney_beans_dry_cooked_NS_as_to_fat_added_in_cooking
White beans dry cooked fat added in cooking	0	0	0	0	0	0	0	0	0	0	0	0.307058823529412	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	L1_Dry_Beans_Peas_Other_Legumes_Nuts_and_Seeds;L2_Legumes;L3_Dried_beans;L4_;L5_;White_beans_dry_cooked_fat_added_in_cooking
White beans dry cooked fat added in cooking W BUTTER NFS	0	0	0	0	0	0	0	0	0	0	0	0	0.307058823529412	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	L1_Dry_Beans_Peas_Other_Legumes_Nuts_and_Seeds;L2_Legumes;L3_Dried_beans;L4_;L5_;White_beans_dry_cooked_fat_added_in_cooking_W_BUTTER_NFS
Chickpeas dry cooked fat added in cooking	0	0	0	0	0	0.41721875	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.41721875	1.57070588235294	L1_Dry_Beans_Peas_Other_Legumes_Nuts_and_Seeds;L2_Legumes;L3_Dried_peas_lentils_and_mixtures;L4_;L5_;Chickpeas_dry_cooked_fat_added_in_cooking
Chickpeas dry cooked fat not added in cooking	0	0	0	0	0	3.96675	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.414823529411765	0	0	0	0	1.32225	0	L1_Dry_Beans_Peas_Other_Legumes_Nuts_and_Seeds;L2_Legumes;L3_Dried_peas_lentils_and_mixtures;L4_;L5_;Chickpeas_dry_cooked_fat_not_added_in_cooking
Chickpeas dry cooked NS as to fat added in cooking	0	0.66755	0	0	0	0	0	0	0	0	0	0.196338235294118	0	0	0	0	0.392676470588235	0	0	0.196338235294118	0	0	0	0	0	0	0	0.147253705882353	0	0	0	0	0	0.392676470588235	L1_Dry_Beans_Peas_Other_Legumes_Nuts_and_Seeds;L2_Legumes;L3_Dried_peas_lentils_and_mixtures;L4_;L5_;Chickpeas_dry_cooked_NS_as_to_fat_added_in_cooking
Lentils dry cooked fat added in cooking	0	0	0	0	0	0.679875	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.639882352941176	L1_Dry_Beans_Peas_Other_Legumes_Nuts_and_Seeds;L2_Legumes;L3_Dried_peas_lentils_and_mixtures;L4_;L5_;Lentils_dry_cooked_fat_added_in_cooking
Lentils dry cooked fat not added in cooking	0	0	0	0	0	2.8291875	1.33138235294118	0	0	0	0	0	0	0.221897058823529	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	L1_Dry_Beans_Peas_Other_Legumes_Nuts_and_Seeds;L2_Legumes;L3_Dried_peas_lentils_and_mixtures;L4_;L5_;Lentils_dry_cooked_fat_not_added_in_cooking
Chicken meatless breaded fried	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.546352941176471	L1_Dry_Beans_Peas_Other_Legumes_Nuts_and_Seeds;L2_Legumes;L3_Meat_substitutes_mainly_legume_protein;L4_;L5_;Chicken_meatless_breaded_fried
Tofu and vegetables including carrots broccoli andor dark green leafy vegetables no potatoes with soy based sauce mixture 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.08815625	0	L1_Dry_Beans_Peas_Other_Legumes_Nuts_and_Seeds;L2_Legumes;L3_Meat_substitutes_mainly_legume_protein;L4_;L5_;Tofu_and_vegetables_including_carrots_broccoli_andor_dark_green_leafy_vegetables_no_potatoes_with_soy_based_sauce_mixture_
Vegetarian burger or patty meatless no bun	0.302647058823529	0	0	0	0	0.539765625	0.605294117647059	0	0	0	0	0	0	0	0	0.100882352941176	0.277426470588235	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	L1_Dry_Beans_Peas_Other_Legumes_Nuts_and_Seeds;L2_Legumes;L3_Meat_substitutes_mainly_legume_protein;L4_;L5_;Vegetarian_burger_or_patty_meatless_no_bun
Vegetarian pot pie	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.140205882352941	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	L1_Dry_Beans_Peas_Other_Legumes_Nuts_and_Seeds;L2_Legumes;L3_Meat_substitutes_mainly_legume_protein;L4_;L5_;Vegetarian_pot_pie
Garbanzo bean or chickpea soup home recipe canned or ready to serve	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.401823529411765	L1_Dry_Beans_Peas_Other_Legumes_Nuts_and_Seeds;L2_Legumes;L3_Soups_with_legumes_as_major_ingredient;L4_;L5_;Garbanzo_bean_or_chickpea_soup_home_recipe_canned_or_ready_to_serve
