wc -l	Sample	seq count
80156	Blank-D08_S44_L001_R1_001.fastq	20039
72332	Blank-E10_S58_L001_R1_001.fastq	18083
1149532	MCT-f-0005_S24_L001_R1_001.fastq	287383
25128	MCT-f-0015_S70_L001_R1_001.fastq	6282
1076384	MCT-f-0018_S53_L001_R1_001.fastq	269096
1364800	MCT-f-0053_S40_L001_R1_001.fastq	341200
1425536	MCT-f-0054_S31_L001_R1_001.fastq	356384
595504	MCT-f-0056_S25_L001_R1_001.fastq	148876
1462424	MCT-f-0078_S3_L001_R1_001.fastq	365606
1589716	MCT-f-0099_S13_L001_R1_001.fastq	397429
448616	MCT-f-0110_S14_L001_R1_001.fastq	112154
1374980	MCT-f-0125_S32_L001_R1_001.fastq	343745
623004	MCT-f-0126_S50_L001_R1_001.fastq	155751
1503252	MCT-f-0127_S23_L001_R1_001.fastq	375813
1056696	MCT-f-0131_S19_L001_R1_001.fastq	264174
1263608	MCT-f-0132_S4_L001_R1_001.fastq	315902
688836	MCT-f-0136_S34_L001_R1_001.fastq	172209
2551088	MCT-f-0146_S39_L001_R1_001.fastq	637772
1418228	MCT-f-0147_S46_L001_R1_001.fastq	354557
212320	MCT-f-0156_S49_L001_R1_001.fastq	53080
440100	MCT-f-0157_S59_L001_R1_001.fastq	110025
1504768	MCT-f-0167_S22_L001_R1_001.fastq	376192
821080	MCT-f-0171_S64_L001_R1_001.fastq	205270
1701200	MCT-f-0172_S37_L001_R1_001.fastq	425300
282404	MCT-f-0177_S66_L001_R1_001.fastq	70601
982528	MCT-f-0179_S7_L001_R1_001.fastq	245632
1126140	MCT-f-0198_S47_L001_R1_001.fastq	281535
1489096	MCT-f-0213_S11_L001_R1_001.fastq	372274
1598036	MCT-f-0221_S9_L001_R1_001.fastq	399509
1007456	MCT-f-0236_S12_L001_R1_001.fastq	251864
385056	MCT-f-0237_S62_L001_R1_001.fastq	96264
768528	MCT-f-0242_S26_L001_R1_001.fastq	192132
1826548	MCT-f-0244_S41_L001_R1_001.fastq	456637
264220	MCT-f-0270_S67_L001_R1_001.fastq	66055
889060	MCT-f-0274_S61_L001_R1_001.fastq	222265
1148424	MCT-f-0291_S63_L001_R1_001.fastq	287106
1031732	MCT-f-0293_S29_L001_R1_001.fastq	257933
956792	MCT-f-0296_S56_L001_R1_001.fastq	239198
832188	MCT-f-0320_S30_L001_R1_001.fastq	208047
929640	MCT-f-0341_S55_L001_R1_001.fastq	232410
1612020	MCT-f-0353_S17_L001_R1_001.fastq	403005
2619800	MCT-f-0358_S15_L001_R1_001.fastq	654950
741032	MCT-f-0370_S36_L001_R1_001.fastq	185258
796020	MCT-f-0371_S71_L001_R1_001.fastq	199005
1025784	MCT-f-0372_S52_L001_R1_001.fastq	256446
1111644	MCT-f-0376_S68_L001_R1_001.fastq	277911
1031368	MCT-f-0386_S72_L001_R1_001.fastq	257842
1053872	MCT-f-0389_S2_L001_R1_001.fastq	263468
650548	MCT-f-0398_S54_L001_R1_001.fastq	162637
1640452	MCT-f-0407_S18_L001_R1_001.fastq	410113
4242908	MCT-f-0411_S6_L001_R1_001.fastq	1060727
1296064	MCT-f-0418_S21_L001_R1_001.fastq	324016
2181096	MCT-f-0420_S8_L001_R1_001.fastq	545274
699052	MCT-f-0435_S69_L001_R1_001.fastq	174763
1216412	MCT-f-0436_S33_L001_R1_001.fastq	304103
2381512	MCT-f-0451_S20_L001_R1_001.fastq	595378
843916	MCT-f-0454_S1_L001_R1_001.fastq	210979
1640764	MCT-f-0468_S10_L001_R1_001.fastq	410191
638732	MCT-f-0477_S57_L001_R1_001.fastq	159683
1040308	MCT-f-0523_S5_L001_R1_001.fastq	260077
1989792	MCT-f-0526_S45_L001_R1_001.fastq	497448
1195664	MCT-f-0536_S35_L001_R1_001.fastq	298916
1030076	MCT-f-0545_S27_L001_R1_001.fastq	257519
803500	MCT-f-0546_S43_L001_R1_001.fastq	200875
1529044	MCT-f-0548_S42_L001_R1_001.fastq	382261
971120	MCT-f-0550_S38_L001_R1_001.fastq	242780
1487816	MCT-f-0561_S16_L001_R1_001.fastq	371954
732300	MCT-f-0562_S51_L001_R1_001.fastq	183075
419568	MCT-f-0579_S60_L001_R1_001.fastq	104892
995480	MCT-f-0585_S28_L001_R1_001.fastq	248870
979212	MCT-f-0612_S48_L001_R1_001.fastq	244803
975344	MCT-f-0625_S65_L001_R1_001.fastq	243836
