wc -l	Sample	seq count
12596	Blank_A02_036_S2_R1_001.fastq	3149
6316	Blank_A03_038_S195_R1_001.fastq	1579
19708	Blank_A04_040_S388_R1_001.fastq	4927
208544	Blank_A07_041_S487_R1_001.fastq	52136
183832	Blank_B12_040_S408_R1_001.fastq	45958
2656	Blank_C04_036_S28_R1_001.fastq	664
349856	Blank_D02_041_S505_R1_001.fastq	87464
11420	Blank_D10_038_S238_R1_001.fastq	2855
57160	Blank_E09_039_S345_R1_001.fastq	14290
272	Blank_F02_037_S158_R1_001.fastq	68
24332	Blank_F04_039_S352_R1_001.fastq	6083
5820	Blank_G11_037_S179_R1_001.fastq	1455
150984	MCT_f_0001_S463_R1_001.fastq	37746
3952172	MCT_f_0002_S6_R1_001.fastq	988043
1784796	MCT_f_0003_S56_R1_001.fastq	446199
3078916	MCT_f_0004_S389_R1_001.fastq	769729
3960	MCT_f_0005_S132_R1_001.fastq	990
1865232	MCT_f_0006_S363_R1_001.fastq	466308
2515044	MCT_f_0007_S286_R1_001.fastq	628761
2517488	MCT_f_0008_S366_R1_001.fastq	629372
2690960	MCT_f_0009_S226_R1_001.fastq	672740
1581048	MCT_f_0010_S247_R1_001.fastq	395262
3716388	MCT_f_0011_S429_R1_001.fastq	929097
1817852	MCT_f_0012_S361_R1_001.fastq	454463
4205048	MCT_f_0013_S296_R1_001.fastq	1051262
2294648	MCT_f_0014_S185_R1_001.fastq	573662
5672	MCT_f_0015_S515_R1_001.fastq	1418
3619700	MCT_f_0016_S387_R1_001.fastq	904925
438416	MCT_f_0017_S71_R1_001.fastq	109604
145752	MCT_f_0018_S169_R1_001.fastq	36438
3109424	MCT_f_0019_S413_R1_001.fastq	777356
1221364	MCT_f_0020_S164_R1_001.fastq	305341
407716	MCT_f_0035_S110_R1_001.fastq	101929
169788	MCT_f_0036_S227_R1_001.fastq	42447
3249756	MCT_f_0037_S379_R1_001.fastq	812439
2889340	MCT_f_0038_S420_R1_001.fastq	722335
557100	MCT_f_0039_S359_R1_001.fastq	139275
114032	MCT_f_0040_S446_R1_001.fastq	28508
224468	MCT_f_0041_S203_R1_001.fastq	56117
2084236	MCT_f_0042_S69_R1_001.fastq	521059
1733380	MCT_f_0043_S276_R1_001.fastq	433345
2369816	MCT_f_0044_S87_R1_001.fastq	592454
614180	MCT_f_0045_S277_R1_001.fastq	153545
359608	MCT_f_0047_S524_R1_001.fastq	89902
4661852	MCT_f_0048_S290_R1_001.fastq	1165463
973928	MCT_f_0049_S482_R1_001.fastq	243482
849536	MCT_f_0050_S372_R1_001.fastq	212384
2367740	MCT_f_0051_S287_R1_001.fastq	591935
899496	MCT_f_0052_S194_R1_001.fastq	224874
171864	MCT_f_0053_S154_R1_001.fastq	42966
24484	MCT_f_0054_S139_R1_001.fastq	6121
3134196	MCT_f_0055_S432_R1_001.fastq	783549
63852	MCT_f_0056_S133_R1_001.fastq	15963
2362680	MCT_f_0057_S371_R1_001.fastq	590670
1427304	MCT_f_0058_S265_R1_001.fastq	356826
410216	MCT_f_0059_S451_R1_001.fastq	102554
