	sample1	sample3	sample4	sample5	sample6	sample7	sample8	sample9	sample10	sample11	sample12	sample13	sample14	sample15	sample16
sample1	0.0	15.8826774777	20.3106786471	19.8743363251	17.8146272841	14.7908792522	19.8799882841	14.5979414701	16.3512407169	17.2124493241	15.9892482132	17.3019481682	16.6200662351	14.1759022053	13.5896653965
sample3	15.8826774777	0.0	11.6403633752	12.3838649928	13.3879277035	14.3536916897	15.7490597567	10.7768914155	14.9027992778	15.2103647854	11.3501233882	12.5190921445	12.6501543634	13.6542638029	14.6273419302
sample4	20.3106786471	11.6403633752	0.0	6.12569865035	8.92551014943	18.8880331723	15.5885105958	11.8214360845	16.9801243913	16.9839036576	12.3403079176	13.4403970092	15.1453148525	17.1747910614	17.9367791016
sample5	19.8743363251	12.3838649928	6.12569865035	0.0	9.21383993215	18.6037454701	16.7081345129	11.1680009816	17.5455920614	17.9612081481	11.5170105896	13.6896880041	15.5003441627	16.5595342577	17.4685408348
sample6	17.8146272841	13.3879277035	8.92551014943	9.21383993215	0.0	16.7693419638	13.6528596591	10.2503742575	14.2780576011	14.8798475296	10.2902029282	12.0907458933	13.021067058	14.9821592747	15.5752528554
sample7	14.7908792522	14.3536916897	18.8880331723	18.6037454701	16.7693419638	0.0	14.7995754572	12.4404435076	10.7573715975	15.6245981317	14.3805769624	13.5073282277	14.6941120801	12.6123186602	13.6794899449
sample8	19.8799882841	15.7490597567	15.5885105958	16.7081345129	13.6528596591	14.7995754572	0.0	12.9515065731	10.6072904337	10.5928268216	14.0262867343	12.2497914874	12.6658577279	14.9461891628	16.1321981024
sample9	14.5979414701	10.7768914155	11.8214360845	11.1680009816	10.2503742575	12.4404435076	12.9515065731	0.0	11.437683269	13.2993799217	7.29825855436	8.57714917476	9.7959560927	9.47000846835	10.9487100394
sample10	16.3512407169	14.9027992778	16.9801243913	17.5455920614	14.2780576011	10.7573715975	10.6072904337	11.437683269	0.0	11.7087736198	13.7839467159	11.4315699415	12.4792032563	11.9475449684	13.0333651672
sample11	17.2124493241	15.2103647854	16.9839036576	17.9612081481	14.8798475296	15.6245981317	10.5928268216	13.2993799217	11.7087736198	0.0	14.0536817801	12.8856850117	10.4302055683	13.9388789488	14.9276259454
sample12	15.9892482132	11.3501233882	12.3403079176	11.5170105896	10.2902029282	14.3805769624	14.0262867343	7.29825855436	13.7839467159	14.0536817801	0.0	7.5568752602	10.2998566333	10.6307363484	11.3671938082
sample13	17.3019481682	12.5190921445	13.4403970092	13.6896880041	12.0907458933	13.5073282277	12.2497914874	8.57714917476	11.4315699415	12.8856850117	7.5568752602	0.0	9.96096736644	10.622779819	11.5079036086
sample14	16.6200662351	12.6501543634	15.1453148525	15.5003441627	13.021067058	14.6941120801	12.6658577279	9.7959560927	12.4792032563	10.4302055683	10.2998566333	9.96096736644	0.0	8.92191461278	10.5702588755
sample15	14.1759022053	13.6542638029	17.1747910614	16.5595342577	14.9821592747	12.6123186602	14.9461891628	9.47000846835	11.9475449684	13.9388789488	10.6307363484	10.622779819	8.92191461278	0.0	6.92924329544
sample16	13.5896653965	14.6273419302	17.9367791016	17.4685408348	15.5752528554	13.6794899449	16.1321981024	10.9487100394	13.0333651672	14.9276259454	11.3671938082	11.5079036086	10.5702588755	6.92924329544	0.0
