	sample7	sample1	sample2	sample4	sample5	sample6	sample8	sample9	sample10	sample11	sample12	sample13	sample14	sample15
sample7	0.0	9.61584522961	12.5107562308	7.35889219717	8.81874876813	8.89578065097	11.3017227209	11.4446717984	10.2176471713	9.57838931614	11.6067141684	9.57979272961	11.8982550772	12.8254134011
sample1	9.61584522961	0.0	9.8671396878	8.82884335585	12.5830354641	10.0737335315	9.82011417344	11.9255188041	8.33917531442	7.96664593737	11.0130385783	11.1145471338	9.45224879566	14.6241385662
sample2	12.5107562308	9.8671396878	0.0	11.4111319603	14.1546586023	13.6375645874	9.28550028112	9.20339012058	11.1867870866	11.9896199554	10.0905675894	13.1792046703	9.68551549047	16.1985976917
sample4	7.35889219717	8.82884335585	11.4111319603	0.0	7.86327231388	7.49634058476	11.3321743059	11.6940258312	10.940560886	9.03782777842	10.6907633043	8.26321722696	9.34682695651	12.4965363483
sample5	8.81874876813	12.5830354641	14.1546586023	7.86327231388	0.0	9.30782955281	13.8377709729	12.8179249357	12.9814565677	11.9593593767	12.4433468512	7.7790513475	12.7425236367	12.7617621862
sample6	8.89578065097	10.0737335315	13.6375645874	7.49634058476	9.30782955281	0.0	12.6332034038	13.3716721426	11.3355108117	9.74847813843	10.5701610923	10.5599125576	11.370347891	11.3321347703
sample8	11.3017227209	9.82011417344	9.28550028112	11.3321743059	13.8377709729	12.6332034038	0.0	10.1745240988	9.36113738771	11.6762446262	10.1073503498	14.4632569018	11.3388476982	14.799926076
sample9	11.4446717984	11.9255188041	9.20339012058	11.6940258312	12.8179249357	13.3716721426	10.1745240988	0.0	9.89730897071	12.4138164193	10.4430080029	13.4025885993	12.3371218148	15.1706896787
sample10	10.2176471713	8.33917531442	11.1867870866	10.940560886	12.9814565677	11.3355108117	9.36113738771	9.89730897071	0.0	9.45516564459	11.0533980771	13.2429696529	12.2809983225	14.6923994217
sample11	9.57838931614	7.96664593737	11.9896199554	9.03782777842	11.9593593767	9.74847813843	11.6762446262	12.4138164193	9.45516564459	0.0	10.0754314135	10.5686739985	10.6679768166	12.7478985612
sample12	11.6067141684	11.0130385783	10.0905675894	10.6907633043	12.4433468512	10.5701610923	10.1073503498	10.4430080029	11.0533980771	10.0754314135	0.0	11.7140258486	10.6956018989	11.4299736767
sample13	9.57979272961	11.1145471338	13.1792046703	8.26321722696	7.7790513475	10.5599125576	14.4632569018	13.4025885993	13.2429696529	10.5686739985	11.7140258486	0.0	10.7581363784	13.2448173294
sample14	11.8982550772	9.45224879566	9.68551549047	9.34682695651	12.7425236367	11.370347891	11.3388476982	12.3371218148	12.2809983225	10.6679768166	10.6956018989	10.7581363784	0.0	14.4366289193
sample15	12.8254134011	14.6241385662	16.1985976917	12.4965363483	12.7617621862	11.3321347703	14.799926076	15.1706896787	14.6923994217	12.7478985612	11.4299736767	13.2448173294	14.4366289193	0.0
