	sample1	sample2	sample4	sample5	sample6	sample9	sample11	sample12	sample14
sample1	0.0	13.7751866178	10.3816152489	14.4836504995	14.8734866717	17.1266356881	17.4827766645	17.1348173017	18.8044111007
sample2	13.7751866178	0.0	12.5234304418	11.3831023798	13.2228057048	12.6451096464	16.6742705214	12.9651159324	14.1282614419
sample4	10.3816152489	12.5234304418	0.0	11.1128240851	13.5245830737	14.0845539913	15.9840481257	14.5108832025	16.3593646166
sample5	14.4836504995	11.3831023798	11.1128240851	0.0	8.48989475721	8.63939526437	13.2424249296	10.2591398637	13.5741254167
sample6	14.8734866717	13.2228057048	13.5245830737	8.48989475721	0.0	9.90885826945	11.1855481673	9.57309925182	13.6106251561
sample9	17.1266356881	12.6451096464	14.0845539913	8.63939526437	9.90885826945	0.0	12.7179583595	8.70515968286	13.4133572869
sample11	17.4827766645	16.6742705214	15.9840481257	13.2424249296	11.1855481673	12.7179583595	0.0	8.0599029979	10.9837644674
sample12	17.1348173017	12.9651159324	14.5108832025	10.2591398637	9.57309925182	8.70515968286	8.0599029979	0.0	9.06982343687
sample14	18.8044111007	14.1282614419	16.3593646166	13.5741254167	13.6106251561	13.4133572869	10.9837644674	9.06982343687	0.0
