	MCT.f.0514	MCT.f.0515	MCT.f.0516	MCT.f.0517	MCT.f.0519	MCT.f.0520	MCT.f.0522	MCT.f.0523	MCT.f.0524	MCT.f.0525	MCT.f.0526	MCT.f.0527
MCT.f.0514	0.0	18.0306413429	13.2658420307	14.175110361	9.61186454084	8.66486311191	11.9500756537	11.5601985125	9.60138777887	9.30256406156	11.9213618033	15.0638755047
MCT.f.0515	18.0306413429	0.0	10.5640510225	10.1679859629	18.0753508319	18.716936806	14.9518177832	12.2993259353	16.6671796279	18.6811173148	14.1477555603	11.0660456013
MCT.f.0516	13.2658420307	10.5640510225	0.0	7.6871038927	13.8222951084	15.1246038009	9.53242445523	10.1705632374	13.0294055455	14.3959098421	11.0985224272	11.8566702904
MCT.f.0517	14.175110361	10.1679859629	7.6871038927	0.0	13.9518293867	15.4890541187	10.9351024615	10.9520536563	14.0801531621	15.1033706128	12.5379189204	11.6983147456
MCT.f.0519	9.61186454084	18.0753508319	13.8222951084	13.9518293867	0.0	9.52887237262	12.7404738083	11.7077741343	8.95373177135	10.4390383995	11.1751932178	14.488278891
MCT.f.0520	8.66486311191	18.716936806	15.1246038009	15.4890541187	9.52887237262	0.0	11.5822432206	12.3670226757	8.36895034876	7.71470336813	12.2152022648	15.0119163612
MCT.f.0522	11.9500756537	14.9518177832	9.53242445523	10.9351024615	12.7404738083	11.5822432206	0.0	11.57102543	11.6799810595	10.7128991244	11.8982836056	13.9861379267
MCT.f.0523	11.5601985125	12.2993259353	10.1705632374	10.9520536563	11.7077741343	12.3670226757	11.57102543	0.0	9.87361367625	12.7588058281	7.95051892654	10.1698363916
MCT.f.0524	9.60138777887	16.6671796279	13.0294055455	14.0801531621	8.95373177135	8.36895034876	11.6799810595	9.87361367625	0.0	8.96527453982	8.76601020617	13.2657324657
MCT.f.0525	9.30256406156	18.6811173148	14.3959098421	15.1033706128	10.4390383995	7.71470336813	10.7128991244	12.7588058281	8.96527453982	0.0	12.2134977454	14.5938120995
MCT.f.0526	11.9213618033	14.1477555603	11.0985224272	12.5379189204	11.1751932178	12.2152022648	11.8982836056	7.95051892654	8.76601020617	12.2134977454	0.0	10.8780031692
MCT.f.0527	15.0638755047	11.0660456013	11.8566702904	11.6983147456	14.488278891	15.0119163612	13.9861379267	10.1698363916	13.2657324657	14.5938120995	10.8780031692	0.0
