	sample1	sample3	sample5	sample6	sample7	sample8	sample10	sample11	sample12	sample13
sample1	0.0	6.44200767786	8.83539854641	9.74542879217	9.22133713542	8.7688425112	7.85125118784	9.23931865236	8.35309617918	8.9576927251
sample3	6.44200767786	0.0	9.74952397438	10.0744739608	8.11020549076	8.51668451841	8.78484430127	9.02652447361	8.04922067268	9.85270054834
sample5	8.83539854641	9.74952397438	0.0	9.18446517833	8.73826571201	10.6670672916	8.69894831058	10.3675708018	9.59446882064	10.2791989301
sample6	9.74542879217	10.0744739608	9.18446517833	0.0	10.1006713678	10.9809616883	9.80985282941	10.2027137989	9.87295233403	10.6513213443
sample7	9.22133713542	8.11020549076	8.73826571201	10.1006713678	0.0	10.2263238528	8.94329122766	10.1237245339	8.71993358929	9.72094321936
sample8	8.7688425112	8.51668451841	10.6670672916	10.9809616883	10.2263238528	0.0	10.4803280435	11.0847414721	10.1891968863	10.4088503971
sample10	7.85125118784	8.78484430127	8.69894831058	9.80985282941	8.94329122766	10.4803280435	0.0	10.6545422411	9.21357370095	10.0636184523
sample11	9.23931865236	9.02652447361	10.3675708018	10.2027137989	10.1237245339	11.0847414721	10.6545422411	0.0	8.27536231884	9.16991643454
sample12	8.35309617918	8.04922067268	9.59446882064	9.87295233403	8.71993358929	10.1891968863	9.21357370095	8.27536231884	0.0	8.553510153
sample13	8.9576927251	9.85270054834	10.2791989301	10.6513213443	9.72094321936	10.4088503971	10.0636184523	9.16991643454	8.553510153	0.0
