	MCT.f.0396	MCT.f.0397	MCT.f.0398	MCT.f.0399	MCT.f.0400	MCT.f.0402	MCT.f.0403	MCT.f.0404	MCT.f.0405	MCT.f.0406	MCT.f.0407	MCT.f.0408
MCT.f.0396	0.0	2.3735404743	3.66343941244	4.99160350037	6.07341712513	6.85401294811	6.64884194548	7.32634137757	7.59087216517	7.79227493917	7.96473140517	8.19650408481
MCT.f.0397	2.3735404743	0.0	1.74168924767	3.24299229733	4.9953989904	7.40096109222	7.65532195537	8.15776015564	7.92230175134	7.91967735008	7.65816269355	7.89734107429
MCT.f.0398	3.66343941244	1.74168924767	0.0	1.83910225219	3.37313268896	6.22347202513	7.40292083688	7.85505198663	7.4311371301	7.21832891449	6.87513622639	6.97847131917
MCT.f.0399	4.99160350037	3.24299229733	1.83910225219	0.0	2.0630624843	5.09162896867	6.14018297942	8.10929141723	7.70770700665	7.43573850265	7.03710435386	7.03835694034
MCT.f.0400	6.07341712513	4.9953989904	3.37313268896	2.0630624843	0.0	3.38512958111	4.61121226315	6.67516511315	6.33855336359	6.00204173265	6.22112712906	6.32201096738
MCT.f.0402	6.85401294811	7.40096109222	6.22347202513	5.09162896867	3.38512958111	0.0	1.89524300344	4.04094699595	4.78757075717	5.13761618775	6.29498276934	6.30116179158
MCT.f.0403	6.64884194548	7.65532195537	7.40292083688	6.14018297942	4.61121226315	1.89524300344	0.0	2.55729124772	4.25041133131	4.8972944958	6.15097776087	6.95487796391
MCT.f.0404	7.32634137757	8.15776015564	7.85505198663	8.10929141723	6.67516511315	4.04094699595	2.55729124772	0.0	2.17410131478	3.051960145	4.54460735349	5.52303114565
MCT.f.0405	7.59087216517	7.92230175134	7.4311371301	7.70770700665	6.33855336359	4.78757075717	4.25041133131	2.17410131478	0.0	1.45274403616	3.14952208875	4.13162070063
MCT.f.0406	7.79227493917	7.91967735008	7.21832891449	7.43573850265	6.00204173265	5.13761618775	4.8972944958	3.051960145	1.45274403616	0.0	2.10398309439	3.1910640102
MCT.f.0407	7.96473140517	7.65816269355	6.87513622639	7.03710435386	6.22112712906	6.29498276934	6.15097776087	4.54460735349	3.14952208875	2.10398309439	0.0	1.34657209912
MCT.f.0408	8.19650408481	7.89734107429	6.97847131917	7.03835694034	6.32201096738	6.30116179158	6.95487796391	5.52303114565	4.13162070063	3.1910640102	1.34657209912	0.0
