	sample1	sample2	sample3	sample4	sample5	sample8	sample9	sample11	sample13	sample14	sample16	sample17
sample1	0.0	12.1267819628	11.0798768084	29.0682529441	10.7905058792	11.8614655271	11.4369402641	11.1061537461	11.2680334998	11.4619879855	14.8744576676	14.4012043078
sample2	12.1267819628	0.0	11.3580570469	28.9833234357	15.1030391881	15.2130753191	15.2639417583	12.0343281014	13.5323924127	13.0442172646	14.5493859679	17.2057725146
sample3	11.0798768084	11.3580570469	0.0	31.0253183736	10.8220301984	12.2325865663	11.9368661623	12.4312978502	12.5374028956	11.2910512483	15.2008296759	14.2537875567
sample4	29.0682529441	28.9833234357	31.0253183736	0.0	31.6308112223	29.2221603462	33.2096902523	31.7204208373	31.0806550781	33.7327246919	29.6144421355	28.2098820824
sample5	10.7905058792	15.1030391881	10.8220301984	31.6308112223	0.0	9.48839906697	8.91590447022	11.2633376291	10.0991524339	10.6927089588	15.5253076979	13.6087224497
sample8	11.8614655271	15.2130753191	12.2325865663	29.2221603462	9.48839906697	0.0	9.07525787651	10.9604359299	12.533035368	12.7922700619	15.6873389994	11.3252673825
sample9	11.4369402641	15.2639417583	11.9368661623	33.2096902523	8.91590447022	9.07525787651	0.0	9.09121547079	11.7571880399	10.9612265436	17.3070414682	15.5352907684
sample11	11.1061537461	12.0343281014	12.4312978502	31.7204208373	11.2633376291	10.9604359299	9.09121547079	0.0	11.2803049889	11.0454497846	15.8776440896	16.3176912935
sample13	11.2680334998	13.5323924127	12.5374028956	31.0806550781	10.0991524339	12.533035368	11.7571880399	11.2803049889	0.0	10.93384236	13.259011554	14.7674232276
sample14	11.4619879855	13.0442172646	11.2910512483	33.7327246919	10.6927089588	12.7922700619	10.9612265436	11.0454497846	10.93384236	0.0	16.2827717512	17.6578191911
sample16	14.8744576676	14.5493859679	15.2008296759	29.6144421355	15.5253076979	15.6873389994	17.3070414682	15.8776440896	13.259011554	16.2827717512	0.0	15.2142803942
sample17	14.4012043078	17.2057725146	14.2537875567	28.2098820824	13.6087224497	11.3252673825	15.5352907684	16.3176912935	14.7674232276	17.6578191911	15.2142803942	0.0
