	MCT.f.0310	MCT.f.0311	MCT.f.0312	MCT.f.0313	MCT.f.0314	MCT.f.0315	MCT.f.0316	MCT.f.0318	MCT.f.0319	MCT.f.0320	MCT.f.0321	MCT.f.0322	MCT.f.0323
MCT.f.0310	0.0	2.61304632977	3.71936903888	5.54836211129	6.93166334766	6.09516880011	6.23652950775	5.972191381	6.04702122231	6.37927639685	6.09518240132	5.4168131862	5.50660565
MCT.f.0311	2.61304632977	0.0	2.02357904397	4.15950687999	5.61818517834	5.99492464835	5.84923010542	6.40625812454	6.46796661073	6.45688629797	6.11571855851	5.43589274018	5.91642504877
MCT.f.0312	3.71936903888	2.02357904397	0.0	2.47835506236	4.27409852217	4.57669877296	5.13743636251	6.02064373382	6.17760485153	5.63190814967	5.13586255977	4.55535605713	4.81541439201
MCT.f.0313	5.54836211129	4.15950687999	2.47835506236	0.0	2.05456001286	3.02014979428	4.08210443533	6.48543332139	6.06145175708	5.68268098785	5.30215398707	5.16123203146	5.18175269472
MCT.f.0314	6.93166334766	5.61818517834	4.27409852217	2.05456001286	0.0	2.36852820068	4.21773102212	7.246062954	6.58399544678	6.02213546932	5.63243508877	5.93034616769	5.96618277712
MCT.f.0315	6.09516880011	5.99492464835	4.57669877296	3.02014979428	2.36852820068	0.0	2.23932315071	5.13714480916	5.86442743658	5.67866305439	5.41965272528	5.11772584834	4.92609243814
MCT.f.0316	6.23652950775	5.84923010542	5.13743636251	4.08210443533	4.21773102212	2.23932315071	0.0	3.81431914657	5.61834907828	6.18583470997	5.97911178215	5.87545924981	5.27616166143
MCT.f.0318	5.972191381	6.40625812454	6.02064373382	6.48543332139	7.246062954	5.13714480916	3.81431914657	0.0	3.02481116695	4.5683086831	6.10138574463	6.37272949055	6.06191596167
MCT.f.0319	6.04702122231	6.46796661073	6.17760485153	6.06145175708	6.58399544678	5.86442743658	5.61834907828	3.02481116695	0.0	1.96566498606	3.38826221819	4.43621870919	6.17600308958
MCT.f.0320	6.37927639685	6.45688629797	5.63190814967	5.68268098785	6.02213546932	5.67866305439	6.18583470997	4.5683086831	1.96566498606	0.0	2.06681626498	3.52047048564	5.27809331282
MCT.f.0321	6.09518240132	6.11571855851	5.13586255977	5.30215398707	5.63243508877	5.41965272528	5.97911178215	6.10138574463	3.38826221819	2.06681626498	0.0	2.2049033192	4.32129542504
MCT.f.0322	5.4168131862	5.43589274018	4.55535605713	5.16123203146	5.93034616769	5.11772584834	5.87545924981	6.37272949055	4.43621870919	3.52047048564	2.2049033192	0.0	2.50320689705
MCT.f.0323	5.50660565	5.91642504877	4.81541439201	5.18175269472	5.96618277712	4.92609243814	5.27616166143	6.06191596167	6.17600308958	5.27809331282	4.32129542504	2.50320689705	0.0
