	MCT.f.0037	MCT.f.0038	MCT.f.0039	MCT.f.0042	MCT.f.0043	MCT.f.0044	MCT.f.0045	MCT.f.0048	MCT.f.0049	MCT.f.0050
MCT.f.0037	0.0	2.11873436582	4.07762367216	6.88660528045	6.56765516712	5.64416264103	5.89416412783	5.93909227938	6.56708882342	6.44202191307
MCT.f.0038	2.11873436582	0.0	2.27538791887	7.18414928589	6.92033544086	5.92067455615	5.73512126599	6.01845205966	6.80699001172	6.68607459375
MCT.f.0039	4.07762367216	2.27538791887	0.0	7.46001938273	7.22458255327	6.16766419791	5.62311737436	6.49600691123	6.95913851069	6.80650561511
MCT.f.0042	6.88660528045	7.18414928589	7.46001938273	0.0	2.50247459191	5.70475720739	7.80456005867	6.92969256501	7.06293278583	6.33604921849
MCT.f.0043	6.56765516712	6.92033544086	7.22458255327	2.50247459191	0.0	3.6552664635	5.80854096487	6.71345006444	6.37887008448	5.82145039889
MCT.f.0044	5.64416264103	5.92067455615	6.16766419791	5.70475720739	3.6552664635	0.0	2.6484770752	6.484248663	6.14077675523	6.09626278019
MCT.f.0045	5.89416412783	5.73512126599	5.62311737436	7.80456005867	5.80854096487	2.6484770752	0.0	6.36690952705	6.31955866829	6.43537080438
MCT.f.0048	5.93909227938	6.01845205966	6.49600691123	6.92969256501	6.71345006444	6.484248663	6.36690952705	0.0	3.51056428808	5.05910832839
MCT.f.0049	6.56708882342	6.80699001172	6.95913851069	7.06293278583	6.37887008448	6.14077675523	6.31955866829	3.51056428808	0.0	2.60889731774
MCT.f.0050	6.44202191307	6.68607459375	6.80650561511	6.33604921849	5.82145039889	6.09626278019	6.43537080438	5.05910832839	2.60889731774	0.0
