	sample1	sample4	sample5	sample7	sample9	sample10	sample12	sample13
sample1	0.0	9.48839906697	8.91590447022	11.2633376291	10.0991524339	10.6927089588	15.5253076979	13.6087224497
sample4	9.48839906697	0.0	9.07525787651	10.9604359299	12.533035368	12.7922700619	15.6873389994	11.3252673825
sample5	8.91590447022	9.07525787651	0.0	9.09121547079	11.7571880399	10.9612265436	17.3070414682	15.5352907684
sample7	11.2633376291	10.9604359299	9.09121547079	0.0	11.2803049889	11.0454497846	15.8776440896	16.3176912935
sample9	10.0991524339	12.533035368	11.7571880399	11.2803049889	0.0	10.93384236	13.259011554	14.7674232276
sample10	10.6927089588	12.7922700619	10.9612265436	11.0454497846	10.93384236	0.0	16.2827717512	17.6578191911
sample12	15.5253076979	15.6873389994	17.3070414682	15.8776440896	13.259011554	16.2827717512	0.0	15.2142803942
sample13	13.6087224497	11.3252673825	15.5352907684	16.3176912935	14.7674232276	17.6578191911	15.2142803942	0.0
