	sample1	sample2	sample5	sample6	sample7	sample8	sample11	sample12	sample13	sample14
sample1	0.0	13.1189331209	10.1058996903	9.70261926917	11.7429124898	11.6669764922	9.53242760928	10.0459446837	11.0354512721	7.93045147151
sample2	13.1189331209	0.0	14.1426098537	12.8508162019	12.9912023213	10.5122310725	14.6498170896	11.2384090631	11.2059234748	13.4217221256
sample5	10.1058996903	14.1426098537	0.0	8.56796717773	11.0192795071	11.5446860005	9.54268300231	10.8515825866	10.9554694498	10.0360855778
sample6	9.70261926917	12.8508162019	8.56796717773	0.0	11.3581777367	9.10196123654	9.1379092153	10.3498303591	10.1847716004	8.47201369954
sample7	11.7429124898	12.9912023213	11.0192795071	11.3581777367	0.0	12.3520483295	12.2481188421	9.79457768238	12.9979529115	11.3452425308
sample8	11.6669764922	10.5122310725	11.5446860005	9.10196123654	12.3520483295	0.0	11.6178668002	9.13947042436	8.35218144097	9.08277182913
sample11	9.53242760928	14.6498170896	9.54268300231	9.1379092153	12.2481188421	11.6178668002	0.0	11.1724646517	11.1805386022	8.15437896536
sample12	10.0459446837	11.2384090631	10.8515825866	10.3498303591	9.79457768238	9.13947042436	11.1724646517	0.0	8.8943513975	9.58451131535
sample13	11.0354512721	11.2059234748	10.9554694498	10.1847716004	12.9979529115	8.35218144097	11.1805386022	8.8943513975	0.0	9.38609072243
sample14	7.93045147151	13.4217221256	10.0360855778	8.47201369954	11.3452425308	9.08277182913	8.15437896536	9.58451131535	9.38609072243	0.0
