	sample1	sample2	sample3	sample4	sample5	sample6	sample7	sample9	sample10	sample11	sample12	sample13	sample15
sample1	0.0	9.40763002732	7.75987182375	8.8444244607	8.27297013199	9.42858622866	8.783638435	10.432306988	12.2689105006	13.1057984549	13.1729098128	11.4671728584	10.6625275615
sample2	9.40763002732	0.0	11.1509587748	9.74358307349	11.4574407108	12.486040025	11.6709626655	12.5226742578	12.6128359956	12.3603332049	12.3159383769	10.9353212347	12.7580572117
sample3	7.75987182375	11.1509587748	0.0	8.99764693351	7.54234439654	9.27920742513	8.21766871434	10.9201261983	12.7689086254	13.8652559853	13.0818683512	11.8008687475	9.64396823153
sample4	8.8444244607	9.74358307349	8.99764693351	0.0	11.0213052596	12.3519930791	10.7140614147	11.8803434319	14.0301934497	14.9957341455	13.5066989268	12.4103927605	12.2184651981
sample5	8.27297013199	11.4574407108	7.54234439654	11.0213052596	0.0	6.24132052181	6.64613906255	10.5367488018	12.0177701015	11.6800760159	11.7391020744	10.3349925634	9.79238680204
sample6	9.42858622866	12.486040025	9.27920742513	12.3519930791	6.24132052181	0.0	6.41469590316	11.5778137785	12.996743779	11.9342274605	11.5824221791	9.78405452984	10.2581308229
sample7	8.783638435	11.6709626655	8.21766871434	10.7140614147	6.64613906255	6.41469590316	0.0	10.2921175259	10.7958268546	11.418720936	11.7535282102	9.75981300455	8.97197450546
sample9	10.432306988	12.5226742578	10.9201261983	11.8803434319	10.5367488018	11.5778137785	10.2921175259	0.0	11.6576732822	13.801591098	13.021592327	13.3750981017	10.7529263798
sample10	12.2689105006	12.6128359956	12.7689086254	14.0301934497	12.0177701015	12.996743779	10.7958268546	11.6576732822	0.0	9.6517141935	12.2674736794	12.3366769452	9.74163627203
sample11	13.1057984549	12.3603332049	13.8652559853	14.9957341455	11.6800760159	11.9342274605	11.418720936	13.801591098	9.6517141935	0.0	8.85738850916	10.8150521873	10.2462340021
sample12	13.1729098128	12.3159383769	13.0818683512	13.5066989268	11.7391020744	11.5824221791	11.7535282102	13.021592327	12.2674736794	8.85738850916	0.0	10.350403219	10.1991144864
sample13	11.4671728584	10.9353212347	11.8008687475	12.4103927605	10.3349925634	9.78405452984	9.75981300455	13.3750981017	12.3366769452	10.8150521873	10.350403219	0.0	11.0962063785
sample15	10.6625275615	12.7580572117	9.64396823153	12.2184651981	9.79238680204	10.2581308229	8.97197450546	10.7529263798	9.74163627203	10.2462340021	10.1991144864	11.0962063785	0.0
