	sample1	sample2	sample3	sample4	sample5	sample6	sample7	sample8	sample10	sample11	sample12	sample13	sample14	sample16
sample1	0.0	0.834482758621	0.674418604651	0.769230769231	0.753846153846	0.838709677419	0.64347826087	0.786764705882	0.752577319588	0.815068493151	0.856115107914	0.892617449664	0.790540540541	0.733870967742
sample2	0.834482758621	0.0	0.834437086093	0.768707482993	0.744360902256	0.788617886179	0.816176470588	0.75	0.884955752212	0.772413793103	0.794117647059	0.785714285714	0.781456953642	0.817518248175
sample3	0.674418604651	0.834437086093	0.0	0.796052631579	0.80985915493	0.709401709402	0.765151515152	0.578512396694	0.745098039216	0.831168831169	0.797101449275	0.845637583893	0.792207792208	0.766917293233
sample4	0.769230769231	0.768707482993	0.796052631579	0.0	0.608	0.710743801653	0.825174825175	0.726618705036	0.872881355932	0.687943262411	0.751824817518	0.865384615385	0.798742138365	0.818181818182
sample5	0.753846153846	0.744360902256	0.80985915493	0.608	0.0	0.754385964912	0.758064516129	0.774436090226	0.821782178218	0.769784172662	0.81954887218	0.843971631206	0.827814569536	0.825757575758
sample6	0.838709677419	0.788617886179	0.709401709402	0.710743801653	0.754385964912	0.0	0.827586206897	0.739130434783	0.811764705882	0.8046875	0.869918699187	0.875968992248	0.839416058394	0.838983050847
sample7	0.64347826087	0.816176470588	0.765151515152	0.825174825175	0.758064516129	0.827586206897	0.0	0.763779527559	0.569620253165	0.777777777778	0.829457364341	0.870503597122	0.804195804196	0.788617886179
sample8	0.786764705882	0.75	0.578512396694	0.726618705036	0.774436090226	0.739130434783	0.763779527559	0.0	0.767676767677	0.729927007299	0.796992481203	0.885906040268	0.838709677419	0.755905511811
sample10	0.752577319588	0.884955752212	0.745098039216	0.872881355932	0.821782178218	0.811764705882	0.569620253165	0.767676767677	0.0	0.839285714286	0.954954954955	0.900900900901	0.837606837607	0.848484848485
sample11	0.815068493151	0.772413793103	0.831168831169	0.687943262411	0.769784172662	0.8046875	0.777777777778	0.729927007299	0.839285714286	0.0	0.773722627737	0.808219178082	0.627737226277	0.814285714286
sample12	0.856115107914	0.794117647059	0.797101449275	0.751824817518	0.81954887218	0.869918699187	0.829457364341	0.796992481203	0.954954954955	0.773722627737	0.0	0.72	0.748201438849	0.689655172414
sample13	0.892617449664	0.785714285714	0.845637583893	0.865384615385	0.843971631206	0.875968992248	0.870503597122	0.885906040268	0.900900900901	0.808219178082	0.72	0.0	0.666666666667	0.77519379845
sample14	0.790540540541	0.781456953642	0.792207792208	0.798742138365	0.827814569536	0.839416058394	0.804195804196	0.838709677419	0.837606837607	0.627737226277	0.748201438849	0.666666666667	0.0	0.725925925926
sample16	0.733870967742	0.817518248175	0.766917293233	0.818181818182	0.825757575758	0.838983050847	0.788617886179	0.755905511811	0.848484848485	0.814285714286	0.689655172414	0.77519379845	0.725925925926	0.0
