	sample1	sample2	sample3	sample4	sample5	sample6	sample7	sample8	sample10	sample11	sample12	sample13	sample14	sample15	sample16
sample1	0.0	11.2029658713	11.8121481543	9.24853626296	17.0607674261	15.2453228505	16.9650555176	11.84340754	14.1708846227	14.1115568348	14.1451127147	13.9816828302	16.9444059895	11.7356552696	13.4182589132
sample2	11.2029658713	0.0	9.10980280352	10.9680558013	17.1938137847	17.5197912806	19.2322551776	11.5028823665	12.4941390619	13.3902131474	15.0137276065	13.9237342374	15.6995913698	13.7035018223	16.2762644569
sample3	11.8121481543	9.10980280352	0.0	11.9596138801	17.3445810686	17.400301467	17.8143309043	11.5397650021	12.2371149798	12.1996055659	13.2666234019	12.061100996	15.6449736173	15.0156278653	16.4951564598
sample4	9.24853626296	10.9680558013	11.9596138801	0.0	16.5975488874	16.0236132107	18.7071570169	11.3459852313	13.467318079	13.0431142355	13.8538955987	14.1575984479	16.317334322	12.0599285403	15.6147814116
sample5	17.0607674261	17.1938137847	17.3445810686	16.5975488874	0.0	12.1566138991	16.9654904122	15.5705719519	14.6756452419	17.4448478307	15.9786762876	16.0855380343	14.1534202917	14.9630639335	19.0951954071
sample6	15.2453228505	17.5197912806	17.400301467	16.0236132107	12.1566138991	0.0	13.3786473206	14.616662103	14.5794134924	17.837116454	13.5519702134	16.3761432386	17.2007127724	13.2534159978	15.6835712176
sample7	16.9650555176	19.2322551776	17.8143309043	18.7071570169	16.9654904122	13.3786473206	0.0	15.678863219	16.593739686	20.307243261	13.4333062418	19.2678955902	21.0071064996	18.1545145624	17.9665211019
sample8	11.84340754	11.5028823665	11.5397650021	11.3459852313	15.5705719519	14.616662103	15.678863219	0.0	11.3707066403	12.853496906	12.6028252043	13.5554436566	16.1805469412	12.8812629429	14.1538935924
sample10	14.1708846227	12.4941390619	12.2371149798	13.467318079	14.6756452419	14.5794134924	16.593739686	11.3707066403	0.0	11.9536988461	12.8532116277	12.3359090027	13.7348907818	14.8447178973	17.7261016259
sample11	14.1115568348	13.3902131474	12.1996055659	13.0431142355	17.4448478307	17.837116454	20.307243261	12.853496906	11.9536988461	0.0	13.5025052301	10.8150642268	11.6257101105	13.5221680908	16.8401941944
sample12	14.1451127147	15.0137276065	13.2666234019	13.8538955987	15.9786762876	13.5519702134	13.4333062418	12.6028252043	12.8532116277	13.5025052301	0.0	13.4152507714	15.229694827	14.0465474428	15.9450750215
sample13	13.9816828302	13.9237342374	12.061100996	14.1575984479	16.0855380343	16.3761432386	19.2678955902	13.5554436566	12.3359090027	10.8150642268	13.4152507714	0.0	12.5461454144	14.6299626496	16.7414477821
sample14	16.9444059895	15.6995913698	15.6449736173	16.317334322	14.1534202917	17.2007127724	21.0071064996	16.1805469412	13.7348907818	11.6257101105	15.229694827	12.5461454144	0.0	14.5965592882	19.9111131141
sample15	11.7356552696	13.7035018223	15.0156278653	12.0599285403	14.9630639335	13.2534159978	18.1545145624	12.8812629429	14.8447178973	13.5221680908	14.0465474428	14.6299626496	14.5965592882	0.0	11.3932806939
sample16	13.4182589132	16.2762644569	16.4951564598	15.6147814116	19.0951954071	15.6835712176	17.9665211019	14.1538935924	17.7261016259	16.8401941944	15.9450750215	16.7414477821	19.9111131141	11.3932806939	0.0
