	sample1	sample3	sample4	sample5	sample6	sample7	sample9	sample10	sample11	sample12	sample14	sample15
sample1	0.0	4.53048780488	8.32974910394	8.34680922152	10.2222222222	9.91304347826	11.6124031008	11.0598290598	9.57257945307	9.64667106131	10.8441814596	11.2822299652
sample3	4.53048780488	0.0	8.7311827957	8.67397260274	10.3601532567	9.91304347826	11.6124031008	11.0598290598	10.0666666667	9.67567567568	11.0650887574	11.5510204082
sample4	8.32974910394	8.7311827957	0.0	4.26487946187	9.04585341738	9.27690651253	10.2188880553	9.91838985387	7.78696643858	8.07197520101	9.55877924116	9.25473297824
sample5	8.34680922152	8.67397260274	4.26487946187	0.0	9.17247677531	8.89214359196	10.4893844466	10.2067673575	8.21552511416	8.34824139208	9.99530950258	8.51927720029
sample6	10.2222222222	10.3601532567	9.04585341738	9.17247677531	0.0	6.72156346069	7.99429742493	8.32557225661	9.38850574713	9.59210935073	9.4692239679	9.09615507645
sample7	9.91304347826	9.91304347826	9.27690651253	8.89214359196	6.72156346069	0.0	8.13121099774	8.13383556862	8.77285902503	9.38019442367	9.72744423915	7.82729692668
sample9	11.6124031008	11.6124031008	10.2188880553	10.4893844466	7.99429742493	8.13121099774	0.0	2.42204995693	5.90335917313	5.66095397723	10.1395654634	8.83095789408
sample10	11.0598290598	11.0598290598	9.91838985387	10.2067673575	8.32557225661	8.13383556862	2.42204995693	0.0	5.22864542865	5.66591206591	10.2292351523	9.48072033786
sample11	9.57257945307	10.0666666667	7.78696643858	8.21552511416	9.38850574713	8.77285902503	5.90335917313	5.22864542865	0.0	1.83095823096	10.3442711135	9.26975881262
sample12	9.64667106131	9.67567567568	8.07197520101	8.34824139208	9.59210935073	9.38019442367	5.66095397723	5.66591206591	1.83095823096	0.0	10.3942427635	8.69017700446
sample14	10.8441814596	11.0650887574	9.55877924116	9.99530950258	9.4692239679	9.72744423915	10.1395654634	10.2292351523	10.3442711135	10.3942427635	0.0	8.74519619575
sample15	11.2822299652	11.5510204082	9.25473297824	8.51927720029	9.09615507645	7.82729692668	8.83095789408	9.48072033786	9.26975881262	8.69017700446	8.74519619575	0.0
