	MCT.f.0581	MCT.f.0582	MCT.f.0583	MCT.f.0585	MCT.f.0586	MCT.f.0587	MCT.f.0590	MCT.f.0592	MCT.f.0593	MCT.f.0595
MCT.f.0581	0.0	14.6301210581	16.4267285333	15.2922147027	16.9344512123	18.1155150238	18.8339261947	21.2535379233	19.5128101141	21.4175505572
MCT.f.0582	14.6301210581	0.0	13.7751866178	10.3816152489	14.4836504995	14.8734866717	17.1266356881	17.4827766645	17.1348173017	18.8044111007
MCT.f.0583	16.4267285333	13.7751866178	0.0	12.5234304418	11.3831023798	13.2228057048	12.6451096464	16.6742705214	12.9651159324	14.1282614419
MCT.f.0585	15.2922147027	10.3816152489	12.5234304418	0.0	11.1128240851	13.5245830737	14.0845539913	15.9840481257	14.5108832025	16.3593646166
MCT.f.0586	16.9344512123	14.4836504995	11.3831023798	11.1128240851	0.0	8.48989475721	8.63939526437	13.2424249296	10.2591398637	13.5741254167
MCT.f.0587	18.1155150238	14.8734866717	13.2228057048	13.5245830737	8.48989475721	0.0	9.90885826945	11.1855481673	9.57309925182	13.6106251561
MCT.f.0590	18.8339261947	17.1266356881	12.6451096464	14.0845539913	8.63939526437	9.90885826945	0.0	12.7179583595	8.70515968286	13.4133572869
MCT.f.0592	21.2535379233	17.4827766645	16.6742705214	15.9840481257	13.2424249296	11.1855481673	12.7179583595	0.0	8.0599029979	10.9837644674
MCT.f.0593	19.5128101141	17.1348173017	12.9651159324	14.5108832025	10.2591398637	9.57309925182	8.70515968286	8.0599029979	0.0	9.06982343687
MCT.f.0595	21.4175505572	18.8044111007	14.1282614419	16.3593646166	13.5741254167	13.6106251561	13.4133572869	10.9837644674	9.06982343687	0.0
