#taxonomy	MCTs01	MCTs03	MCTs04	MCTs05	MCTs06	MCTs07	MCTs08	MCTs09	MCTs10	MCTs11	MCTs12	MCTs13	MCTs14	MCTs15	MCTs16	MCTs18	MCTs19	MCTs20	MCTs21	MCTs22	MCTs23	MCTs24	MCTs25	MCTs26	MCTs27	MCTs28	MCTs29	MCTs31	MCTs32	MCTs33	MCTs34	MCTs35	MCTs36	MCTs37
k__Bacteria;p__Firmicutes;c__Negativicutes;o__Acidaminococcales;f__Acidaminococcaceae	11	0	0	0	130	0	14	24	0	0	0	6	34	0	0	0	0	0	0	4	0	0	18	0	0	0	1	0	1	0	0	0	0	0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae	12	2	12	3	1	2	2	1	1	0	2	0	1	3	7	6	1	3	1	1	0	1	5	2	2	1	60	2	4	0	2	44	2	4
k__Bacteria;p__Firmicutes;c__Erysipelotrichia;o__Erysipelotrichales;f__Erysipelotrichaceae	3	4	8	1	7	4	2	3	6	8	10	5	9	5	5	1	4	4	4	3	2	1	2	3	10	9	10	9	6	1	8	2	2	0
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pasteurellales;f__Pasteurellaceae	2	0	21	0	1	3	2	1	4	1	2	0	0	3	2	1	1	0	2	1	1	1	0	0	0	1	40	0	1	0	1	27	4	1
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Enterococcaceae	2	3	2	2	10	3	1	1	2	2	3	1	3	5	2	3	3	2	3	2	1	2	2	1	2	3	8	4	4	2	4	2	4	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Micrococcales;f__Cellulomonadaceae	0	0	2	0	14	0	0	0	0	0	0	1	3	0	0	0	0	0	0	0	0	11	0	0	0	0	0	11	10	0	0	24	0	0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Peptostreptococcaceae	2	2	2	1	3	2	1	1	1	1	2	1	2	2	2	4	4	1	1	1	1	1	2	1	3	9	4	2	2	1	3	0	1	0
k__Bacteria;p__Bacteroidetes;NA;NA;NA	1	3	1	4	1	2	1	1	1	2	2	1	2	1	1	2	2	2	1	1	3	2	1	1	1	2	5	1	2	1	1	2	1	2
k__Bacteria;p__Proteobacteria;c__Epsilonproteobacteria;o__Campylobacterales;f__Campylobacteraceae	6	1	2	0	4	1	0	1	0	0	0	0	1	3	0	6	9	0	2	1	0	0	0	1	0	5	4	1	2	0	1	0	0	0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiales Family XIII. Incertae Sedis	0	1	1	0	2	1	0	0	1	1	1	0	1	1	1	1	1	1	1	0	0	0	1	1	12	3	2	6	1	0	2	1	0	0
