#taxonomy	MCTs01	MCTs03	MCTs04	MCTs05	MCTs06	MCTs07	MCTs08	MCTs09	MCTs10	MCTs11	MCTs12	MCTs13	MCTs14	MCTs15	MCTs16	MCTs18	MCTs19	MCTs20	MCTs21	MCTs22	MCTs23	MCTs24	MCTs25	MCTs26	MCTs27	MCTs28	MCTs29	MCTs31	MCTs32	MCTs33	MCTs34	MCTs35	MCTs36	MCTs37
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides	4954	5776	6924	6969	3320	4678	7663	5718	4558	5293	6010	4836	2189	4052	4980	7726	7108	4763	7136	5208	5323	3054	6338	6220	4536	3159	2884	2091	3458	5385	2522	577	5709	9024
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes	1343	1207	35	6	395	1874	726	1209	2136	1154	895	2181	2681	3045	1137	18	9	2980	521	2381	1508	923	693	847	1467	2464	756	395	1162	1980	3752	53	922	18
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Faecalibacterium	984	704	312	918	1328	895	361	738	632	385	451	362	862	322	338	4	154	355	930	635	251	333	634	739	1019	723	1151	285	1183	263	308	862	1281	11
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella	12	2	7	2	741	6	28	10	3	8	6	9	1408	10	14	2	3	2	2	2	44	4252	2	2	1	36	5	4630	758	7	4	5631	4	3
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;NA;NA	381	234	490	293	319	380	463	444	774	577	432	532	374	611	293	228	465	455	442	438	479	366	498	421	483	388	228	281	611	467	428	246	370	257
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae;g__Parabacteroides	414	379	77	24	170	337	92	440	449	1244	1078	497	159	283	163	81	697	255	35	14	532	154	367	276	389	367	137	570	466	590	973	36	274	159
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium	226	117	39	268	499	98	7	0	39	1	3	1	1	232	571	191	0	82	0	29	31	178	40	350	0	740	710	1	13	159	128	967	30	87
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;NA	148	120	95	331	393	54	132	68	168	82	93	152	90	246	109	137	217	79	57	71	83	39	130	87	104	602	589	161	133	126	223	69	220	90
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;NA;NA	134	130	174	161	396	135	88	103	130	113	88	181	196	147	158	250	232	132	119	130	70	50	94	97	222	226	366	173	252	86	209	71	98	41
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Roseburia	211	132	225	252	201	512	76	134	58	73	147	180	83	97	39	516	41	48	203	22	20	45	56	105	269	80	573	73	89	47	117	115	22	2
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Blautia	55	65	79	49	147	51	41	25	48	49	51	81	99	160	64	212	59	55	94	25	17	40	60	61	33	84	237	74	152	91	132	31	103	13
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Paraprevotella	1	0	774	1	108	2	1	367	0	2	1	2	307	1	1	4	0	134	3	7	1	2	429	1	1	2	1	0	282	1	2	5	6	11
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Barnesiellaceae;g__Barnesiella	111	0	0	0	1	264	3	2	234	74	1	220	257	98	152	1	8	21	3	161	220	56	1	119	129	3	4	1	1	155	4	1	1	0
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Sutterellaceae;g__Sutterella	0	0	1	0	1	0	0	0	106	317	0	90	337	0	255	1	0	4	0	0	0	0	0	0	0	0	0	0	207	154	0	225	555	0
