#taxonomy	MCTs01	MCTs03	MCTs04	MCTs05	MCTs06	MCTs07	MCTs08	MCTs09	MCTs10	MCTs11	MCTs12	MCTs13	MCTs14	MCTs15	MCTs16	MCTs18	MCTs19	MCTs20	MCTs21	MCTs22	MCTs23	MCTs24	MCTs25	MCTs26	MCTs27	MCTs28	MCTs29	MCTs31	MCTs32	MCTs33	MCTs34	MCTs35	MCTs36	MCTs37
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;NA	2455	2977	2796	4394	1701	2682	3861	2507	1604	2562	2417	2239	955	2343	2366	4609	4266	1896	3291	2620	2456	841	2623	2977	2135	1927	1243	1305	1907	2463	914	228	2890	4014
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Faecalibacterium;s__Faecalibacterium prausnitzii	984	704	312	918	1328	895	361	738	632	385	451	362	862	322	338	4	154	355	930	635	251	333	634	739	1019	723	1151	285	1183	263	308	862	1281	11
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides uniformis	1272	841	91	901	374	373	984	990	317	324	133	317	202	313	741	3	25	582	882	608	1409	148	621	800	834	214	320	12	150	274	15	25	596	760
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella;s__Prevotella copri	0	1	1	0	133	0	1	0	0	2	2	1	1208	1	0	1	0	0	1	1	1	4184	0	0	0	7	1	4475	643	0	0	5383	2	1
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes putredinis	577	1	13	0	22	423	5	289	864	515	553	739	1399	1431	13	2	2	945	1	367	1	550	372	391	494	764	212	3	26	1277	1592	3	494	6
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;NA;NA;NA	381	234	490	293	319	380	463	444	774	577	432	532	374	611	293	228	465	455	442	438	479	366	498	421	483	388	228	281	611	467	428	246	370	257
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides stercoris	2	624	1057	3	5	1	14	133	7	3	2241	1118	27	6	235	10	5	173	15	8	2	22	1923	1179	4	145	120	3	79	4	3	6	4	3053
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides dorei	388	18	2175	28	35	103	1544	142	23	498	37	35	185	240	905	1397	6	114	56	786	18	124	35	387	347	102	572	29	32	478	4	127	281	43
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides vulgatus	90	384	20	650	280	393	65	321	245	342	646	481	58	150	20	561	3	88	476	18	288	5	481	181	158	111	45	285	254	250	5	6	370	462
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes shahii	138	28	7	1	241	296	6	36	824	193	139	408	151	329	8	1	1	1172	175	685	41	227	82	205	125	823	281	7	295	171	697	25	8	2
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae;g__Parabacteroides;NA	178	29	47	10	42	106	69	112	157	955	853	334	30	232	140	59	648	139	6	3	231	53	102	147	329	245	87	291	219	261	934	16	184	134
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes finegoldii	87	825	12	3	58	489	71	16	25	218	6	102	407	729	374	12	1	129	8	438	35	12	172	70	101	202	97	3	533	236	1268	1	204	1
